"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10517099999","1992-01-01","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  37.3","24","  30.8","24","1034.5","24","026.3","24","  6.1","24","  4.7","24","  8.0","999.9","  41.2"," ","  34.7"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-02","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  40.6","24","  33.5","24","1033.2","24","025.1","24","  6.2","24","  6.1","24","  8.9","999.9","  45.7","*","  35.1","*"," 0.00","G","999.9","000000"
"10517099999","1992-01-03","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  35.8","23","  28.5","23","1029.6","23","021.4","23","  5.7","23","  7.1","23","  9.9","999.9","  41.9"," ","  30.6"," "," 0.00","D","999.9","000000"
"10517099999","1992-01-04","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  44.4","24","  37.0","24","1023.1","24","015.2","24","  5.5","24","  6.9","24"," 12.0"," 26.0","  48.4"," ","  39.0"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-05","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  46.2","24","  42.8","24","1026.2","24","018.2","24","  4.9","24","  4.2","24","  8.0","999.9","  52.3"," ","  38.7"," "," 0.33","G","999.9","000000"
"10517099999","1992-01-06","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  47.7","23","  41.7","23","1027.9","23","020.0","23","  4.4","23","  4.5","23","  7.0","999.9","  52.5","*","  37.2","*"," 0.00","G","999.9","000000"
"10517099999","1992-01-07","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  38.0","22","  33.5","22","1022.4","22","014.3","22","  3.6","22","  6.7","22","  8.9","999.9","  43.9"," ","  35.8"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-08","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  46.1","24","  34.5","24","1012.4","24","004.5","24","  5.4","24","  7.7","24"," 11.1"," 26.0","  51.8"," ","  36.3"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-09","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  50.5","24","  42.5","24","1005.3","24","997.6","24","  6.2","24","  5.8","24","  9.9","999.9","  55.8"," ","  45.1","*"," 0.00","G","999.9","000000"
"10517099999","1992-01-10","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  42.3","24","  33.9","24","1019.3","24","011.3","24","  5.5","24","  3.9","24","  8.0","999.9","  48.4"," ","  36.0","*"," 0.07","G","999.9","000000"
"10517099999","1992-01-11","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  35.6","24","  29.4","24","1028.0","24","019.8","24","  4.2","24","  2.5","24","  6.0","999.9","  42.6"," ","  29.1"," "," 0.01","G","999.9","000000"
"10517099999","1992-01-12","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  38.9","24","  34.5","24","1031.8","24","023.7","24","  1.8","24","  3.6","24","  6.0","999.9","  40.8"," ","  37.6","*"," 0.00","G","999.9","000000"
"10517099999","1992-01-13","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  37.2","22","  31.0","22","1036.3","22","028.1","22","  3.6","22","  2.7","22","  5.1","999.9","  39.7"," ","  36.0"," "," 0.01","G","999.9","000000"
"10517099999","1992-01-14","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  38.9","23","  35.2","23","1034.9","23","026.7","23","  1.7","23","  4.3","23","  7.0","999.9","  41.4","*","  36.9"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-15","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  42.5","24","  37.1","24","1035.2","24","027.1","24","  3.2","24","  5.8","24","  8.0","999.9","  43.5"," ","  40.1"," "," 0.01","G","999.9","000000"
"10517099999","1992-01-16","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  41.2","23","  32.1","23","1031.2","23","023.1","23","  3.9","23","  6.0","23"," 11.1","999.9","  43.5"," ","  39.0","*"," 0.00","G","999.9","000000"
"10517099999","1992-01-17","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  41.9","24","  33.0","24","1033.0","24","024.9","24","  4.3","24","  6.2","24","  8.9","999.9","  43.3"," ","  38.8"," "," 0.01","G","999.9","000000"
"10517099999","1992-01-18","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  40.1","23","  31.9","23","1032.8","23","024.7","23","  3.2","23","  4.1","23","  7.0","999.9","  42.3"," ","  38.5"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-19","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  40.7","24","  36.7","24","1022.1","24","014.1","24","  3.6","24","  6.2","24","  9.9","999.9","  43.2","*","  39.4"," "," 0.00","G","999.9","000000"
"10517099999","1992-01-20","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  37.0","24","  29.0","24","1022.9","24","014.8","24","  5.1","24","  7.0","24"," 11.1","999.9","  43.3"," ","  25.3","*"," 0.23","G","999.9","000000"
"10517099999","1992-01-21","50.7","7.15","61.0","BONN FRIESDORF AUT, GM","  27.0","23","   5.2","23","1034.4","23","026.0","23","  6.2","23","  4.6","23"," 11.1","999.9","  35.8"," ","  21.4"," "," 0.00","G","999.9","000000"
