"Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1973-01-01 12:00:00,1973,1,1,-10,3,-5.222,0
1973-01-02 12:00:00,1973,1,2,-11,-2,-5.444,0
1973-01-03 12:00:00,1973,1,3,-2,2,-0.111,0
1973-01-04 12:00:00,1973,1,4,0,3,2.111,0
1973-01-05 12:00:00,1973,1,5,-2,3,-0.5,0
1973-01-06 12:00:00,1973,1,6,0,4,1.611,0
1973-01-07 12:00:00,1973,1,7,-1,1,-0.389,0
1973-01-08 12:00:00,1973,1,8,0,3,1.278,0
1973-01-09 12:00:00,1973,1,9,1,4,2.444,0.508
1973-01-10 12:00:00,1973,1,10,0,11,1.722,0
1973-01-11 12:00:00,1973,1,11,1,4,2,0
1973-01-12 12:00:00,1973,1,12,-3,3,0.889,0
1973-01-13 12:00:00,1973,1,13,0,5,1.389,0
1973-01-14 12:00:00,1973,1,14,1,5,2.833,4.064
1973-01-15 12:00:00,1973,1,15,3,8,5.722,0.508
1973-01-16 12:00:00,1973,1,16,2,6,3.889,0
1973-01-17 12:00:00,1973,1,17,-2,4,1.778,0
1973-01-18 12:00:00,1973,1,18,0,3,1.389,0
1973-01-19 12:00:00,1973,1,19,0,1,0.5,0
1973-01-20 12:00:00,1973,1,20,0,4,1.556,1.016
1973-01-21 12:00:00,1973,1,21,0,5,2.722,0
1973-01-22 12:00:00,1973,1,22,0,7,3.278,0.508
1973-01-23 12:00:00,1973,1,23,-3,4,0.944,3.048
1973-01-24 12:00:00,1973,1,24,-1,4,1.111,0
1973-01-25 12:00:00,1973,1,25,-3,4,-0.389,0
1973-01-26 12:00:00,1973,1,26,-5,4,0.5,0.254
1973-01-27 12:00:00,1973,1,27,3,7,5.111,2.032
1973-01-28 12:00:00,1973,1,28,3,6,4.611,4.318
1973-01-29 12:00:00,1973,1,29,3,9,6.611,2.032
1973-01-30 12:00:00,1973,1,30,6,8,7.278,0
1973-01-31 12:00:00,1973,1,31,2,6,5.167,4.064
1973-02-01 12:00:00,1973,2,1,0,5,2.222,0
1973-02-02 12:00:00,1973,2,2,-2,5,1.611,0
1973-02-03 12:00:00,1973,2,3,-3,0,-0.833,0
1973-02-04 12:00:00,1973,2,4,-3,6,-0.667,0
1973-02-05 12:00:00,1973,2,5,-5,2,-0.889,0
1973-02-06 12:00:00,1973,2,6,2,7,5.278,0.254
1973-02-07 12:00:00,1973,2,7,6,8,7.389,1.016
1973-02-08 12:00:00,1973,2,8,5,8,6.556,7.112
1973-02-09 12:00:00,1973,2,9,3,7,5.778,1.016
1973-02-10 12:00:00,1973,2,10,1,5,3,1.016
1973-02-11 12:00:00,1973,2,11,1,7,3.111,6.096
1973-02-12 12:00:00,1973,2,12,2,6,4.889,2.032
1973-02-13 12:00:00,1973,2,13,0,6,2.722,3.302
1973-02-14 12:00:00,1973,2,14,0,5,2.389,0
1973-02-15 12:00:00,1973,2,15,-1,8,2.111,0
1973-02-16 12:00:00,1973,2,16,-5,7,0.722,0
1973-02-17 12:00:00,1973,2,17,-4,3,0.056,2.032
1973-02-18 12:00:00,1973,2,18,1,2,1.389,6.604
1973-02-19 12:00:00,1973,2,19,1,4,3,1.27
1973-02-20 12:00:00,1973,2,20,2,6,4.389,0.508
1973-02-21 12:00:00,1973,2,21,5,8,6.889,2.54
1973-02-22 12:00:00,1973,2,22,4,8,5.222,6.096
1973-02-23 12:00:00,1973,2,23,0,6,2.444,6.096
1973-02-24 12:00:00,1973,2,24,-1,3,1.222,8.89
1973-02-25 12:00:00,1973,2,25,-2,5,1.389,0
1973-02-26 12:00:00,1973,2,26,-3,3,-0.889,1.524
1973-02-27 12:00:00,1973,2,27,-4,4,-1.444,0
1973-02-28 12:00:00,1973,2,28,-6,5,0.556,0.254
1973-03-01 12:00:00,1973,3,1,2,9,4.278,0
1973-03-02 12:00:00,1973,3,2,2,7,3.889,4.064
1973-03-03 12:00:00,1973,3,3,-2,7,3.944,0
1973-03-04 12:00:00,1973,3,4,5,11,7.722,6.096
1973-03-05 12:00:00,1973,3,5,0,14,7.722,0
1973-03-06 12:00:00,1973,3,6,3,9,7.111,0.254
1973-03-07 12:00:00,1973,3,7,-2,8,3.5,5.08
1973-03-08 12:00:00,1973,3,8,-3,8,3.556,0
1973-03-09 12:00:00,1973,3,9,-2,10,5.444,0
1973-03-10 12:00:00,1973,3,10,-5,9,1.778,0
1973-03-11 12:00:00,1973,3,11,-4,3,0.944,0
1973-03-12 12:00:00,1973,3,12,-1,6,3.056,0
1973-03-13 12:00:00,1973,3,13,-2,7,2.611,0
1973-03-14 12:00:00,1973,3,14,-5,10,1.889,0
1973-03-15 12:00:00,1973,3,15,-4,9,3.222,0
1973-03-16 12:00:00,1973,3,16,-4,11,2.944,0
1973-03-17 12:00:00,1973,3,17,-4,7,2.278,0
1973-03-18 12:00:00,1973,3,18,5,8,6.389,1.27
1973-03-19 12:00:00,1973,3,19,3,8,5,0
1973-03-20 12:00:00,1973,3,20,2,9,5.778,0
1973-03-21 12:00:00,1973,3,21,2,11,6.5,0
1973-03-22 12:00:00,1973,3,22,-2,15,5.889,0
1973-03-23 12:00:00,1973,3,23,-1,18,8.056,0
1973-03-24 12:00:00,1973,3,24,1,21,11.056,0
1973-03-25 12:00:00,1973,3,25,2,14,8.278,1.016
1973-03-26 12:00:00,1973,3,26,1,14,8,0.254
1973-03-27 12:00:00,1973,3,27,5,9,7.444,6.096
1973-03-28 12:00:00,1973,3,28,2,12,6.833,0
1973-03-29 12:00:00,1973,3,29,-1,12,5.556,0
1973-03-30 12:00:00,1973,3,30,-2,13,6.111,0
1973-03-31 12:00:00,1973,3,31,1,12,7.333,0
1973-04-01 12:00:00,1973,4,1,-1,10,6.111,0
1973-04-02 12:00:00,1973,4,2,4,10,6.5,5.588
1973-04-03 12:00:00,1973,4,3,1,7,4.056,1.27
1973-04-04 12:00:00,1973,4,4,-4,10,4.333,0
1973-04-05 12:00:00,1973,4,5,7,11,9.333,2.032
1973-04-06 12:00:00,1973,4,6,6,11,8.611,1.016
1973-04-07 12:00:00,1973,4,7,3,8,5.111,2.54
1973-04-08 12:00:00,1973,4,8,-1,8,3.944,0
1973-04-09 12:00:00,1973,4,9,-4,9,3.556,0
1973-04-10 12:00:00,1973,4,10,3,8,5.056,0
1973-04-11 12:00:00,1973,4,11,3,7,4.889,3.048
1973-04-12 12:00:00,1973,4,12,1,6,3.222,7.112
1973-04-13 12:00:00,1973,4,13,-3,8,2.278,1.016
1973-04-14 12:00:00,1973,4,14,0,9,4.722,0
1973-04-15 12:00:00,1973,4,15,3,9,5.611,4.064
1973-04-16 12:00:00,1973,4,16,-1,10,5.889,0.254
1973-04-17 12:00:00,1973,4,17,6,11,8.222,2.54
1973-04-18 12:00:00,1973,4,18,4,9,6.389,12.954
1973-04-19 12:00:00,1973,4,19,2,8,4.167,11.938
1973-04-20 12:00:00,1973,4,20,1,9,3.833,7.112
1973-04-21 12:00:00,1973,4,21,0,10,4.889,2.286
1973-04-22 12:00:00,1973,4,22,-1,14,7.111,0
1973-04-23 12:00:00,1973,4,23,3,14,8.778,1.524
1973-04-24 12:00:00,1973,4,24,5,18,11.278,0
1973-04-25 12:00:00,1973,4,25,4,16,9.889,0
