"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1437,1578,83.1303587536111,3091.83418445079
"2002/2003",2003,120,120,100,1563,1568,77.8972304372815,2627.11260630684
"2003/2004",2004,120,120,100,1559,1331,77.5126802188374,1132.17356514296
"2004/2005",2005,121,121,100,1774,1575,82.6780553201828,1744.83584913815
"2005/2006",2006,120,120,100,1646,1753.5,85.5329992559026,2692.46030485831
"2006/2007",2007,120,120,100,1632,1590.5,81.3383285950003,2255.4375716566
"2007/2008",2008,120,120,100,1307,1133,74.2997613342557,1513.27224573132
"2008/2009",2009,121,121,100,1580,1409.5,77.6890327815013,1723.46611580235
"2009/2010",2010,120,120,100,1702,1612.5,78.6841030088508,1786.20769877435
"2010/2011",2011,120,120,100,1775,1581,83.0834226346892,1667.91121669067
"2011/2012",2012,120,120,100,1731,1455,79.3110629893813,1548.02969503473
"2012/2013",2013,121,121,100,1448,1348,78.1554615925486,2072.07470813789
"2013/2014",2014,120,120,100,1511,1358.5,75.0673642994484,1379.34218814492
"2014/2015",2015,120,120,100,879,873.5,61.8232324266155,3004.42519475881
"2015/2016",2016,120,120,100,1692,1551,81.9503671684106,2118.89629066759
"2016/2017",2017,121,121,100,1294,1303.5,77.4901796284357,3333.39379403263
"2017/2018",2018,120,120,100,1292,1243,73.3667650100692,2728.76423956291
"2018/2019",2019,120,120,100,1223,1029.5,67.3695051836858,1778.84643078805
"2019/2020",2020,120,120,100,1405,1442,78.3094346821631,2755.66340488393
"2020/2021",2021,121,121,100,1633,1653,84.6846541410459,2988.17942269705
"2021/2022",2022,120,120,100,1121,991.5,66.2316758808151,1672.87830892997
"2022/2023",2023,120,120,100,1262,1181,74.2471824114882,2755.4275868386
"2023/2024",2024,120,120,100,1657,1690.5,82.2525053372101,2557.3060221388
"2024/2025",2025,121,121,100,1715,1654,84.6085693786927,2017.79058200866
"2025/2026",2026,120,120,100,1681,1443.5,79.3452078990663,2040.52162473951
"2026/2027",2027,120,120,100,1206,1002.5,69.2704194408398,847.591164451092
"2027/2028",2028,120,120,100,1535,1471,78.2151664856456,1960.27669047541
"2028/2029",2029,121,121,100,1495,1295,78.5121109892698,1547.38078261702
"2029/2030",2030,120,120,100,1460,1342,76.9823046543042,1837.81291581993
"2030/2031",2031,120,120,100,1491,1537.5,82.5700061189209,2372.37122394866
"2031/2032",2032,120,120,100,1462,1301.5,75.7233560705818,2017.54624272836
"2032/2033",2033,121,121,100,1625,1536,79.8364692240011,1880.99077898823
"2033/2034",2034,120,120,100,1482,1279.5,75.8828369092789,1234.70183231868
"2034/2035",2035,120,120,100,1210,981.5,69.7396168507976,1709.25627293251
"2035/2036",2036,120,120,100,1424,1321.5,77.8064506291248,2257.07541728276
"2036/2037",2037,121,121,100,1541,1585.5,82.0603095324141,2151.22689069901
"2037/2038",2038,120,120,100,1362,1055,73.9227651783667,1049.82013716991
"2038/2039",2039,120,120,100,1564,1552.5,79.5068725894016,2844.59930260922
"2039/2040",2040,120,120,100,1687,1859.5,85.7036000626431,3135.2501617535
"2040/2041",2041,121,121,100,1692,1514.5,81.7635472841666,2058.6321903877
"2041/2042",2042,120,120,100,1832,1526,78.592880818459,1189.55038232403
"2042/2043",2043,120,120,100,1462,1752,84.2326479988405,4570.95774872694
"2043/2044",2044,120,120,100,1477,1162.5,75.3818150743082,1027.65476191416
