"","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","YEARMODA","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"1",1973-01-01 12:00:00,1973-01-01 12:00:00,1973,1,1,-10,3,-5.222,0,19730101,"original","original",FALSE,FALSE
"2",1973-01-02 12:00:00,1973-01-02 12:00:00,1973,1,2,-11,-2,-5.444,0,19730102,"original","original",FALSE,FALSE
"3",1973-01-03 12:00:00,1973-01-03 12:00:00,1973,1,3,-2,2,-0.111,0,19730103,"original","original",FALSE,FALSE
"4",1973-01-04 12:00:00,1973-01-04 12:00:00,1973,1,4,0,3,2.111,0,19730104,"original","original",FALSE,FALSE
"5",1973-01-05 12:00:00,1973-01-05 12:00:00,1973,1,5,-2,3,-0.5,0,19730105,"original","original",FALSE,FALSE
"6",1973-01-06 12:00:00,1973-01-06 12:00:00,1973,1,6,0,4,1.611,0,19730106,"original","original",FALSE,FALSE
"7",1973-01-07 12:00:00,1973-01-07 12:00:00,1973,1,7,-1,1,-0.389,0,19730107,"original","original",FALSE,FALSE
"8",1973-01-08 12:00:00,1973-01-08 12:00:00,1973,1,8,0,3,1.278,0,19730108,"original","original",FALSE,FALSE
"9",1973-01-09 12:00:00,1973-01-09 12:00:00,1973,1,9,1,4,2.444,0.508,19730109,"original","original",FALSE,FALSE
"10",1973-01-10 12:00:00,1973-01-10 12:00:00,1973,1,10,0,11,1.722,0,19730110,"original","original",FALSE,FALSE
"11",1973-01-11 12:00:00,1973-01-11 12:00:00,1973,1,11,1,4,2,0,19730111,"original","original",FALSE,FALSE
"12",1973-01-12 12:00:00,1973-01-12 12:00:00,1973,1,12,-3,3,0.889,0,19730112,"original","original",FALSE,FALSE
"13",1973-01-13 12:00:00,1973-01-13 12:00:00,1973,1,13,0,5,1.389,0,19730113,"original","original",FALSE,FALSE
"14",1973-01-14 12:00:00,1973-01-14 12:00:00,1973,1,14,1,5,2.833,4.064,19730114,"original","original",FALSE,FALSE
"15",1973-01-15 12:00:00,1973-01-15 12:00:00,1973,1,15,3,8,5.722,0.508,19730115,"original","original",FALSE,FALSE
"16",1973-01-16 12:00:00,1973-01-16 12:00:00,1973,1,16,2,6,3.889,0,19730116,"original","original",FALSE,FALSE
"17",1973-01-17 12:00:00,1973-01-17 12:00:00,1973,1,17,-2,4,1.778,0,19730117,"original","original",FALSE,FALSE
"18",1973-01-18 12:00:00,1973-01-18 12:00:00,1973,1,18,0,3,1.389,0,19730118,"original","original",FALSE,FALSE
"19",1973-01-19 12:00:00,1973-01-19 12:00:00,1973,1,19,0,1,0.5,0,19730119,"original","original",FALSE,FALSE
"20",1973-01-20 12:00:00,1973-01-20 12:00:00,1973,1,20,0,4,1.556,1.016,19730120,"original","original",FALSE,FALSE
"21",1973-01-21 12:00:00,1973-01-21 12:00:00,1973,1,21,0,5,2.722,0,19730121,"original","original",FALSE,FALSE
"22",1973-01-22 12:00:00,1973-01-22 12:00:00,1973,1,22,0,7,3.278,0.508,19730122,"original","original",FALSE,FALSE
"23",1973-01-23 12:00:00,1973-01-23 12:00:00,1973,1,23,-3,4,0.944,3.048,19730123,"original","original",FALSE,FALSE
"24",1973-01-24 12:00:00,1973-01-24 12:00:00,1973,1,24,-1,4,1.111,0,19730124,"original","original",FALSE,FALSE
"25",1973-01-25 12:00:00,1973-01-25 12:00:00,1973,1,25,-3,4,-0.389,0,19730125,"original","original",FALSE,FALSE
"26",1973-01-26 12:00:00,1973-01-26 12:00:00,1973,1,26,-5,4,0.5,0.254,19730126,"original","original",FALSE,FALSE
"27",1973-01-27 12:00:00,1973-01-27 12:00:00,1973,1,27,3,7,5.111,2.032,19730127,"original","original",FALSE,FALSE
"28",1973-01-28 12:00:00,1973-01-28 12:00:00,1973,1,28,3,6,4.611,4.318,19730128,"original","original",FALSE,FALSE
"29",1973-01-29 12:00:00,1973-01-29 12:00:00,1973,1,29,3,9,6.611,2.032,19730129,"original","original",FALSE,FALSE
