"Season","End_year","Season_days","Data_days","Missing_Tmin","Missing_Tmax","Incomplete_days","Perc_complete"
"1989/1990",1990,365,365,0,0,0,100
"1990/1991",1991,365,365,3,3,3,99.2
"1991/1992",1992,366,366,1,1,1,99.7
"1992/1993",1993,365,365,28,28,28,92.3
"1993/1994",1994,365,365,2,2,2,99.5
"1994/1995",1995,365,365,4,4,4,98.9
"1995/1996",1996,366,366,3,3,3,99.2
"1996/1997",1997,365,365,8,8,8,97.8
"1997/1998",1998,365,365,6,6,6,98.4
"1998/1999",1999,365,365,2,2,2,99.5
"1999/2000",2000,366,366,0,0,0,100
"2000/2001",2001,365,365,1,1,1,99.7
"2001/2002",2002,365,365,6,6,6,98.4
"2002/2003",2003,365,365,1,1,1,99.7
"2003/2004",2004,366,366,1,1,1,99.7
"2004/2005",2005,365,365,15,15,15,95.9
"2005/2006",2006,365,365,8,8,8,97.8
"2006/2007",2007,365,365,6,6,6,98.4
"2007/2008",2008,366,366,4,4,4,98.9
"2008/2009",2009,365,365,5,5,5,98.6
"2009/2010",2010,365,365,0,0,0,100
"2010/2011",2011,365,365,16,16,16,95.6
"2011/2012",2012,366,366,0,0,0,100
"2012/2013",2013,365,365,1,1,1,99.7
"2013/2014",2014,365,365,1,1,1,99.7
"2014/2015",2015,365,365,3,3,3,99.2
"2015/2016",2016,366,366,2,2,2,99.5
"2016/2017",2017,365,365,0,0,0,100
"2017/2018",2018,365,365,1,1,1,99.7
"2018/2019",2019,365,365,2,2,2,99.5
"2019/2020",2020,366,366,2,2,2,99.5
