"YEARMODA","DATE","Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmax_source","Tmin_source","no_Tmin","no_Tmax"
19900101,1990-01-01 12:00:00,"1990-01-01 12:00:00",1990,1,1,-2,-1,-1.5,NA,NA,NA,FALSE,FALSE
19900102,1990-01-02 12:00:00,"1990-01-02 12:00:00",1990,1,2,-2,-1,-1.056,NA,NA,NA,FALSE,FALSE
19900103,1990-01-03 12:00:00,"1990-01-03 12:00:00",1990,1,3,-3,0,-1.167,0,NA,NA,FALSE,FALSE
19900104,1990-01-04 12:00:00,"1990-01-04 12:00:00",1990,1,4,-3,0,-1.778,NA,NA,NA,FALSE,FALSE
19900105,1990-01-05 12:00:00,"1990-01-05 12:00:00",1990,1,5,1.722,3,2.333,NA,NA,NA,FALSE,FALSE
19900106,1990-01-06 12:00:00,"1990-01-06 12:00:00",1990,1,6,-1,3,1.389,NA,NA,NA,FALSE,FALSE
19900107,1990-01-07 12:00:00,"1990-01-07 12:00:00",1990,1,7,-1,4,1.056,NA,NA,NA,FALSE,FALSE
19900108,1990-01-08 12:00:00,"1990-01-08 12:00:00",1990,1,8,-2,7,1.944,NA,NA,NA,FALSE,FALSE
19900109,1990-01-09 12:00:00,"1990-01-09 12:00:00",1990,1,9,-0.722,7,3.5,NA,NA,NA,FALSE,FALSE
19900110,1990-01-10 12:00:00,"1990-01-10 12:00:00",1990,1,10,2,7,5.278,NA,NA,NA,FALSE,FALSE
19900111,1990-01-11 12:00:00,"1990-01-11 12:00:00",1990,1,11,6,7.889,6.389,NA,NA,NA,FALSE,FALSE
19900112,1990-01-12 12:00:00,"1990-01-12 12:00:00",1990,1,12,4,8,6.444,0,NA,NA,FALSE,FALSE
19900113,1990-01-13 12:00:00,"1990-01-13 12:00:00",1990,1,13,2.4303154185022,6.49838263036127,NA,NA,"daily_MEIERWIK","daily_SCHLESWIG",FALSE,FALSE
19900114,1990-01-14 12:00:00,"1990-01-14 12:00:00",1990,1,14,-0.958684581497797,3.49838263036127,NA,NA,"daily_MEIERWIK","daily_SCHLESWIG",FALSE,FALSE
19900115,1990-01-15 12:00:00,"1990-01-15 12:00:00",1990,1,15,0.111,9,6.556,NA,NA,NA,FALSE,FALSE
19900116,1990-01-16 12:00:00,"1990-01-16 12:00:00",1990,1,16,7,10,9,NA,NA,NA,FALSE,FALSE
19900117,1990-01-17 12:00:00,"1990-01-17 12:00:00",1990,1,17,5,9,7.5,NA,NA,NA,FALSE,FALSE
19900118,1990-01-18 12:00:00,"1990-01-18 12:00:00",1990,1,18,3,5,3.833,NA,NA,NA,FALSE,FALSE
