"Year","Month","Day","Hour","Temp","Warm_year"
2008,3,3,10,15.127,NA
2008,3,3,11,17.153,NA
2008,3,3,12,18.699,NA
2008,3,3,13,18.699,NA
2008,3,3,14,18.842,NA
2008,3,3,15,19.508,NA
2008,3,3,16,19.318,NA
2008,3,3,17,17.701,NA
2008,3,3,18,15.414,NA
2008,3,3,19,12.727,NA
2008,3,3,20,10.369,NA
2008,3,3,21,9.706,NA
2008,3,3,22,9.04,NA
2008,3,3,23,7.92,NA
2008,3,4,0,6.535,NA
2008,3,4,1,6.687,NA
2008,3,4,2,8.767,NA
2008,3,4,3,9.139,NA
2008,3,4,4,6.788,NA
2008,3,4,5,5.076,NA
2008,3,4,6,3.985,NA
2008,3,4,7,3.775,NA
2008,3,4,8,10.001,NA
2008,3,4,9,13.69,NA
2008,3,4,10,15.796,NA
2008,3,4,11,18.081,NA
2008,3,4,12,19.888,NA
2008,3,4,13,20.841,NA
2008,3,4,14,21.366,NA
2008,3,4,15,21.867,NA
2008,3,4,16,21.604,NA
2008,3,4,17,20.079,NA
2008,3,4,18,17.344,NA
2008,3,4,19,13.93,NA
2008,3,4,20,11.929,NA
2008,3,4,21,10.761,NA
2008,3,4,22,9.854,NA
2008,3,4,23,9.706,NA
2008,3,5,0,7.619,NA
2008,3,5,1,9.509,NA
2008,3,5,2,10.883,NA
2008,3,5,3,12.147,NA
2008,3,5,4,12.606,NA
2008,3,5,5,11.88,NA
2008,3,5,6,11.589,NA
2008,3,5,7,11.029,NA
2008,3,5,8,12.171,NA
2008,3,5,9,14.074,NA
2008,3,5,10,15.533,NA
2008,3,5,11,17.605,NA
2008,3,5,12,19.318,NA
2008,3,5,13,20.388,NA
2008,3,5,14,20.412,NA
2008,3,5,15,20.793,NA
2008,3,5,16,20.436,NA
2008,3,5,17,19.579,NA
2008,3,5,18,16.773,NA
2008,3,5,19,12.558,NA
2008,3,5,20,10.149,NA
2008,3,5,21,9.064,NA
2008,3,5,22,7.419,NA
2008,3,5,23,6.611,NA
2008,3,6,0,6.611,NA
2008,3,6,1,6.585,NA
2008,3,6,2,5.231,NA
2008,3,6,3,4.844,NA
2008,3,6,4,3.643,NA
2008,3,6,5,3.459,NA
2008,3,6,6,3.063,NA
2008,3,6,7,3.67,NA
2008,3,6,8,6.128,NA
2008,3,6,9,11.248,NA
2008,3,6,10,15.581,NA
2008,3,6,11,16.773,NA
2008,3,6,12,17.534,NA
2008,3,6,13,16.606,NA
2008,3,6,14,17.177,NA
2008,3,6,15,17.819,NA
2008,3,6,16,17.701,NA
2008,3,6,17,17.51,NA
2008,3,6,18,15.485,NA
2008,3,6,19,12.05,NA
2008,3,6,20,9.756,NA
2008,3,6,21,9.064,NA
2008,3,6,22,8.02,NA
2008,3,6,23,6.889,NA
2008,3,7,0,6.255,NA
2008,3,7,1,5.205,NA
2008,3,7,2,4.688,NA
2008,3,7,3,4.428,NA
2008,3,7,4,4.037,NA
2008,3,7,5,4.194,NA
2008,3,7,6,3.248,NA
2008,3,7,7,3.38,NA
2008,3,7,8,10.418,NA
2008,3,7,9,13.522,NA
2008,3,7,10,14.816,NA
2008,3,7,11,17.843,NA
2008,3,7,12,19.175,NA
2008,3,7,13,20.15,NA
2008,3,7,14,21.103,NA
2008,3,7,15,19.936,NA
2008,3,7,16,19.508,NA
2008,3,7,17,17.915,NA
2008,3,7,18,16.129,NA
2008,3,7,19,15.247,NA
2008,3,7,20,14.314,NA
2008,3,7,21,13.666,NA
2008,3,7,22,15.342,NA
2008,3,7,23,13.81,NA
2008,3,8,0,14.026,NA
2008,3,8,1,11.759,NA
2008,3,8,2,11.977,NA
2008,3,8,3,12.799,NA
2008,3,8,4,12.534,NA
2008,3,8,5,9.41,NA
2008,3,8,6,6.788,NA
2008,3,8,7,7.745,NA
2008,3,8,8,11.904,NA
2008,3,8,9,14.026,NA
2008,3,8,10,16.558,NA
2008,3,8,11,18.58,NA
2008,3,8,12,20.793,NA
2008,3,8,13,21.7,NA
2008,3,8,14,22.393,NA
2008,3,8,15,22.609,NA
2008,3,8,16,22.274,NA
2008,3,8,17,20.269,NA
2008,3,8,18,16.534,NA
2008,3,8,19,13.786,NA
2008,3,8,20,12.098,NA
2008,3,8,21,10.638,NA
2008,3,8,22,9.756,NA
2008,3,8,23,10.222,NA
2008,3,9,0,10.296,NA
2008,3,9,1,10.516,NA
2008,3,9,2,10.051,NA
2008,3,9,3,10.541,NA
2008,3,9,4,8.965,NA
2008,3,9,5,6.737,NA
2008,3,9,6,6.56,NA
2008,3,9,7,6.026,NA
2008,3,9,8,11.54,NA
2008,3,9,9,15.031,NA
2008,3,9,10,17.748,NA
2008,3,9,11,20.15,NA
2008,3,9,12,22.393,NA
2008,3,9,13,22.944,NA
2008,3,9,14,22.776,NA
2008,3,9,15,23.472,NA
2008,3,9,16,22.944,NA
2008,3,9,17,21.079,NA
2008,3,9,18,18.818,NA
2008,3,9,19,15.891,NA
2008,3,9,20,13.81,NA
2008,3,9,21,11.929,NA
2008,3,9,22,10.467,NA
2008,3,9,23,9.534,NA
2008,3,10,0,8.469,NA
2008,3,10,1,8.02,NA
2008,3,10,2,7.217,NA
2008,3,10,3,6.889,NA
2008,3,10,4,6.331,NA
2008,3,10,5,5.796,NA
2008,3,10,6,6.179,NA
2008,3,10,7,7.368,NA
2008,3,10,8,11.759,NA
2008,3,10,9,13.185,NA
2008,3,10,10,16.963,NA
2008,3,10,11,20.079,NA
2008,3,10,12,22.106,NA
2008,3,10,13,23.28,NA
2008,3,10,14,23.136,NA
2008,3,10,15,23.424,NA
2008,3,10,16,22.657,NA
2008,3,10,17,21.724,NA
2008,3,10,18,19.793,NA
2008,3,10,19,18.2,NA
2008,3,10,20,16.082,NA
2008,3,10,21,14.409,NA
2008,3,10,22,13.57,NA
2008,3,10,23,12.437,NA
2008,3,11,0,14.409,NA
2008,3,11,1,13.546,NA
2008,3,11,2,13.353,NA
2008,3,11,3,12.703,NA
2008,3,11,4,8.045,NA
2008,3,11,5,7.066,NA
2008,3,11,6,6.788,NA
2008,3,11,7,7.393,NA
2008,3,11,8,11.71,NA
2008,3,11,9,15.438,NA
2008,3,11,10,17.796,NA
2008,3,11,11,20.079,NA
2008,3,11,12,20.293,NA
2008,3,11,13,21.223,NA
2008,3,11,14,20.436,NA
2008,3,11,15,20.817,NA
2008,3,11,16,21.413,NA
2008,3,11,17,20.174,NA
2008,3,11,18,17.034,NA
2008,3,11,19,14.218,NA
2008,3,11,20,12.751,NA
2008,3,11,21,11.394,NA
2008,3,11,22,10.638,NA
2008,3,11,23,11.467,NA
2008,3,12,0,13.93,NA
2008,3,12,1,13.882,NA
2008,3,12,2,9.558,NA
2008,3,12,3,8.469,NA
2008,3,12,4,8.095,NA
2008,3,12,5,7.97,NA
2008,3,12,6,7.142,NA
2008,3,12,7,6.737,NA
2008,3,12,8,10.198,NA
2008,3,12,9,13.257,NA
2008,3,12,10,15.652,NA
2008,3,12,11,19.056,NA
2008,3,12,12,20.889,NA
2008,3,12,13,20.841,NA
2008,3,12,14,22.011,NA
2008,3,12,15,22.369,NA
2008,3,12,16,21.915,NA
2008,3,12,17,19.96,NA
2008,3,12,18,19.579,NA
2008,3,12,19,17.653,NA
2008,3,12,20,16.582,NA
2008,3,12,21,15.533,NA
2008,3,12,22,16.034,NA
2008,3,12,23,16.082,NA
2008,3,13,0,14.17,NA
2008,3,13,1,14.266,NA
2008,3,13,2,13.497,NA
2008,3,13,3,12.437,NA
2008,3,13,4,12.074,NA
2008,3,13,5,11.977,NA
2008,3,13,6,12.05,NA
2008,3,13,7,12.437,NA
2008,3,13,8,13.57,NA
2008,3,13,9,15.676,NA
2008,3,13,10,17.986,NA
2008,3,13,11,19.127,NA
2008,3,13,12,20.817,NA
2008,3,13,13,19.698,NA
2008,3,13,14,20.936,NA
2008,3,13,15,19.674,NA
2008,3,13,16,17.534,NA
2008,3,13,17,16.487,NA
2008,3,13,18,15.055,NA
2008,3,13,19,13.497,NA
2008,3,13,20,12.703,NA
2008,3,13,21,12.268,NA
2008,3,13,22,11.565,NA
2008,3,13,23,10.736,NA
2008,3,14,0,9.336,NA
2008,3,14,1,7.845,NA
2008,3,14,2,8.494,NA
2008,3,14,3,7.82,NA
2008,3,14,4,8.668,NA
2008,3,14,5,7.619,NA
2008,3,14,6,8.419,NA
2008,3,14,7,8.891,NA
2008,3,14,8,11.419,NA
2008,3,14,9,12.437,NA
2008,3,14,10,14.745,NA
2008,3,14,11,14.266,NA
2008,3,14,12,16.963,NA
2008,3,14,13,13.546,NA
2008,3,14,14,14.792,NA
2008,3,14,15,14.936,NA
2008,3,14,16,13.69,NA
2008,3,14,17,12.944,NA
2008,3,14,18,11.297,NA
2008,3,14,19,9.829,NA
2008,3,14,20,9.435,NA
2008,3,14,21,8.965,NA
2008,3,14,22,8.419,NA
2008,3,14,23,6.965,NA
2008,3,15,0,6.763,NA
2008,3,15,1,6.484,NA
2008,3,15,2,5.514,NA
2008,3,15,3,6.889,NA
2008,3,15,4,6.102,NA
2008,3,15,5,6.914,NA
2008,3,15,6,6.102,NA
