"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"1998/1999",1999,120,120,100,1552,1302,74.1439230018516,688.514565733053,"observed"
"1999/2000",2000,120,120,100,1913,1660.5,83.8940221266594,1256.48727940204,"observed"
"2000/2001",2001,121,121,100,1543,1566.5,75.3399703390607,1829.69863324659,"observed"
"2001/2002",2002,120,120,100,1592,1436.5,82.2099652465843,1852.84919662082,"observed"
"2002/2003",2003,120,120,100,1435,1181,68.7700422959931,429.29779137467,"observed"
"2003/2004",2004,120,120,100,1617,1571.5,79.0821888613075,1506.89325643413,"observed"
"2004/2005",2005,121,121,100,1796,1503.5,78.3660098906349,1161.42537795667,"observed"
"2001/2002",2002,120,120,100,1347,1165,71.2438533750717,1221.35000678697,"simulated"
"2002/2003",2003,120,120,100,1452,1193.5,75.0441378184988,1049.55468900313,"simulated"
"2003/2004",2004,120,120,100,1627,1606,79.3362897780075,2154.87676954827,"simulated"
"2004/2005",2005,121,121,100,1580,1380.5,76.7700804005281,1213.58604594163,"simulated"
"2005/2006",2006,120,120,100,1391,1147,67.2891323925627,1027.83683614817,"simulated"
"2006/2007",2007,120,120,100,1608,1369,78.6050161036487,1660.85639911534,"simulated"
"2007/2008",2008,120,120,100,1809,1540.5,82.9858002196888,1355.35677965703,"simulated"
"2008/2009",2009,121,121,100,1690,1537.5,81.1792263998214,1769.64826007492,"simulated"
"2009/2010",2010,120,120,100,1291,1254.5,73.6636872304351,1782.27113084474,"simulated"
"2010/2011",2011,120,120,100,1315,1110,68.8629792291052,1708.62143605434,"simulated"
"2011/2012",2012,120,120,100,1723,1455.5,80.1356641796705,1051.4424534731,"simulated"
"2012/2013",2013,121,121,100,1497,1504.5,77.0889292253733,1788.52223670824,"simulated"
"2013/2014",2014,120,120,100,1629,1429,74.5919695485806,1832.08606715959,"simulated"
"2014/2015",2015,120,120,100,1829,1873.5,85.1875492079164,1857.03413684091,"simulated"
"2015/2016",2016,120,120,100,1561,1277,77.3120427868305,864.512508345651,"simulated"
"2016/2017",2017,121,121,100,1579,1464.5,72.6436055095564,1397.95119625293,"simulated"
"2017/2018",2018,120,120,100,1378,1244,75.4024824308115,1930.27811352384,"simulated"
"2018/2019",2019,120,120,100,1519,1476.5,80.2606760215435,2299.64884149633,"simulated"
"2019/2020",2020,120,120,100,1526,1252.5,73.7049418871077,932.110544063914,"simulated"
"2020/2021",2021,121,121,100,1282,1054.5,71.31361364041,1220.57767861871,"simulated"
"2021/2022",2022,120,120,100,1707,1815.5,83.7338263324101,1882.59900452382,"simulated"
"2022/2023",2023,120,120,100,1682,1381,79.2669893746242,1199.15632564387,"simulated"
"2023/2024",2024,120,120,100,1513,1147,71.3408053814937,759.022132843908,"simulated"
"2024/2025",2025,121,121,100,1588,1222.5,75.4200277367741,762.437495693213,"simulated"
"2025/2026",2026,120,120,100,1458,1281,72.705978174599,1462.62480701214,"simulated"
"2026/2027",2027,120,120,100,1714,1834.5,82.3514261560654,3056.55363046777,"simulated"
"2027/2028",2028,120,120,100,1645,1384.5,76.5963062697235,923.352674216189,"simulated"
"2028/2029",2029,121,121,100,1774,1651.5,80.8482158032753,1764.62083761008,"simulated"
"2029/2030",2030,120,120,100,1710,1538,80.5764233799155,1357.04970686351,"simulated"
"2030/2031",2031,120,120,100,1780,1423,76.3259810252361,813.703149603122,"simulated"
"2031/2032",2032,120,120,100,1844,1638.5,79.6691790457032,1252.85333097901,"simulated"
"2032/2033",2033,121,121,100,1645,1352.5,76.4787070355992,1331.2779842767,"simulated"
"2033/2034",2034,120,120,100,1632,1561.5,80.2889785862082,2062.39607777867,"simulated"
