"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.6093689035,6755.17875852711,337
"2002/2003",2003,120,120,100,84.1395100915635,5633.2671521405,376
"2003/2004",2004,120,120,100,84.7170731993168,3413.47768033337,535
"2004/2005",2005,121,121,100,87.3464666925942,4531.11438997631,240
"2005/2006",2006,120,120,100,89.2562271099529,6341.06875931105,120
"2006/2007",2007,120,120,100,85.7049029077032,4919.58332665719,372
"2007/2008",2008,120,120,100,79.8505117933641,3515.25407645211,564
"2008/2009",2009,121,121,100,84.7652977877819,4255.20739802753,485
"2009/2010",2010,120,120,100,87.6921668733971,4549.09128196153,309
"2010/2011",2011,120,120,100,90.8704532568579,4082.97632541077,132
"2011/2012",2012,120,120,100,87.1621309812249,4032.61808717216,282
"2012/2013",2013,121,121,100,87.8358773423838,4259.3260390549,467
"2013/2014",2014,120,120,100,84.933766205357,3516.52970810723,434
"2014/2015",2015,120,120,100,69.6878812095399,5134.82870467484,979
"2015/2016",2016,120,120,100,88.0621743578693,4961.16265235003,280
"2016/2017",2017,121,121,100,80.4186818620933,6159.11322266376,448
"2017/2018",2018,120,120,100,77.791950376934,5662.28467133129,576
"2018/2019",2019,120,120,100,78.419787930829,3382.0305438994,635
"2019/2020",2020,120,120,100,84.5994943469218,5984.5568456857,349
"2020/2021",2021,121,121,100,84.3783271124394,6701.87055468769,246
"2021/2022",2022,120,120,100,80.9062840211741,3279.86148955836,710
"2022/2023",2023,120,120,100,80.5449841669888,5089.28040525853,391
"2023/2024",2024,120,120,100,88.9967629769908,5556.93756051641,119
"2024/2025",2025,121,121,100,89.0510215810782,5412.25594760664,179
"2025/2026",2026,120,120,100,83.5676923933997,5536.15453878976,337
"2026/2027",2027,120,120,100,79.9783937057982,2785.46892415592,954
"2027/2028",2028,120,120,100,83.2392623040778,4868.8991701249,383
"2028/2029",2029,121,121,100,88.326696118766,3270.20757819666,410
"2029/2030",2030,120,120,100,85.1437823841507,3926.50259911944,416
"2030/2031",2031,120,120,100,86.0770720983028,5878.84758486762,356
"2031/2032",2032,120,120,100,81.8227200677538,4497.70944521343,530
"2032/2033",2033,121,121,100,86.4204071569111,4275.74183158996,356
"2033/2034",2034,120,120,100,85.1272483823559,3226.23299958883,535
"2034/2035",2035,120,120,100,79.6446427970432,3362.23448472843,645
"2035/2036",2036,120,120,100,85.7866480552757,4951.1375696375,333
"2036/2037",2037,121,121,100,86.6509078911458,5181.92372165201,360
"2037/2038",2038,120,120,100,81.610638084805,2430.89004813693,576
"2038/2039",2039,120,120,100,85.0309042739027,5641.97284848429,337
"2039/2040",2040,120,120,100,89.0163319268713,7277.04921902204,139
"2040/2041",2041,121,121,100,88.4259776866556,5090.79246991128,279
"2041/2042",2042,120,120,100,90.8613764804413,3242.95600284124,254
"2042/2043",2043,120,120,100,79.5518261704919,9001.5143001168,271
"2043/2044",2044,120,120,100,86.1860409787578,2350.1507672295,438
"2044/2045",2045,121,121,100,89.8015413954836,4010.47497220943,236
"2045/2046",2046,120,120,100,83.6537762707849,3210.03441185597,677
"2046/2047",2047,120,120,100,84.2064341556052,3590.03257663967,460
"2047/2048",2048,120,120,100,83.0723212470866,3747.96315181023,553
"2048/2049",2049,121,121,100,90.3478069518333,3620.89660263015,250
"2049/2050",2050,120,120,100,86.3565831093838,2404.49933000607,419
"2050/2051",2051,120,120,100,82.8767507102912,1997.42393225012,571
"2051/2052",2052,120,120,100,81.7023597495518,5095.81383048929,441
"2052/2053",2053,121,121,100,80.0253187072813,6443.29666568106,435
"2053/2054",2054,120,120,100,84.9645424442415,6338.90247499431,305
"2054/2055",2055,120,120,100,87.1854537629679,5627.01532939216,154
"2055/2056",2056,120,120,100,85.0267381350923,4491.97535654996,408
"2056/2057",2057,121,121,100,79.5716982536551,6097.34424771322,235
"2057/2058",2058,120,120,100,81.4193010670533,4600.91789572081,530
"2058/2059",2059,120,120,100,88.8373655066271,5534.65580126084,178
"2059/2060",2060,120,120,100,80.7410274228005,3090.64086527796,673
"2060/2061",2061,121,121,100,87.9097569191981,5449.41093976516,270
"2061/2062",2062,120,120,100,76.3476097238345,6677.78512730543,385
"2062/2063",2063,120,120,100,82.5408123729503,2692.45854872745,569
"2063/2064",2064,120,120,100,84.9663588207077,2761.00823364314,558
"2064/2065",2065,121,121,100,84.4395479542436,4575.58350583818,489
"2065/2066",2066,120,120,100,87.9976223440826,5177.41537672933,347
"2066/2067",2067,120,120,100,88.8016107836265,4448.12362503726,159
"2067/2068",2068,120,120,100,84.2358969942361,2572.74395129457,614
"2068/2069",2069,121,121,100,84.9699243058749,7082.71010186896,274
"2069/2070",2070,120,120,100,83.2853423931665,4617.30776173249,504
"2070/2071",2071,120,120,100,83.5423073829879,4367.68693756312,421
"2071/2072",2072,120,120,100,84.1186117298366,4519.53365353309,385
"2072/2073",2073,121,121,100,83.344332106697,6037.23804734927,304
"2073/2074",2074,120,120,100,85.7580456134438,6603.55876981746,263
"2074/2075",2075,120,120,100,72.8442502694616,6981.52699477412,590
"2075/2076",2076,120,120,100,80.2872361852133,6860.00863976404,464
"2076/2077",2077,121,121,100,88.9262424533863,6003.60248973407,122
"2077/2078",2078,120,120,100,84.1264433412343,2548.48884384055,557
"2078/2079",2079,120,120,100,84.7131526046669,2454.78041386884,620
"2079/2080",2080,120,120,100,88.461965140521,4273.89918276481,288
"2080/2081",2081,121,121,100,89.6044044157188,5712.48361021187,123
"2081/2082",2082,120,120,100,86.1373936928139,4989.03447716963,373
"2082/2083",2083,120,120,100,84.4772056679849,4922.0474115992,265
"2083/2084",2084,120,120,100,85.6081360973294,6644.78615054488,307
"2084/2085",2085,121,121,100,80.877827244376,3028.63300555944,595
"2085/2086",2086,120,120,100,83.9825899292573,4128.07506616414,425
"2086/2087",2087,120,120,100,85.7958045389441,3787.05122362077,459
"2087/2088",2088,120,120,100,87.1506380069932,3595.90505629592,357
"2088/2089",2089,121,121,100,83.6687409021433,4739.96206769533,498
"2089/2090",2090,120,120,100,88.8291175436188,3509.373467898,355
"2090/2091",2091,120,120,100,85.2161595848429,2094.78500493336,580
"2091/2092",2092,120,120,100,85.3272707603737,3430.35181623138,501
"2092/2093",2093,121,121,100,85.5445830898116,2803.27518351283,516
"2093/2094",2094,120,120,100,83.1789361263618,5962.71073151845,379
"2094/2095",2095,120,120,100,84.5681449143613,4924.83254138939,499
"2095/2096",2096,120,120,100,90.1109202649968,3779.957127464,236
"2096/2097",2097,121,121,100,81.853185997059,7397.43349793274,191
"2097/2098",2098,120,120,100,75.2133616090305,6978.59255207051,457
"2098/2099",2099,120,120,100,84.4909173161814,4067.05366869643,483
"2099/2100",2100,120,120,100,82.2808928204413,4600.89395414945,520
