"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.3760070350703,7292.27120082807,325
"2002/2003",2003,120,120,100,82.6324802375306,6440.42583289454,410
"2003/2004",2004,120,120,100,85.6429938355773,3700.4370970848,548
"2004/2005",2005,121,121,100,89.5134814533417,4786.03177092638,249
"2005/2006",2006,120,120,100,88.8776917146392,6508.93766876188,107
"2006/2007",2007,120,120,100,83.5519686242673,5420.92517579277,375
"2007/2008",2008,120,120,100,81.3400565887796,4003.60741530731,595
"2008/2009",2009,121,121,100,86.4578057624663,4553.88950578845,451
"2009/2010",2010,120,120,100,88.0399628244375,4945.27024514659,333
"2010/2011",2011,120,120,100,90.4947601019796,4209.12984518707,115
"2011/2012",2012,120,120,100,86.3634697830212,4389.72930668236,271
"2012/2013",2013,121,121,100,86.1046869511772,4973.24065362767,509
"2013/2014",2014,120,120,100,84.2460676196342,3787.80526650429,415
"2014/2015",2015,120,120,100,68.8631527740406,5840.43574930064,996
"2015/2016",2016,120,120,100,85.7124632123412,5598.25718815892,296
"2016/2017",2017,121,121,100,80.5460161011497,6718.19429400587,473
"2017/2018",2018,120,120,100,74.8025499653672,6266.37224161928,593
"2018/2019",2019,120,120,100,77.5001535508673,4029.60150121851,667
"2019/2020",2020,120,120,100,83.8717776098028,6416.78630135837,329
"2020/2021",2021,121,121,100,84.3989211042658,7069.03253431362,236
"2021/2022",2022,120,120,100,79.3796404975656,3739.99984033382,702
"2022/2023",2023,120,120,100,79.0420465828283,5741.71900150436,406
"2023/2024",2024,120,120,100,87.0380282504834,6182.09398717387,143
"2024/2025",2025,121,121,100,89.5310422379639,5788.50055893208,174
"2025/2026",2026,120,120,100,84.2621520355874,5652.39931115718,282
"2026/2027",2027,120,120,100,77.999809908446,2918.0435598481,890
"2027/2028",2028,120,120,100,83.5487719186062,5174.90449143597,365
"2028/2029",2029,121,121,100,86.9732571846575,3768.26498477324,428
"2029/2030",2030,120,120,100,82.7408901245685,4551.16242486658,451
"2030/2031",2031,120,120,100,85.1304711635212,6443.96766496263,339
"2031/2032",2032,120,120,100,80.5914653828854,5116.25414974242,546
"2032/2033",2033,121,121,100,85.3874949872752,4686.1608595117,380
"2033/2034",2034,120,120,100,85.2621494504547,3574.63382996898,548
"2034/2035",2035,120,120,100,78.8706955501639,4020.02355503198,665
"2035/2036",2036,120,120,100,83.9660691313047,5518.71364230989,338
"2036/2037",2037,121,121,100,86.5814048978764,5785.29135403922,351
"2037/2038",2038,120,120,100,81.3712249325663,2722.13020653557,569
"2038/2039",2039,120,120,100,82.4650169159704,6181.2327321698,337
"2039/2040",2040,120,120,100,85.74624157981,7901.98421440413,172
"2040/2041",2041,121,121,100,88.1975025738047,5744.26049926598,305
"2041/2042",2042,120,120,100,88.6248909022715,3704.03690729896,274
"2042/2043",2043,120,120,100,77.5854588828397,9857.19445667323,286
"2043/2044",2044,120,120,100,85.8146016954788,2730.76835920056,465
"2044/2045",2045,121,121,100,88.3656927980683,4633.55675906735,246
"2045/2046",2046,120,120,100,82.2489167296353,3907.23458522884,695
"2046/2047",2047,120,120,100,81.752121888735,4093.29888016777,504
"2047/2048",2048,120,120,100,81.9727499727069,4416.76115472754,569
"2048/2049",2049,121,121,100,90.7442799487999,4083.77996184537,255
"2049/2050",2050,120,120,100,84.5241174653029,2860.69426333904,432
"2050/2051",2051,120,120,100,82.3668886969654,2281.20615193853,570
"2051/2052",2052,120,120,100,79.884748696838,5412.56996378209,418
"2052/2053",2053,121,121,100,79.6295854540676,7143.44865004672,393
"2053/2054",2054,120,120,100,85.3122854409166,6796.14825844672,298
"2054/2055",2055,120,120,100,86.8529515666205,6217.38353600772,175
"2055/2056",2056,120,120,100,82.5637618985393,5169.89571091626,429
"2056/2057",2057,121,121,100,77.525577087119,6526.52543883864,218
"2057/2058",2058,120,120,100,82.804510924394,4889.01818780601,528
"2058/2059",2059,120,120,100,87.6422146662799,6000.04666204099,179
"2059/2060",2060,120,120,100,79.8817306853089,3690.92840540782,698
"2060/2061",2061,121,121,100,86.2597651085543,6115.89328042511,290
"2061/2062",2062,120,120,100,74.8075827581388,7257.24638109654,364
"2062/2063",2063,120,120,100,82.7043371339587,3086.63803865481,564
"2063/2064",2064,120,120,100,83.5061357067898,3170.78625659738,551
"2064/2065",2065,121,121,100,84.8986489284271,5029.91295440122,487
"2065/2066",2066,120,120,100,87.5478443062129,5319.22966717929,307
"2066/2067",2067,120,120,100,86.7367382816101,5033.37040057685,187
"2067/2068",2068,120,120,100,83.9309252779694,2736.18465606309,583
"2068/2069",2069,121,121,100,85.7676067291086,7246.45966668613,261
"2069/2070",2070,120,120,100,80.9952018484801,5157.48799669743,499
"2070/2071",2071,120,120,100,84.4425440716223,4663.25288061984,416
"2071/2072",2072,120,120,100,82.981107701471,4999.65182648692,415
"2072/2073",2073,121,121,100,81.0692062124745,6691.79810031224,345
"2073/2074",2074,120,120,100,84.5779405968733,6826.69871151075,251
"2074/2075",2075,120,120,100,73.1892821994134,7605.83885230124,598
"2075/2076",2076,120,120,100,79.2140808024669,7324.5801497763,433
"2076/2077",2077,121,121,100,88.5308364705234,6438.46922107972,109
"2077/2078",2078,120,120,100,82.7885292146748,3001.83866212703,566
"2078/2079",2079,120,120,100,85.2217810162638,2602.52719634492,596
"2079/2080",2080,120,120,100,88.5503600124612,4555.64580940828,289
"2080/2081",2081,121,121,100,88.0797229979253,6138.00764047354,117
"2081/2082",2082,120,120,100,85.1020624222729,5619.00225792825,394
"2082/2083",2083,120,120,100,82.0403463899638,5587.12542091589,298
"2083/2084",2084,120,120,100,85.7854549659514,7224.95740868989,318
"2084/2085",2085,121,121,100,81.2453012928836,3248.34830121696,587
"2085/2086",2086,120,120,100,83.6997942384805,4588.00565100368,433
"2086/2087",2087,120,120,100,83.3562635340877,4459.58713934477,480
"2087/2088",2088,120,120,100,85.5577842639541,4070.73869785946,376
"2088/2089",2089,121,121,100,82.9343716967051,5352.5682049403,509
"2089/2090",2090,120,120,100,86.9039592721419,4128.60578183085,412
"2090/2091",2091,120,120,100,84.7442166115088,2375.84043032862,564
"2091/2092",2092,120,120,100,85.303470511828,4067.9590368038,498
"2092/2093",2093,121,121,100,85.1125054831446,3340.94102186803,546
"2093/2094",2094,120,120,100,82.9909980501034,6500.22162163351,359
"2094/2095",2095,120,120,100,82.6340939148085,5618.85774785094,543
"2095/2096",2096,120,120,100,89.7504597460629,4404.79842070211,260
"2096/2097",2097,121,121,100,79.4938840380673,8241.1692065103,236
"2097/2098",2098,120,120,100,74.3672086941478,7683.03267347999,481
"2098/2099",2099,120,120,100,84.6180891027489,4747.81091777794,500
"2099/2100",2100,120,120,100,80.7261018408899,5110.0829464579,502
