"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.7911832335159,4609.86791388111,485
"2002/2003",2003,120,120,100,82.4100265548869,3860.73374306157,510
"2003/2004",2004,120,120,100,82.0333913173596,1839.26304848283,756
"2004/2005",2005,121,121,100,85.9347998514025,2931.91591028217,463
"2005/2006",2006,120,120,100,86.8545237789259,4400.83598642552,347
"2006/2007",2007,120,120,100,85.5176067718835,3430.67425970174,522
"2007/2008",2008,120,120,100,78.3060108387523,2309.05524831993,823
"2008/2009",2009,121,121,100,81.1598665676875,2748.21501684358,649
"2009/2010",2010,120,120,100,82.5444861526159,2910.38908202027,503
"2010/2011",2011,120,120,100,87.1712045769971,2658.29175617511,374
"2011/2012",2012,120,120,100,83.7052444376568,2481.23644738575,484
"2012/2013",2013,121,121,100,85.128456203558,2892.68396609812,706
"2013/2014",2014,120,120,100,79.1045994255214,2408.99525419821,764
"2014/2015",2015,120,120,100,68.9526650533878,4044.27041905117,1272
"2015/2016",2016,120,120,100,83.970124436461,3235.93793920695,440
"2016/2017",2017,121,121,100,79.0512994519554,4627.14515556372,662
"2017/2018",2018,120,120,100,75.4304037588854,3929.81327667017,795
"2018/2019",2019,120,120,100,74.0711239613952,2465.46689442662,902
"2019/2020",2020,120,120,100,82.1397815279538,4115.69988585962,572
"2020/2021",2021,121,121,100,85.4904407336521,4597.0134701822,381
"2021/2022",2022,120,120,100,74.4086116781068,2407.4263444799,1046
"2022/2023",2023,120,120,100,77.2787592048285,3854.05576135102,696
"2023/2024",2024,120,120,100,87.3470724657009,3751.19458816992,353
"2024/2025",2025,121,121,100,88.9529626398294,3435.32408335037,403
"2025/2026",2026,120,120,100,84.7193076027561,3444.20791367558,476
"2026/2027",2027,120,120,100,73.3911192877868,1612.19961343496,1191
"2027/2028",2028,120,120,100,81.8782651620277,3245.80356729985,618
"2028/2029",2029,121,121,100,83.3432197374177,2217.75861811871,689
"2029/2030",2030,120,120,100,80.9527320867242,2758.44079608191,710
"2030/2031",2031,120,120,100,85.9025185552846,3717.67519235169,554
"2031/2032",2032,120,120,100,79.2276209517522,2867.04638955556,750
"2032/2033",2033,121,121,100,82.820282754019,2994.03502105922,616
"2033/2034",2034,120,120,100,82.0531430410838,2010.88776666857,812
"2034/2035",2035,120,120,100,76.284532836984,2414.54589781724,877
"2035/2036",2036,120,120,100,82.1003576208359,3447.4738113163,615
"2036/2037",2037,121,121,100,84.7266770678898,3537.97363948263,597
"2037/2038",2038,120,120,100,79.5498417767558,1673.12607322261,941
"2038/2039",2039,120,120,100,81.9624541001904,4065.23554698518,488
"2039/2040",2040,120,120,100,89.1451815955033,4820.39359572809,284
"2040/2041",2041,121,121,100,86.86014723275,3188.38316939818,456
"2041/2042",2042,120,120,100,85.0750331586432,1944.26930186944,494
"2042/2043",2043,120,120,100,84.3165928014123,6469.08546190569,368
"2043/2044",2044,120,120,100,81.0280844504759,1473.27001918247,739
"2044/2045",2045,121,121,100,85.7621441935516,2794.77492310759,446
"2045/2046",2046,120,120,100,76.8497852255632,2340.50369662978,942
"2046/2047",2047,120,120,100,79.7444597828089,2535.80329700466,729
"2047/2048",2048,120,120,100,79.5528902572605,2509.36776261916,722
"2048/2049",2049,121,121,100,87.5463880100497,2260.83962129336,451
"2049/2050",2050,120,120,100,80.3168027416277,1639.51173957577,813
"2050/2051",2051,120,120,100,77.8282110253258,1218.15214719623,871
"2051/2052",2052,120,120,100,80.9787869873098,3465.28479586728,669
"2052/2053",2053,121,121,100,80.6084797216299,4400.19594615139,577
"2053/2054",2054,120,120,100,84.4773052726532,4181.04873785423,446
"2054/2055",2055,120,120,100,86.5229439581753,3869.2745914408,387
"2055/2056",2056,120,120,100,81.0126718314523,3081.64057320682,633
"2056/2057",2057,121,121,100,77.0177327689416,4502.89239738788,508
"2057/2058",2058,120,120,100,78.4492841528199,3026.56518435711,778
"2058/2059",2059,120,120,100,87.5007123530086,3687.68779722461,328
"2059/2060",2060,120,120,100,74.8714399734527,2122.52443142049,1014
"2060/2061",2061,121,121,100,85.419768093012,4117.47252873005,503
"2061/2062",2062,120,120,100,70.7331444515203,5475.25166893797,714
"2062/2063",2063,120,120,100,76.8578108198035,1739.56560387462,834
"2063/2064",2064,120,120,100,82.8407231597121,1404.111519848,794
"2064/2065",2065,121,121,100,79.9108799346704,3336.60539398715,748
"2065/2066",2066,120,120,100,84.8888650557346,3450.57608823013,535
"2066/2067",2067,120,120,100,85.8112275774602,2917.008991268,404
"2067/2068",2068,120,120,100,79.5750193502663,1669.00960790645,884
"2068/2069",2069,121,121,100,85.4550244601651,5183.99278818071,499
"2069/2070",2070,120,120,100,77.8840520612994,3403.54656154756,805
"2070/2071",2071,120,120,100,80.4430846311134,2880.94895836897,594
"2071/2072",2072,120,120,100,83.2808966383982,2617.65062740538,629
"2072/2073",2073,121,121,100,83.2664126297877,4260.61267709639,596
"2073/2074",2074,120,120,100,84.2875025187386,4518.86582737882,400
"2074/2075",2075,120,120,100,70.412828577686,5485.88009505253,767
"2075/2076",2076,120,120,100,83.3246649720204,4435.65769052599,607
"2076/2077",2077,121,121,100,88.1267267189123,4053.69611472171,279
"2077/2078",2078,120,120,100,78.327320768276,1484.95648067445,883
"2078/2079",2079,120,120,100,77.1145985562998,1524.28903649468,825
"2079/2080",2080,120,120,100,86.6540978838893,2760.5345007088,464
"2080/2081",2081,121,121,100,87.3463096367832,3786.59900748543,307
"2081/2082",2082,120,120,100,80.7947711519719,3801.7064156225,614
"2082/2083",2083,120,120,100,82.9906197698947,3479.94074511621,476
"2083/2084",2084,120,120,100,82.732112903841,4605.70900461078,434
"2084/2085",2085,121,121,100,76.8638810204757,1772.40412345622,868
"2085/2086",2086,120,120,100,80.9219186970058,2635.78702436481,649
"2086/2087",2087,120,120,100,82.3207825477966,2826.79769192915,724
"2087/2088",2088,120,120,100,82.9851617049208,2320.08769776206,586
"2088/2089",2089,121,121,100,81.374321572599,3501.96206920594,767
"2089/2090",2090,120,120,100,86.2900253739972,2302.77252796385,623
"2090/2091",2091,120,120,100,78.8475060351866,1382.49626977649,890
"2091/2092",2092,120,120,100,81.0566705859437,2447.71826863661,806
"2092/2093",2093,121,121,100,81.1602869309863,1771.69474461302,794
"2093/2094",2094,120,120,100,82.2605706911163,4249.27705147583,551
"2094/2095",2095,120,120,100,82.2815295573801,3518.80639502313,750
"2095/2096",2096,120,120,100,87.2884339198245,2528.30389002059,502
"2096/2097",2097,121,121,100,81.3771175715774,5607.44730171189,409
"2097/2098",2098,120,120,100,73.4981029309765,5191.75873964652,687
"2098/2099",2099,120,120,100,78.4701860709411,2923.16028331965,825
"2099/2100",2100,120,120,100,78.5518429057138,3146.70832466334,715
