"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,85.5044182001114,5797.34411188768,352
"2002/2003",2003,120,120,100,84.1938442242085,4902.8254356933,425
"2003/2004",2004,120,120,100,84.0578093652575,2887.26828421903,647
"2004/2005",2005,121,121,100,89.0056967784163,3682.79360399875,286
"2005/2006",2006,120,120,100,87.7300971054461,5475.76904679887,152
"2006/2007",2007,120,120,100,83.8115810355903,4369.51163063117,425
"2007/2008",2008,120,120,100,80.4475767120749,2803.47068126511,631
"2008/2009",2009,121,121,100,85.409979192835,3473.50642945775,525
"2009/2010",2010,120,120,100,86.673435699945,4090.96444315382,422
"2010/2011",2011,120,120,100,89.1323648709304,3613.11851382523,201
"2011/2012",2012,120,120,100,87.1620219133879,3245.64432827069,307
"2012/2013",2013,121,121,100,85.1312812508932,3889.81884027529,579
"2013/2014",2014,120,120,100,82.9558248889441,2933.31513952673,481
"2014/2015",2015,120,120,100,71.7466061248795,4373.1219831591,1077
"2015/2016",2016,120,120,100,87.685304452059,4134.79643087974,337
"2016/2017",2017,121,121,100,80.4339532225549,5540.22393101454,538
"2017/2018",2018,120,120,100,77.3415821091785,4872.43624988035,645
"2018/2019",2019,120,120,100,78.1765273452056,2886.98930882639,763
"2019/2020",2020,120,120,100,85.6840618292322,5076.35238906764,406
"2020/2021",2021,121,121,100,87.4175803377375,5785.03362454427,308
"2021/2022",2022,120,120,100,78.7136427956807,2855.44494341617,811
"2022/2023",2023,120,120,100,82.4469260257292,4313.56618174864,467
"2023/2024",2024,120,120,100,88.4394937040365,4748.14368828223,176
"2024/2025",2025,121,121,100,89.8970881511154,4375.1865004797,196
"2025/2026",2026,120,120,100,85.3778054677359,4635.9005310596,364
"2026/2027",2027,120,120,100,76.9586553741419,2228.12154871621,1006
"2027/2028",2028,120,120,100,85.1028783126021,3884.12573284423,423
"2028/2029",2029,121,121,100,86.4994832478606,2965.21345556248,523
"2029/2030",2030,120,120,100,85.2887738888198,3415.28260792908,502
"2030/2031",2031,120,120,100,85.0778511272702,5060.167924518,386
"2031/2032",2032,120,120,100,81.0731241836411,3952.53924341267,607
"2032/2033",2033,121,121,100,86.7833385321192,3632.66434809379,434
