"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,85.8940952554174,5707.55186208499,375
"2002/2003",2003,120,120,100,83.798552187706,4831.30301949475,423
"2003/2004",2004,120,120,100,83.0546974303031,2832.30096077552,641
"2004/2005",2005,121,121,100,88.1436611860205,3674.74235487776,303
"2005/2006",2006,120,120,100,88.0864606208784,5263.9656050069,157
"2006/2007",2007,120,120,100,85.8048136955517,4158.86034283898,429
"2007/2008",2008,120,120,100,80.0679526536038,2822.26855203044,645
"2008/2009",2009,121,121,100,85.2714491161362,3412.51239201275,534
"2009/2010",2010,120,120,100,86.8064725787515,3860.22848267364,401
"2010/2011",2011,120,120,100,90.2745853886518,3287.33035745157,179
"2011/2012",2012,120,120,100,86.8799138990034,3228.02865896549,333
"2012/2013",2013,121,121,100,86.9207477075483,3641.75950698706,556
"2013/2014",2014,120,120,100,83.7083202634221,2868.16324944049,508
"2014/2015",2015,120,120,100,70.8541285589599,4458.06261960545,1106
"2015/2016",2016,120,120,100,87.1031369783936,4115.09719590994,344
"2016/2017",2017,121,121,100,81.339916282438,5337.14461741247,529
"2017/2018",2018,120,120,100,77.0178800505173,4885.77016129624,695
"2018/2019",2019,120,120,100,77.6101958495292,2858.03406934673,749
"2019/2020",2020,120,120,100,85.5797067540052,5002.04081016476,404
"2020/2021",2021,121,121,100,85.3747330530468,5700.3596419238,313
"2021/2022",2022,120,120,100,79.9177536508282,2718.48594941059,813
"2022/2023",2023,120,120,100,80.8925064733335,4276.85771718947,460
"2023/2024",2024,120,120,100,90.2483174678628,4572.93100732262,164
"2024/2025",2025,121,121,100,91.1135166858567,4386.08808533754,223
"2025/2026",2026,120,120,100,84.099404393331,4646.0921421852,395
"2026/2027",2027,120,120,100,76.7973729505338,2266.88334166002,1040
"2027/2028",2028,120,120,100,82.5039660592283,3957.40620161383,450
"2028/2029",2029,121,121,100,86.2595427936808,2699.24472739361,492
"2029/2030",2030,120,120,100,84.659010141389,3264.67394341691,505
"2030/2031",2031,120,120,100,84.7159499941445,5028.15248683468,419
"2031/2032",2032,120,120,100,80.4114684859687,3899.74008896132,594
"2032/2033",2033,121,121,100,85.7006328054049,3533.98029078543,421
"2033/2034",2034,120,120,100,83.8687492032905,2636.42517809523,636
"2034/2035",2035,120,120,100,78.5232202405714,2801.903763026,720
"2035/2036",2036,120,120,100,84.7267289321644,4191.41950873239,389
"2036/2037",2037,121,121,100,87.8438022983555,4279.91837500036,414
"2037/2038",2038,120,120,100,82.606033783064,1891.54303473746,680
"2038/2039",2039,120,120,100,85.5944027197356,4694.99281626055,367
"2039/2040",2040,120,120,100,89.3135351084829,6163.26215841016,209
"2040/2041",2041,121,121,100,88.9836744682389,4211.08790918533,356
"2041/2042",2042,120,120,100,88.514790116481,2643.72613249766,332
"2042/2043",2043,120,120,100,84.1021512829138,7866.01306591742,300
"2043/2044",2044,120,120,100,84.6788420109178,1949.89313848689,551
"2044/2045",2045,121,121,100,87.8746219570112,3289.14940837398,283
"2045/2046",2046,120,120,100,82.0608553100301,2663.52334621921,748
"2046/2047",2047,120,120,100,82.871154133868,2916.69100741064,545
"2047/2048",2048,120,120,100,81.2908679953689,3116.87222640729,610
"2048/2049",2049,121,121,100,90.2431344979486,2924.5331738526,322
"2049/2050",2050,120,120,100,83.0113118076479,1903.2836062829,518
"2050/2051",2051,120,120,100,81.6043838232836,1570.46481735352,670
"2051/2052",2052,120,120,100,83.3904964178573,4124.28668278921,513
"2052/2053",2053,121,121,100,82.6205925673539,5495.36248162203,479
"2053/2054",2054,120,120,100,86.4168819851075,5434.99394030357,329
"2054/2055",2055,120,120,100,87.7796400112584,4704.6927516791,212
"2055/2056",2056,120,120,100,85.0410462438649,3722.30088748969,475
"2056/2057",2057,121,121,100,79.9301501157715,5163.73487140145,297
"2057/2058",2058,120,120,100,82.464266689869,3732.13294885447,598
"2058/2059",2059,120,120,100,89.3827245418397,4586.13362436555,240
"2059/2060",2060,120,120,100,79.6697013319608,2551.15137231257,773
"2060/2061",2061,121,121,100,88.5777157211141,4551.44227817655,327
"2061/2062",2062,120,120,100,75.3175652523951,5737.00283937436,465
"2062/2063",2063,120,120,100,79.7783548254629,2401.69084570464,659
"2063/2064",2064,120,120,100,82.9255264396361,2316.07771935593,680
"2064/2065",2065,121,121,100,83.0889211370286,3928.74070168193,570
"2065/2066",2066,120,120,100,86.2682305094677,4330.94563174341,414
"2066/2067",2067,120,120,100,88.3030063079295,3643.47924265638,233
"2067/2068",2068,120,120,100,82.6746746523841,1971.68410154898,688
"2068/2069",2069,121,121,100,87.7918652013195,5844.25779998489,308
"2069/2070",2070,120,120,100,83.1111421450423,3871.88673834689,608
"2070/2071",2071,120,120,100,83.173499718403,3472.23267770279,470
"2071/2072",2072,120,120,100,82.2755640822616,3862.68422417156,497
"2072/2073",2073,121,121,100,82.279584520049,5387.90008107387,387
"2073/2074",2074,120,120,100,84.7581243594832,5427.18351849075,277
"2074/2075",2075,120,120,100,72.6704538515132,6127.42789424583,649
"2075/2076",2076,120,120,100,80.8729167569109,5855.30860316101,523
"2076/2077",2077,121,121,100,89.8375772156669,5003.63698248006,148
"2077/2078",2078,120,120,100,81.5263911996972,2184.3966936646,685
"2078/2079",2079,120,120,100,82.2803550505578,1875.6643432565,689
"2079/2080",2080,120,120,100,88.3046599712543,3461.09793464653,329
"2080/2081",2081,121,121,100,90.5586610003011,4901.30075862631,176
"2081/2082",2082,120,120,100,86.3201154239596,4139.93921076879,420
"2082/2083",2083,120,120,100,85.9950319112886,4054.50309181586,319
"2083/2084",2084,120,120,100,85.2845249813581,5555.55065447278,335
