"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.302838965486,7813.51221775985,277
"2002/2003",2003,120,120,100,85.6470986991746,6242.72272597686,303
"2003/2004",2004,120,120,100,85.2685388308309,3993.44826216329,416
"2004/2005",2005,121,121,100,88.3819554562773,5382.96981688112,190
"2005/2006",2006,120,120,100,83.933090804324,7893.42477039603,86
"2006/2007",2007,120,120,100,85.8835841429737,5946.80138309911,315
"2007/2008",2008,120,120,100,86.3241019186461,3772.01514643541,411
"2008/2009",2009,121,121,100,85.9545073102602,5062.36396091746,424
"2009/2010",2010,120,120,100,87.3914166906993,5728.1576815208,252
"2010/2011",2011,120,120,100,88.9638824112483,5552.93583763414,136
"2011/2012",2012,120,120,100,87.8906631347379,4626.47150084109,178
"2012/2013",2013,121,121,100,88.9661129706085,5153.50062654563,376
"2013/2014",2014,120,120,100,85.7660561578562,4240.05285795138,351
"2014/2015",2015,120,120,100,75.0283438614708,5135.64935463772,722
"2015/2016",2016,120,120,100,89.0938279865059,5567.1293696732,191
"2016/2017",2017,121,121,100,80.5878021071026,7005.07907550037,365
"2017/2018",2018,120,120,100,78.3525162012224,6282.68085867795,466
"2018/2019",2019,120,120,100,81.3483649805416,3736.30855285539,555
"2019/2020",2020,120,120,100,85.8824413354159,6789.14379418385,236
"2020/2021",2021,121,121,100,85.1079908152838,7814.99008885236,214
"2021/2022",2022,120,120,100,80.9390395100017,3691.60697271442,603
"2022/2023",2023,120,120,100,84.6077168570459,5503.8060356793,313
"2023/2024",2024,120,120,100,89.7957292869655,6569.71033049701,92
"2024/2025",2025,121,121,100,89.9364581550099,6232.70451578125,85
"2025/2026",2026,120,120,100,83.7667752884895,6424.35450825212,237
"2026/2027",2027,120,120,100,80.2614418265171,3266.63283435209,826
"2027/2028",2028,120,120,100,85.4283299221479,5380.57632230455,283
"2028/2029",2029,121,121,100,87.5013905482074,4138.93528903998,346
"2029/2030",2030,120,120,100,84.0983908046396,4651.91070151329,304
"2030/2031",2031,120,120,100,87.2592165310798,6554.01797842025,253
"2031/2032",2032,120,120,100,83.6550599252369,4875.29077800666,442
"2032/2033",2033,121,121,100,86.1106222936705,5146.67625264125,298
"2033/2034",2034,120,120,100,86.0775968607686,3886.76998718875,441
"2034/2035",2035,120,120,100,83.0747052698607,3673.7310811663,548
"2035/2036",2036,120,120,100,86.5699236308328,5361.84762573289,241
"2036/2037",2037,121,121,100,87.9088881550424,5884.03626503795,286
"2037/2038",2038,120,120,100,86.0816896435726,2754.14017981431,466
"2038/2039",2039,120,120,100,84.7680468828794,6859.54614986386,307
"2039/2040",2040,120,120,100,88.4951078375943,8182.92015333427,59
"2040/2041",2041,121,121,100,90.3963766591223,5516.65301968483,153
"2041/2042",2042,120,120,100,90.7560382891652,3995.79889052454,193
"2042/2043",2043,120,120,100,78.9588530496885,10131.2219819133,230
"2043/2044",2044,120,120,100,87.6046918622587,3088.04638882959,377
"2044/2045",2045,121,121,100,91.4131348651526,4850.33684533648,198
"2045/2046",2046,120,120,100,85.9027521707403,3686.01775240013,542
