"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.8505904669352,5684.65938046509,415
"2002/2003",2003,120,120,100,84.4912744846474,4402.07997207929,378
"2003/2004",2004,120,120,100,83.6413900172672,2674.60413585184,591
"2004/2005",2005,121,121,100,87.1874908653767,3983.64900108779,326
"2005/2006",2006,120,120,100,85.0766875877333,5868.23443913256,214
"2006/2007",2007,120,120,100,85.0650356306405,4210.21996191709,424
"2007/2008",2008,120,120,100,80.4819533385366,2654.93625231332,613
"2008/2009",2009,121,121,100,85.0574328392379,3614.88283322821,595
"2009/2010",2010,120,120,100,85.8834027125358,3896.81955283496,403
"2010/2011",2011,120,120,100,89.7202891183579,3679.26386965753,240
"2011/2012",2012,120,120,100,85.1735715585162,3228.58562914655,351
"2012/2013",2013,121,121,100,88.7079107928994,3260.9663382353,512
"2013/2014",2014,120,120,100,81.0065248933431,3186.34889454453,552
"2014/2015",2015,120,120,100,72.7962782793438,4038.4041199811,1029
"2015/2016",2016,120,120,100,87.3917399685979,3838.56154502044,303
"2016/2017",2017,121,121,100,81.8957478429461,5210.179671739,518
"2017/2018",2018,120,120,100,77.6525594452428,4654.41887904587,635
"2018/2019",2019,120,120,100,77.4156814461662,2548.08049419662,707
"2019/2020",2020,120,120,100,83.773591037057,5019.22565716831,445
"2020/2021",2021,121,121,100,84.4075748662299,5858.00057526934,336
"2021/2022",2022,120,120,100,79.3203308632369,2550.11419323715,828
"2022/2023",2023,120,120,100,81.0386219696952,4058.99694674532,514
"2023/2024",2024,120,120,100,88.8683855148893,4494.78111589467,160
"2024/2025",2025,121,121,100,89.2227020898581,4535.08444268722,263
"2025/2026",2026,120,120,100,83.5119310321684,4887.90130750067,450
"2026/2027",2027,120,120,100,77.2994446734019,2507.64012812683,1094
"2027/2028",2028,120,120,100,84.2211046017005,4108.45938641718,517
"2028/2029",2029,121,121,100,87.0815125441131,2598.4759249927,481
"2029/2030",2030,120,120,100,84.9607295559217,3116.3488452055,503
"2030/2031",2031,120,120,100,86.0430174427429,4805.04578033835,408
"2031/2032",2032,120,120,100,81.7264335940399,3450.44209578191,589
"2032/2033",2033,121,121,100,84.6883447561104,3721.44468218135,444
"2033/2034",2034,120,120,100,82.88311593857,2665.39449833147,683
