"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.33167562377,9462.46776874887,228
"2002/2003",2003,120,120,100,79.4655547017659,8523.44888974808,310
"2003/2004",2004,120,120,100,87.1552115338532,4944.45011861506,410
"2004/2005",2005,121,121,100,88.706639987799,6445.27239345579,174
"2005/2006",2006,120,120,100,84.3106934907699,8838.52995245857,72
"2006/2007",2007,120,120,100,82.8047687409036,7486.11182850256,316
"2007/2008",2008,120,120,100,81.2993309201964,5356.96135735145,384
"2008/2009",2009,121,121,100,86.3936444687637,6165.08139993204,353
"2009/2010",2010,120,120,100,86.4744337633224,6910.38332168327,277
"2010/2011",2011,120,120,100,90.1464951762107,6248.92766233394,88
"2011/2012",2012,120,120,100,85.9858223003046,5983.22919882333,175
"2012/2013",2013,121,121,100,81.4132016715187,6942.46076529776,383
"2013/2014",2014,120,120,100,85.8082100302365,5325.84124116017,301
"2014/2015",2015,120,120,100,65.1873631232272,7302.71613911074,810
"2015/2016",2016,120,120,100,84.2764218578875,7469.13755441387,211
"2016/2017",2017,121,121,100,76.4897671100566,8776.65042651282,366
"2017/2018",2018,120,120,100,77.0384891875842,7892.33367913333,453
"2018/2019",2019,120,120,100,77.8903615524464,5468.10995321441,521
"2019/2020",2020,120,120,100,81.8434333823279,8348.39543358143,204
"2020/2021",2021,121,121,100,82.4048330749902,9151.76788203674,174
"2021/2022",2022,120,120,100,79.0638628488355,5257.49436400947,571
"2022/2023",2023,120,120,100,77.4634801477418,7607.0705936309,288
"2023/2024",2024,120,120,100,84.4928531411883,8487.75033962307,102
"2024/2025",2025,121,121,100,87.6826254940152,7717.79724439885,73
"2025/2026",2026,120,120,100,84.7434648209783,7083.59204582474,137
"2026/2027",2027,120,120,100,82.2842796371278,3730.48112167232,646
"2027/2028",2028,120,120,100,84.27294572255,6818.56743409438,259
"2028/2029",2029,121,121,100,85.4388765607105,5511.2560422041,344
