"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.3778124829842,7996.18115317525,255
"2002/2003",2003,120,120,100,85.1206134623276,6824.7264243362,338
"2003/2004",2004,120,120,100,87.4884907239824,3999.91494677952,331
"2004/2005",2005,121,121,100,89.0621572039649,5465.15011596348,165
"2005/2006",2006,120,120,100,89.2672882545216,7569.7319837744,51
"2006/2007",2007,120,120,100,83.9830340674133,5925.11598273303,295
"2007/2008",2008,120,120,100,82.040985450573,4227.19910578732,460
"2008/2009",2009,121,121,100,86.3670082053194,5101.95127042965,399
"2009/2010",2010,120,120,100,87.9198049018573,5512.72105577483,199
"2010/2011",2011,120,120,100,92.4268987666869,4940.46006753808,77
"2011/2012",2012,120,120,100,84.8943980756883,4906.7165774951,162
"2012/2013",2013,121,121,100,87.8592022179523,5053.63297230878,296
"2013/2014",2014,120,120,100,83.4845763815135,4342.48107002233,294
"2014/2015",2015,120,120,100,68.362335076039,6067.38929627568,755
"2015/2016",2016,120,120,100,86.4173623589315,5990.2982759357,183
"2016/2017",2017,121,121,100,79.7735643387746,7230.19936669501,314
"2017/2018",2018,120,120,100,77.7389975243736,6683.28612303571,478
"2018/2019",2019,120,120,100,77.9887700859858,4128.41586502152,535
"2019/2020",2020,120,120,100,83.0543879676984,7057.70061629405,225
"2020/2021",2021,121,121,100,86.7701215716888,7918.60355056357,143
"2021/2022",2022,120,120,100,80.5157030198197,3941.7419437638,522
"2022/2023",2023,120,120,100,78.5434488955998,6104.56365220249,266
"2023/2024",2024,120,120,100,89.4023055500975,6638.03854233027,38
"2024/2025",2025,121,121,100,87.2735394327378,6592.00826961035,81
"2025/2026",2026,120,120,100,82.9836736409234,6498.5902947709,208
"2026/2027",2027,120,120,100,77.8399797631068,3321.30816808622,788
"2027/2028",2028,120,120,100,82.026302666558,6004.96063768235,289
"2028/2029",2029,121,121,100,89.9359869951809,3844.42467813776,249
"2029/2030",2030,120,120,100,85.4750735704415,4714.29950656556,259
"2030/2031",2031,120,120,100,84.5545235088298,6853.00276222406,237
"2031/2032",2032,120,120,100,81.9895712852117,5228.03145780182,440
"2032/2033",2033,121,121,100,88.142819784513,5186.37680091336,280
"2033/2034",2034,120,120,100,84.9043404667491,3885.52357781399,417
"2034/2035",2035,120,120,100,80.3668733050745,4101.89299051743,525
"2035/2036",2036,120,120,100,82.9348447906405,5914.96331211319,236
"2036/2037",2037,121,121,100,88.0601293965738,6344.95666366303,275
"2037/2038",2038,120,120,100,82.7236263007662,2966.79194383463,403
"2038/2039",2039,120,120,100,83.1258346072946,6898.08800997213,290
"2039/2040",2040,120,120,100,83.6626629241455,8743.68333444791,40
"2040/2041",2041,121,121,100,89.3585845110692,6150.64654755965,150
"2041/2042",2042,120,120,100,91.0480222068536,4091.2776422184,134
"2042/2043",2043,120,120,100,77.8966284037697,10581.2538278401,232
"2043/2044",2044,120,120,100,88.2826365304463,2754.64123415481,280
"2044/2045",2045,121,121,100,89.0578155381882,5012.50788014568,186
"2045/2046",2046,120,120,100,83.3314934170639,4000.4975420488,550
"2046/2047",2047,120,120,100,83.0525034515467,4386.92772308784,347
"2047/2048",2048,120,120,100,83.1290761903156,4646.43699097354,450
"2048/2049",2049,121,121,100,90.7387686715319,4365.27180080162,133
"2049/2050",2050,120,120,100,87.5828801133903,2986.31101831142,279
"2050/2051",2051,120,120,100,83.7066529352833,2331.44671004266,373
"2051/2052",2052,120,120,100,80.2918624912754,6039.20391197596,296
"2052/2053",2053,121,121,100,80.1193765449116,7654.068580213,323
"2053/2054",2054,120,120,100,84.0246268895116,7637.56810213346,247
"2054/2055",2055,120,120,100,88.4712034369722,6794.8824190516,45
"2055/2056",2056,120,120,100,83.787316049481,5401.85490998579,250
"2056/2057",2057,121,121,100,80.2194198341931,7052.94459956791,120
"2057/2058",2058,120,120,100,82.7362069433611,5510.6822431339,428
"2058/2059",2059,120,120,100,89.0413138046351,6613.00200473517,133
"2059/2060",2060,120,120,100,82.7112990362766,3669.96884252783,471
"2060/2061",2061,121,121,100,87.2117061904901,6640.78304736316,158
