"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,69.5079225049143,13669.34790773,149
"2002/2003",2003,120,120,100,72.4819166340097,12425.0811165684,237
"2003/2004",2004,120,120,100,84.2582748526456,8014.147084447,223
"2004/2005",2005,121,121,100,83.4287368823255,10184.3613392882,88
"2005/2006",2006,120,120,100,74.239525617148,13498.2399159496,25
"2006/2007",2007,120,120,100,76.5967817267494,11538.2776283357,256
"2007/2008",2008,120,120,100,78.1661228029808,8108.8740199547,186
"2008/2009",2009,121,121,100,83.825236186967,9582.30764194671,188
"2009/2010",2010,120,120,100,78.7466623287967,10885.9174980988,187
"2010/2011",2011,120,120,100,81.4807256848519,10334.4678285114,61
"2011/2012",2012,120,120,100,85.0858993540512,9450.29598623037,101
"2012/2013",2013,121,121,100,76.4334864765804,10596.0785823405,227
"2013/2014",2014,120,120,100,81.1669191239926,8508.17766643676,202
"2014/2015",2015,120,120,100,69.2963417483447,9809.65351726115,467
"2015/2016",2016,120,120,100,77.2118990478525,11307.4473716638,141
"2016/2017",2017,121,121,100,70.3441899732845,12553.0366694727,237
"2017/2018",2018,120,120,100,70.9482279071581,11183.4163908984,278
"2018/2019",2019,120,120,100,76.4230212798464,8153.94790070015,332
"2019/2020",2020,120,120,100,72.169793372032,12227.3027838673,95
"2020/2021",2021,121,121,100,72.5679056927597,13490.0702491354,78
"2021/2022",2022,120,120,100,74.8164876484484,7946.88972951612,409
"2022/2023",2023,120,120,100,72.8280765422501,10923.5542697145,177
"2023/2024",2024,120,120,100,73.7524121090282,12838.7697620187,44
"2024/2025",2025,121,121,100,77.5201179439437,11724.8222698136,34
"2025/2026",2026,120,120,100,78.3291856015107,10748.9070730745,61
"2026/2027",2027,120,120,100,82.4220131623274,5991.14346546307,427
"2027/2028",2028,120,120,100,78.8986706523488,10292.026587348,120
"2028/2029",2029,121,121,100,83.4385833511092,8904.13357191347,235
"2029/2030",2030,120,120,100,78.0163220479358,9873.31607957045,233
"2030/2031",2031,120,120,100,73.4630748697541,12032.9027187633,121
"2031/2032",2032,120,120,100,76.9733808112214,9740.62048775563,274
"2032/2033",2033,121,121,100,81.4622691722602,10284.4988691658,146
"2033/2034",2034,120,120,100,84.127263011786,7931.76292204252,224
"2034/2035",2035,120,120,100,76.9988276286786,8113.59550807206,309
"2035/2036",2036,120,120,100,76.1831206694733,10513.5943225594,138
"2036/2037",2037,121,121,100,76.4469795687628,11672.9521816815,210
"2037/2038",2038,120,120,100,84.4687212376825,6469.73218213115,262
"2038/2039",2039,120,120,100,72.9464057844166,12679.8278129944,229
"2039/2040",2040,120,120,100,70.4243601234521,14809.6462991661,38
"2040/2041",2041,121,121,100,80.7283184803582,11148.0210741921,97
"2041/2042",2042,120,120,100,86.5208493420896,8825.65773667768,83
"2042/2043",2043,120,120,100,56.3494713659738,17505.5464018476,220
"2043/2044",2044,120,120,100,86.4259547012098,7052.46263251826,191
"2044/2045",2045,121,121,100,80.8986852124517,10595.7716861921,147
"2045/2046",2046,120,120,100,79.5689452571532,8550.83662431315,372
"2046/2047",2047,120,120,100,81.1780996957741,8507.75622307742,274
"2047/2048",2048,120,120,100,78.229555177918,9807.87836652575,419
"2048/2049",2049,121,121,100,84.8812215615708,9435.60252562258,101
"2049/2050",2050,120,120,100,83.8135166685188,7290.31742373062,226
"2050/2051",2051,120,120,100,87.051491400136,5419.95383994374,221
"2051/2052",2052,120,120,100,78.700335481306,9950.12593006808,134
"2052/2053",2053,121,121,100,72.0838813835708,12581.2513123597,178
"2053/2054",2054,120,120,100,73.3452746128942,12898.5857575811,140
"2054/2055",2055,120,120,100,75.8872008802336,12649.2209040355,25
"2055/2056",2056,120,120,100,76.0474639116956,10211.1773071978,175
"2056/2057",2057,121,121,100,80.0211798943546,11234.1196735096,58
"2057/2058",2058,120,120,100,78.227526574593,10043.634582269,286
"2058/2059",2059,120,120,100,77.4295887211429,12247.0778715955,35
"2059/2060",2060,120,120,100,77.3014228330303,7784.2110399222,367
"2060/2061",2061,121,121,100,72.9184567361999,12693.5310323378,178
"2061/2062",2062,120,120,100,69.5874532361695,12994.6957613854,140
"2062/2063",2063,120,120,100,84.0911352863313,7274.00251705479,293
"2063/2064",2064,120,120,100,85.7017379971085,7168.45976139605,214
"2064/2065",2065,121,121,100,69.8130367768654,11051.8854674893,249
"2065/2066",2066,120,120,100,79.2703297786929,10782.0950150704,104
"2066/2067",2067,120,120,100,81.2113584287172,10755.2568033831,56
"2067/2068",2068,120,120,100,85.2647196073503,6902.83738212846,305
"2068/2069",2069,121,121,100,67.178703254327,14497.9860354792,144
"2069/2070",2070,120,120,100,77.0251045174382,10193.6284671109,247
"2070/2071",2071,120,120,100,79.3414613572468,10222.9246426178,232
"2071/2072",2072,120,120,100,82.543931329782,9535.2573819384,125
"2072/2073",2073,121,121,100,73.7580758694303,12440.8326704493,141
"2073/2074",2074,120,120,100,72.8961245189112,13378.4979876615,166
"2074/2075",2075,120,120,100,69.6123708205587,12564.1456580432,408
"2075/2076",2076,120,120,100,69.4579507045391,12960.7019696152,179
"2076/2077",2077,121,121,100,73.7731022233311,13293.5164177502,29
"2077/2078",2078,120,120,100,85.603426348529,6801.07581312582,204
"2078/2079",2079,120,120,100,84.5912899008854,7204.76646671258,364
"2079/2080",2080,120,120,100,81.3937473541482,10351.5859833574,152
"2080/2081",2081,121,121,100,74.7268131635465,12597.975518411,15
"2081/2082",2082,120,120,100,72.1885379131745,12387.9902183032,256
"2082/2083",2083,120,120,100,75.3594696986493,11401.0335073918,143
"2083/2084",2084,120,120,100,68.4795665912279,14047.0943976957,204
"2084/2085",2085,121,121,100,84.5304129585475,6994.98387070186,250
"2085/2086",2086,120,120,100,79.7828133438215,10055.7811403126,158
"2086/2087",2087,120,120,100,73.4562397942045,9861.9660591362,328
"2087/2088",2088,120,120,100,82.9620622308903,9121.93920017034,180
"2088/2089",2089,121,121,100,74.3004192342505,11033.4997287355,327
"2089/2090",2090,120,120,100,82.7599051547495,9718.08660545014,191
"2090/2091",2091,120,120,100,84.3898929099068,6634.71347883251,321
"2091/2092",2092,120,120,100,77.0989009641653,9288.71660268214,275
"2092/2093",2093,121,121,100,83.3594757611227,7994.23284343723,222
"2093/2094",2094,120,120,100,70.1033711795335,12376.8599215141,153
"2094/2095",2095,120,120,100,70.4857811608526,11335.9573212061,249
"2095/2096",2096,120,120,100,77.4189646696486,10417.1218942087,106
"2096/2097",2097,121,121,100,68.6730064412786,14713.4441830618,119
"2097/2098",2098,120,120,100,68.7758945030673,12774.2019036151,194
"2098/2099",2099,120,120,100,76.1406626611479,10061.5101026352,230
"2099/2100",2100,120,120,100,76.3913823394178,10190.9059542315,291
