"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2970454344183,7673.69198854316,298
"2002/2003",2003,120,120,100,84.2356301097246,6457.87712118543,351
"2003/2004",2004,120,120,100,85.962435586885,4158.50135892499,461
"2004/2005",2005,121,121,100,89.3063281206111,5223.7387217838,183
"2005/2006",2006,120,120,100,88.5199695361233,7280.47444089194,70
"2006/2007",2007,120,120,100,84.4715870185206,5685.75038383604,331
"2007/2008",2008,120,120,100,81.79218024821,3977.85239023576,500
"2008/2009",2009,121,121,100,86.1864894481357,4951.84350181883,415
"2009/2010",2010,120,120,100,87.638515588776,5493.56093411276,258
"2010/2011",2011,120,120,100,91.0389147669298,4899.71661390527,117
"2011/2012",2012,120,120,100,86.9766691590632,4670.06973210035,213
"2012/2013",2013,121,121,100,86.5901620952795,5075.00208443543,412
"2013/2014",2014,120,120,100,83.4668305456244,4007.34752370347,342
"2014/2015",2015,120,120,100,72.8028840895083,5432.21605573606,823
"2015/2016",2016,120,120,100,87.7618926031082,5724.01189017971,232
"2016/2017",2017,121,121,100,80.8779151322769,6849.15607127105,375
"2017/2018",2018,120,120,100,77.3204092509909,6465.88231185917,516
"2018/2019",2019,120,120,100,79.9176091632362,3834.89594738977,561
"2019/2020",2020,120,120,100,84.2537431794553,6728.09045921918,288
"2020/2021",2021,121,121,100,83.6973356003214,7666.13194289594,212
"2021/2022",2022,120,120,100,81.4230145449865,3680.89186835708,622
"2022/2023",2023,120,120,100,82.6600114913563,5497.29880913068,310
"2023/2024",2024,120,120,100,88.7979405109163,6337.92776070884,59
"2024/2025",2025,121,121,100,89.0766787778084,6169.78743296117,104
"2025/2026",2026,120,120,100,82.729417602668,6436.41630951478,275
"2026/2027",2027,120,120,100,79.2662487186931,3316.34972761315,885
"2027/2028",2028,120,120,100,83.965456429627,5423.52048016363,305
"2028/2029",2029,121,121,100,89.0826141616171,3925.74515115866,338
"2029/2030",2030,120,120,100,84.160181704457,4532.12790336413,326
"2030/2031",2031,120,120,100,84.9475740170074,6821.98286540061,303
"2031/2032",2032,120,120,100,80.9027193202573,5237.40787647758,495
"2032/2033",2033,121,121,100,88.3627006824372,4910.01909073675,287
"2033/2034",2034,120,120,100,86.0666267574688,3845.25084107369,466
"2034/2035",2035,120,120,100,82.7608626960773,3797.38718259893,565
"2035/2036",2036,120,120,100,83.9248201510363,5530.310023678,271
"2036/2037",2037,121,121,100,87.539174696989,5901.92970055435,310
"2037/2038",2038,120,120,100,85.2830633565982,2709.65315901022,444
"2038/2039",2039,120,120,100,85.6845741214975,6389.810752613,288
"2039/2040",2040,120,120,100,86.4679113384618,8306.80110855959,97
"2040/2041",2041,121,121,100,88.836841552471,5887.42907378776,220
"2041/2042",2042,120,120,100,91.1493971511918,3991.11981835123,211
"2042/2043",2043,120,120,100,78.9816295800601,10121.146525735,252
"2043/2044",2044,120,120,100,87.8898019457256,2935.93874506745,369
"2044/2045",2045,121,121,100,89.8503473756082,4677.80685685296,188
"2045/2046",2046,120,120,100,84.8058161585341,3677.22074968787,601
"2046/2047",2047,120,120,100,84.5321040913377,3977.66891429387,405
"2047/2048",2048,120,120,100,84.1126488305135,4413.36245214241,502
"2048/2049",2049,121,121,100,91.0968652741785,4301.9746838049,181
"2049/2050",2050,120,120,100,87.474167851361,2804.87934871158,333
"2050/2051",2051,120,120,100,83.6147902319963,2372.864026119,483
"2051/2052",2052,120,120,100,81.2948146642611,5564.31349700643,368
"2052/2053",2053,121,121,100,80.6723236223279,7239.04337328533,356
"2053/2054",2054,120,120,100,85.4247305645213,7350.61819912307,269
"2054/2055",2055,120,120,100,88.522409559112,6454.21800968051,103
"2055/2056",2056,120,120,100,85.5120599523952,5051.13875775738,325
"2056/2057",2057,121,121,100,82.1060684693448,6558.03559951484,168
"2057/2058",2058,120,120,100,82.7072328147706,5208.14384047827,455
"2058/2059",2059,120,120,100,88.6373660523395,6419.70597468084,144
