"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.4650344351541,10609.4750644472,188
"2002/2003",2003,120,120,100,81.924395047259,9090.88477316563,265
"2003/2004",2004,120,120,100,86.5718007831791,5717.71097319131,265
"2004/2005",2005,121,121,100,87.0592001543562,7619.76739406807,139
"2005/2006",2006,120,120,100,81.0925772371976,10460.8220776396,41
"2006/2007",2007,120,120,100,84.0078495328505,8416.66939928569,271
"2007/2008",2008,120,120,100,83.4838229313015,5842.61619125609,273
"2008/2009",2009,121,121,100,85.1799155161182,7251.9809357234,316
"2009/2010",2010,120,120,100,84.2075495573831,7910.82645509299,174
"2010/2011",2011,120,120,100,88.0319397565086,7611.98657554353,64
"2011/2012",2012,120,120,100,86.4290291005022,6902.0834717761,117
"2012/2013",2013,121,121,100,83.5746155194986,7407.894203734,230
"2013/2014",2014,120,120,100,85.778125336371,6191.14503666363,238
"2014/2015",2015,120,120,100,70.5504939531531,7418.13448292925,550
"2015/2016",2016,120,120,100,86.2669983914629,8203.31993097928,142
"2016/2017",2017,121,121,100,75.7465016524168,9544.75501585193,254
"2017/2018",2018,120,120,100,77.8940123329735,8618.696358538,351
"2018/2019",2019,120,120,100,79.9630293710443,5715.82072714576,398
"2019/2020",2020,120,120,100,81.0389306574584,9403.28811094281,148
"2020/2021",2021,121,121,100,81.1549408583337,10481.823925908,126
"2021/2022",2022,120,120,100,81.0010892766682,5561.16588953696,447
"2022/2023",2023,120,120,100,78.9423808161209,8110.31395562412,206
"2023/2024",2024,120,120,100,85.2036744905226,9438.7245684748,58
"2024/2025",2025,121,121,100,85.706003922578,8917.94820370735,34
"2025/2026",2026,120,120,100,80.5259434720147,8505.24175413791,111
"2026/2027",2027,120,120,100,81.4825059647783,4584.7340319939,598
"2027/2028",2028,120,120,100,83.5942815014923,7847.04266059934,194
"2028/2029",2029,121,121,100,88.0885752135259,6088.34884455474,241
"2029/2030",2030,120,120,100,84.692885860472,6916.67945983913,211
"2030/2031",2031,120,120,100,83.6039343069497,9126.40113684209,176
"2031/2032",2032,120,120,100,82.1004188616585,7033.19665496657,299
"2032/2033",2033,121,121,100,86.071091558415,7450.11452395888,213
"2033/2034",2034,120,120,100,86.2236113337658,5691.3594034058,303
"2034/2035",2035,120,120,100,81.1888107578534,5710.17402665364,400
"2035/2036",2036,120,120,100,81.5880547105708,7783.72901436128,172
"2036/2037",2037,121,121,100,84.2921744108426,8629.95617656689,227
"2037/2038",2038,120,120,100,85.3708499988643,4433.47161060432,324
"2038/2039",2039,120,120,100,78.0981300641715,9588.68107341556,252
"2039/2040",2040,120,120,100,78.8467266387006,11399.8137526372,24
"2040/2041",2041,121,121,100,87.672312950147,8187.16349153034,112
"2041/2042",2042,120,120,100,90.8768936601737,6070.60539187025,97
"2042/2043",2043,120,120,100,70.4284270423022,13568.6545187701,215
"2043/2044",2044,120,120,100,89.4678999666739,4610.87419225182,234
"2044/2045",2045,121,121,100,88.3789597935001,7378.46075133234,153
"2045/2046",2046,120,120,100,83.739386565986,5835.26687248889,407
"2046/2047",2047,120,120,100,83.5933669873748,6014.00808216911,305
"2047/2048",2048,120,120,100,82.8626680741218,6751.66369096469,427
"2048/2049",2049,121,121,100,90.9345895089427,6550.0932036275,105
