"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,69.2124842633422,12444.6209942554,147
"2002/2003",2003,120,120,100,78.0259019736737,10951.4981396972,241
"2003/2004",2004,120,120,100,87.2049028892084,6866.13447999247,179
"2004/2005",2005,121,121,100,85.6088065377375,9267.73340827093,99
"2005/2006",2006,120,120,100,76.8826277705941,12389.7235424989,15
"2006/2007",2007,120,120,100,79.0674135880965,10169.3418196347,249
"2007/2008",2008,120,120,100,80.6110541596362,7207.89771088376,186
"2008/2009",2009,121,121,100,85.539282588705,8758.64779480023,243
"2009/2010",2010,120,120,100,82.957319954492,9555.82966934983,143
"2010/2011",2011,120,120,100,86.6867257402118,9117.06085365952,53
"2011/2012",2012,120,120,100,85.7925642430212,8459.42546599708,92
"2012/2013",2013,121,121,100,81.3910188080117,8821.54389433085,163
"2013/2014",2014,120,120,100,82.0517345239477,7740.15291865345,205
"2014/2015",2015,120,120,100,69.5759611613628,8757.82516282587,442
"2015/2016",2016,120,120,100,83.991237384842,9891.93075049063,89
"2016/2017",2017,121,121,100,71.3044907980559,11192.0061923945,199
"2017/2018",2018,120,120,100,75.7772173767166,10162.3326215807,263
"2018/2019",2019,120,120,100,79.4097917167865,6998.08889244334,336
"2019/2020",2020,120,120,100,74.7233193820161,11101.6645299669,81
"2020/2021",2021,121,121,100,76.6878510174683,12345.6773012609,68
"2021/2022",2022,120,120,100,77.0765312059398,6742.85417966172,347
"2022/2023",2023,120,120,100,78.0046715114854,9721.27412301069,154
"2023/2024",2024,120,120,100,79.3724774422326,11268.7928980628,22
"2024/2025",2025,121,121,100,79.4266610820891,10768.1904889331,26
"2025/2026",2026,120,120,100,79.2309626914471,10066.9981291106,67
"2026/2027",2027,120,120,100,81.8689047697271,5677.28331375844,477
"2027/2028",2028,120,120,100,79.7087309668186,9549.75947230123,145
"2028/2029",2029,121,121,100,86.5024255975109,7410.778545429,189
"2029/2030",2030,120,120,100,82.6073428389163,8449.62906027911,154
"2030/2031",2031,120,120,100,76.9761023463789,10831.9409463932,127
"2031/2032",2032,120,120,100,79.8964554358026,8449.21917005535,232
"2032/2033",2033,121,121,100,82.4343295367989,9149.32512877788,170
"2033/2034",2034,120,120,100,84.022836017316,6984.11570592411,253
"2034/2035",2035,120,120,100,78.9281853405978,7045.38879738469,336
"2035/2036",2036,120,120,100,77.7623244603901,9452.34606454847,115
"2036/2037",2037,121,121,100,79.611741100528,10506.2423071582,195
"2037/2038",2038,120,120,100,84.7466379604311,5605.47031821357,257
"2038/2039",2039,120,120,100,76.531118241458,11457.4461789988,223
"2039/2040",2040,120,120,100,74.2892207912892,13496.0608316823,7
"2040/2041",2041,121,121,100,82.8531261324779,9902.43569171522,89
"2041/2042",2042,120,120,100,87.5634769450826,7561.97970026359,55
"2042/2043",2043,120,120,100,64.300631215935,15719.1601580204,189
"2043/2044",2044,120,120,100,90.0207805988384,5658.84337394638,198
"2044/2045",2045,121,121,100,85.0560818276817,9143.42774081277,133
"2045/2046",2046,120,120,100,83.0960791078014,7251.58452600706,335
