"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.8150576586062,7705.40401259818,279
"2002/2003",2003,120,120,100,84.958820575625,6635.09678229544,335
"2003/2004",2004,120,120,100,86.9105791843617,3895.14860824257,458
"2004/2005",2005,121,121,100,89.8877003397429,5094.17568079493,179
"2005/2006",2006,120,120,100,88.5409848203731,7213.74455479387,76
"2006/2007",2007,120,120,100,84.525319764209,5819.06741782004,327
"2007/2008",2008,120,120,100,83.7369567951404,3995.50235677534,483
"2008/2009",2009,121,121,100,86.5629481041374,4829.02098890441,417
"2009/2010",2010,120,120,100,88.0586146487406,5461.31785690505,284
"2010/2011",2011,120,120,100,91.5979482795528,4900.9493703756,109
"2011/2012",2012,120,120,100,88.8151169282471,4580.34607957874,198
"2012/2013",2013,121,121,100,85.5010895625192,5294.14833804406,422
"2013/2014",2014,120,120,100,86.2379809760671,4049.24702239642,332
"2014/2015",2015,120,120,100,69.1512187383589,5777.46362196677,886
"2015/2016",2016,120,120,100,86.1650783788539,5771.68576770206,231
"2016/2017",2017,121,121,100,79.4852776379607,7063.14460006659,388
"2017/2018",2018,120,120,100,77.3393736824614,6452.27028123918,516
"2018/2019",2019,120,120,100,78.2838110433713,4091.54324721266,586
"2019/2020",2020,120,120,100,84.860291899628,6710.12144131749,254
"2020/2021",2021,121,121,100,85.8396818833662,7532.79989882,208
"2021/2022",2022,120,120,100,80.4881944227313,3891.88102760282,618
"2022/2023",2023,120,120,100,82.7984737704573,5857.93931180425,323
"2023/2024",2024,120,120,100,88.4072050142454,6538.17346261232,92
"2024/2025",2025,121,121,100,89.3867887469455,6101.05398834264,94
"2025/2026",2026,120,120,100,85.6705780386887,5997.23547583329,215
"2026/2027",2027,120,120,100,78.7645977450679,3007.52245783061,812
"2027/2028",2028,120,120,100,85.9487366100202,5379.36629922409,299
"2028/2029",2029,121,121,100,88.0846145207424,4052.41081518098,358
"2029/2030",2030,120,120,100,84.8604915379128,4756.34402269358,348
"2030/2031",2031,120,120,100,88.0621906683004,6603.38558332995,270
"2031/2032",2032,120,120,100,82.9209452526129,5169.35204060096,471
"2032/2033",2033,121,121,100,87.7584003793654,4998.48879002221,311
"2033/2034",2034,120,120,100,85.8270610241771,3786.11660094699,459
"2034/2035",2035,120,120,100,80.955047704736,4035.5861220276,584
"2035/2036",2036,120,120,100,81.8663530118965,5591.62026242958,271
"2036/2037",2037,121,121,100,87.7306398791497,5997.9605062902,306
"2037/2038",2038,120,120,100,83.4216724895987,2787.01976727601,479
"2038/2039",2039,120,120,100,82.8598267791958,6699.78846329963,308
"2039/2040",2040,120,120,100,86.9247050067534,8278.45997231081,107
