"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.67865366505,10245.5544153966,190
"2002/2003",2003,120,120,100,82.8122255777431,8843.82608586611,269
"2003/2004",2004,120,120,100,86.7668498341459,5422.67342611437,283
"2004/2005",2005,121,121,100,87.8433622628743,7254.70955433208,138
"2005/2006",2006,120,120,100,79.8227300855531,10021.6190231193,41
"2006/2007",2007,120,120,100,83.9482530675931,8122.5142230186,277
"2007/2008",2008,120,120,100,82.9210245557357,5574.35445314494,276
"2008/2009",2009,121,121,100,85.8043994601585,6897.40973450791,318
"2009/2010",2010,120,120,100,85.0266976771009,7619.36140937975,196
"2010/2011",2011,120,120,100,88.5629843828476,7253.0218635723,66
"2011/2012",2012,120,120,100,86.6548208892909,6559.0825162523,118
"2012/2013",2013,121,121,100,84.250309574526,7231.44054652192,244
"2013/2014",2014,120,120,100,86.2475766552386,5898.34272933565,240
"2014/2015",2015,120,120,100,69.4768187138966,7274.85719211295,584
"2015/2016",2016,120,120,100,84.1709676513731,7909.99758953298,149
"2016/2017",2017,121,121,100,75.8250013674083,9276.05029959511,267
"2017/2018",2018,120,120,100,78.9571281726671,8340.03174339025,363
"2018/2019",2019,120,120,100,80.4679286297419,5563.50064673251,414
"2019/2020",2020,120,120,100,81.7230680439275,9035.78161067865,146
"2020/2021",2021,121,121,100,82.6467218188218,10087.3698529708,136
"2021/2022",2022,120,120,100,79.5806114960983,5410.69499806408,467
"2022/2023",2023,120,120,100,78.1911324217308,7870.84960385109,211
"2023/2024",2024,120,120,100,86.3463598827602,9115.06029846217,62
"2024/2025",2025,121,121,100,87.2792764234659,8526.59063243167,36
"2025/2026",2026,120,120,100,83.6221352189641,8041.25020845211,99
"2026/2027",2027,120,120,100,82.3752457813766,4255.21123199351,591
"2027/2028",2028,120,120,100,82.7570195326834,7490.7173978698,203
"2028/2029",2029,121,121,100,87.7699979006979,5860.69689537678,242
"2029/2030",2030,120,120,100,84.7229915744174,6682.74299427867,231
"2030/2031",2031,120,120,100,84.5809461626991,8732.2759417966,182
"2031/2032",2032,120,120,100,82.336295730945,6787.40933291102,315
"2032/2033",2033,121,121,100,87.3781639633844,7146.14757529739,226
"2033/2034",2034,120,120,100,87.4890538205118,5435.73112741439,319
"2034/2035",2035,120,120,100,80.698117248271,5541.05127773201,420
"2035/2036",2036,120,120,100,82.9953002845623,7493.27036157856,178
"2036/2037",2037,121,121,100,85.5548457160603,8309.73227351531,235
"2037/2038",2038,120,120,100,85.8309299120865,4211.90063594328,328
"2038/2039",2039,120,120,100,79.8961710894791,9290.02279275935,265
"2039/2040",2040,120,120,100,81.445720352418,10995.9226216273,30
"2040/2041",2041,121,121,100,89.150557488003,7874.4023665688,117
"2041/2042",2042,120,120,100,89.6810233080841,5830.27195773879,119
"2042/2043",2043,120,120,100,71.7219366423096,13248.3799904003,224
"2043/2044",2044,120,120,100,89.3321240762862,4432.35726935836,248
"2044/2045",2045,121,121,100,87.12873196498,7149.65109276399,166
"2045/2046",2046,120,120,100,82.6218818169627,5704.49205354089,423
"2046/2047",2047,120,120,100,84.9385130117389,5786.05111403018,311
"2047/2048",2048,120,120,100,82.3121818903901,6566.64551231172,441
"2048/2049",2049,121,121,100,90.5328128753899,6245.70872050989,106
"2049/2050",2050,120,120,100,87.7094419203631,4583.71298083896,238
"2050/2051",2051,120,120,100,86.9030298020498,3375.3247266924,289
"2051/2052",2052,120,120,100,80.480806351974,7396.59012532234,193
"2052/2053",2053,121,121,100,76.1612080614341,9353.15613813931,218
"2053/2054",2054,120,120,100,81.2999221151867,9622.69212182984,202
"2054/2055",2055,120,120,100,84.3049035747636,9088.60453704977,37
"2055/2056",2056,120,120,100,83.2399399646902,7063.0484903804,210
"2056/2057",2057,121,121,100,83.0242460048312,8481.94742849609,80
"2057/2058",2058,120,120,100,78.7288269877718,7326.52333500981,375
"2058/2059",2059,120,120,100,86.7900364272882,8793.14987520874,65
"2059/2060",2060,120,120,100,81.9349446660835,5161.91045354679,420
"2060/2061",2061,121,121,100,83.8840759449413,9032.36491366569,172
"2061/2062",2062,120,120,100,75.7597920945354,9942.6812118711,200
"2062/2063",2063,120,120,100,85.4293141716971,4713.1311572399,393
"2063/2064",2064,120,120,100,89.3579094031902,4635.56842584442,295
"2064/2065",2065,121,121,100,80.7169772235029,7870.8129905872,350
"2065/2066",2066,120,120,100,83.8650759835236,8027.29802659806,146
"2066/2067",2067,120,120,100,88.0448657423603,7364.704908018,58
"2067/2068",2068,120,120,100,86.6355983650374,4533.2663770644,364
"2068/2069",2069,121,121,100,78.2903993951404,11026.9613981117,177
"2069/2070",2070,120,120,100,80.5683886928946,7406.24362996966,296
"2070/2071",2071,120,120,100,82.7919330680743,7243.65179391019,289
"2071/2072",2072,120,120,100,86.3436402841617,6730.0947086513,153
"2072/2073",2073,121,121,100,78.1627907123202,9086.72733091377,164
"2073/2074",2074,120,120,100,79.658706666145,10072.156900947,194
"2074/2075",2075,120,120,100,72.5615829469352,9636.51102656871,451
"2075/2076",2076,120,120,100,78.8316904467338,9820.76537993364,230
"2076/2077",2077,121,121,100,84.3459676494276,9671.95012354385,35
"2077/2078",2078,120,120,100,87.5894121920064,4323.77397277765,257
"2078/2079",2079,120,120,100,85.9088302665186,4710.16323651839,457
"2079/2080",2080,120,120,100,86.2336123851983,7250.48986898549,182
"2080/2081",2081,121,121,100,86.5328069147927,9150.29102017172,37
"2081/2082",2082,120,120,100,81.6147169973265,8764.52496714145,279
"2082/2083",2083,120,120,100,82.8091891962049,7908.01263775118,137
"2083/2084",2084,120,120,100,79.4112450536522,10310.5336337276,234
"2084/2085",2085,121,121,100,83.725074162001,4820.49164076988,342
"2085/2086",2086,120,120,100,84.3172931449262,7001.90148384031,266
"2086/2087",2087,120,120,100,82.4638094364545,6604.52964513842,358
"2087/2088",2088,120,120,100,87.9506955132947,6118.83298487402,179
"2088/2089",2089,121,121,100,79.2578969816495,7759.39044736233,365
