"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.9098588588573,7931.85238132895,271
"2002/2003",2003,120,120,100,84.9067804199882,6621.92474143975,311
"2003/2004",2004,120,120,100,87.3276422047236,3784.57613158898,401
"2004/2005",2005,121,121,100,89.977503347477,5384.57605059998,204
"2005/2006",2006,120,120,100,87.1694533945993,7852.66785038507,106
"2006/2007",2007,120,120,100,85.7480897594494,6149.22031497734,335
"2007/2008",2008,120,120,100,84.0817906627491,4012.58455720806,416
"2008/2009",2009,121,121,100,87.1118351689477,5064.51773693622,416
"2009/2010",2010,120,120,100,87.511700804637,5693.25029822718,281
"2010/2011",2011,120,120,100,89.9409654535107,5417.26848279266,109
"2011/2012",2012,120,120,100,87.6646082444365,4699.81496076193,191
"2012/2013",2013,121,121,100,86.8563597056486,5341.51615309995,391
"2013/2014",2014,120,120,100,83.6796512927747,4410.48719387536,354
"2014/2015",2015,120,120,100,70.7117059865996,5774.88041611831,791
"2015/2016",2016,120,120,100,87.5608770493873,5791.50325760909,194
"2016/2017",2017,121,121,100,79.5345203634411,7356.01243278454,382
"2017/2018",2018,120,120,100,77.8347180450605,6431.64712269232,467
"2018/2019",2019,120,120,100,79.5844369603587,4105.33037064504,541
"2019/2020",2020,120,120,100,84.4173233742908,6955.65410706727,249
"2020/2021",2021,121,121,100,86.2601504290255,7837.71284958557,206
"2021/2022",2022,120,120,100,79.9416995708357,4044.30976477917,602
"2022/2023",2023,120,120,100,80.4419176100382,6075.6300083301,332
"2023/2024",2024,120,120,100,88.3759493861171,6808.22441506875,119
"2024/2025",2025,121,121,100,89.4386267518312,6346.24889098317,85
"2025/2026",2026,120,120,100,86.2375014488771,6129.84796442185,203
"2026/2027",2027,120,120,100,80.5770651073067,3102.54573706747,789
"2027/2028",2028,120,120,100,85.5477386056896,5628.24164723372,317
"2028/2029",2029,121,121,100,87.028154510032,4255.75466793682,343
"2029/2030",2030,120,120,100,84.1925802504265,4957.36091173487,336
"2030/2031",2031,120,120,100,85.8219124632828,6534.70029784343,239
"2031/2032",2032,120,120,100,84.5017401869927,4976.17562662112,439
"2032/2033",2033,121,121,100,86.2731790009393,5382.78661349183,330
"2033/2034",2034,120,120,100,86.6861282723239,3913.77174204402,422
