"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.7080747612117,7787.2569574035,293
"2002/2003",2003,120,120,100,84.1442377913099,6570.12594364758,341
"2003/2004",2004,120,120,100,86.1255072001927,3918.54885607222,452
"2004/2005",2005,121,121,100,88.9967730294823,5277.87540448393,197
"2005/2006",2006,120,120,100,88.7074273423052,7501.70851825556,100
"2006/2007",2007,120,120,100,85.7354101357238,5925.42340223637,337
"2007/2008",2008,120,120,100,83.1481286666558,4052.30646749499,486
"2008/2009",2009,121,121,100,88.1115496198152,4980.40044039488,424
"2009/2010",2010,120,120,100,86.7564758216067,5510.38841460797,280
"2010/2011",2011,120,120,100,91.0929633301942,5070.34316305257,110
"2011/2012",2012,120,120,100,89.3542787810127,4671.04356935679,209
"2012/2013",2013,121,121,100,86.5052676291511,5208.60513180331,419
"2013/2014",2014,120,120,100,84.4442686756981,4241.1032256668,370
"2014/2015",2015,120,120,100,69.4786889735108,5731.47896775662,859
"2015/2016",2016,120,120,100,87.2248505683929,5771.20031187776,221
"2016/2017",2017,121,121,100,79.7932940799728,7148.16893710312,404
"2017/2018",2018,120,120,100,80.0504520846698,6451.47472262266,502
"2018/2019",2019,120,120,100,79.5067203336166,4022.7939232972,572
"2019/2020",2020,120,120,100,83.8515619775185,6864.94166322588,275
"2020/2021",2021,121,121,100,83.8451300630613,7701.41787487478,215
"2021/2022",2022,120,120,100,79.7593196909697,3895.70160781313,622
"2022/2023",2023,120,120,100,81.7340335037534,5894.17829528847,346
"2023/2024",2024,120,120,100,88.5068348627829,6602.90467987582,105
"2024/2025",2025,121,121,100,90.1361323896153,6241.54934062273,116
"2025/2026",2026,120,120,100,83.2051270073162,6212.27308429382,247
"2026/2027",2027,120,120,100,79.4793817019668,3209.49307403597,838
"2027/2028",2028,120,120,100,85.5099572291565,5536.71577318804,321
"2028/2029",2029,121,121,100,87.2153587312778,4103.50542211905,368
"2029/2030",2030,120,120,100,84.2950018152014,4806.85056102811,360
"2030/2031",2031,120,120,100,86.7625667848338,6697.08617034741,281
"2031/2032",2032,120,120,100,82.0572162119402,5131.1514195716,483
"2032/2033",2033,121,121,100,86.952701007398,5176.49148056936,334
"2033/2034",2034,120,120,100,86.9881457465563,3852.29132490885,462
"2034/2035",2035,120,120,100,82.1031677848059,4000.68178591598,591
"2035/2036",2036,120,120,100,83.5395210594097,5673.14019737393,283
"2036/2037",2037,121,121,100,87.5883170041416,6112.40184904728,313
"2037/2038",2038,120,120,100,83.8300944192333,2905.151056448,511
"2038/2039",2039,120,120,100,83.883061264105,6771.31138564833,323
"2039/2040",2040,120,120,100,87.3982181831352,8316.64641835494,106
"2040/2041",2041,121,121,100,88.7428193875294,5803.10990617191,202
"2041/2042",2042,120,120,100,90.3158317221914,3971.95189853804,215
"2042/2043",2043,120,120,100,78.1953668607575,10305.601111332,256
"2043/2044",2044,120,120,100,86.6890093392412,2998.59179930249,386
"2044/2045",2045,121,121,100,89.6049013682068,4959.57116622897,215
"2045/2046",2046,120,120,100,82.8416335662268,3978.33507432928,602
"2046/2047",2047,120,120,100,83.6622737827411,4166.25642184308,416
"2047/2048",2048,120,120,100,83.1775415166167,4591.8847995447,513
"2048/2049",2049,121,121,100,91.3263312602285,4384.9484765199,199
"2049/2050",2050,120,120,100,87.6001304779629,3049.29518573033,382
"2050/2051",2051,120,120,100,83.8067151694349,2342.99091935158,422
"2051/2052",2052,120,120,100,81.8285514928903,5643.07726226328,345
"2052/2053",2053,121,121,100,81.0737509887958,7194.71534636384,331
"2053/2054",2054,120,120,100,85.0990054862486,7313.79248622153,284
"2054/2055",2055,120,120,100,86.2230265272074,6664.39839310385,115
"2055/2056",2056,120,120,100,85.7675619226256,5178.80051372992,321
"2056/2057",2057,121,121,100,79.8001700321838,6677.89733355353,156
"2057/2058",2058,120,120,100,83.0161458598823,5325.29365235195,470
"2058/2059",2059,120,120,100,86.7532409837941,6505.17502362654,139
"2059/2060",2060,120,120,100,81.3505612826557,3680.57028663158,589
"2060/2061",2061,121,121,100,86.580539990161,6609.86333749071,242
"2061/2062",2062,120,120,100,75.7325654483593,7665.49443111848,307
"2062/2063",2063,120,120,100,83.3794694480757,3380.88632541243,519
"2063/2064",2064,120,120,100,85.8716518181282,3276.98183387052,462
"2064/2065",2065,121,121,100,84.1439948972893,5713.43006091658,474
"2065/2066",2066,120,120,100,85.2928080969741,6063.54463078827,290
"2066/2067",2067,120,120,100,89.5831807827872,5283.37391308509,118
"2067/2068",2068,120,120,100,84.3746300573712,3129.23268917762,543
"2068/2069",2069,121,121,100,84.5408620117305,8281.65397119708,263
"2069/2070",2070,120,120,100,81.9515505044856,5483.06760949083,417
"2070/2071",2071,120,120,100,84.7916718741162,5124.6546883788,385
"2071/2072",2072,120,120,100,85.1047050164671,5067.36009043641,307
"2072/2073",2073,121,121,100,82.0873281993681,7053.93007693719,270
"2073/2074",2074,120,120,100,83.3470999170258,7568.60874911491,238
"2074/2075",2075,120,120,100,74.568449706876,7772.18809569813,533
"2075/2076",2076,120,120,100,80.2614704938624,7641.20903508551,377
"2076/2077",2077,121,121,100,87.8623387501393,7128.30010764115,97
"2077/2078",2078,120,120,100,86.3011407958529,3101.64249150828,451
