"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.1687884452106,166.977932871832,66.7788334409282,46.8894976739291,88.5607088597617,1869.41164468728,1764.5,1740.03268293199,1762.5,1772,1287,1753.5,85.19907639397
"2002/2003",2003,120,120,100,43.7278298436845,166.721379211601,71.9331972585802,51.2299457272481,89.4962024362931,2012.50793468586,1920.5,1849.39949939243,1870,1938.5,1466,1918.5,85.8291951752708
"2003/2004",2004,120,120,100,52.3991529619957,205.14968470498,74.5423986481739,66.8467567431403,97.9641020235738,2025.88248196874,1757.5,1603.47747053999,1864,1724.5,1627,1712,84.7497749929271
"2004/2005",2005,121,121,100,56.5500990126376,228.919414963414,68.3123032757761,66.0272448137494,94.7716618988693,2208.08350691767,2038,1883.60917661559,2062,2036.5,1770,2020,87.0251675274916
"2005/2006",2006,120,120,100,48.8732619971992,204.03971791639,62.9984744535848,54.8498024779678,88.9633659369637,2083.04504054011,2007,1924.49105611379,1974.5,2003.5,1483,1993.5,88.4479290157294
"2006/2007",2007,120,120,100,49.3526181681572,213.5871984119,68.8586018250047,55.6630343485318,91.1176825167151,2047.99886150683,1912,1836.96380020391,1912,1957.5,1526,1936.5,84.9934083142734
"2007/2008",2008,120,120,100,52.1533305602867,199.359342282234,78.1798866777355,64.7226500227214,96.8207214180576,2001.2613450271,1776,1619.91475057695,1876.5,1740,1619,1737,81.7349239055491
"2008/2009",2009,121,121,100,45.0317133810492,217.326050399056,71.4239038835397,54.9126767783314,94.3010317053764,1997.8177702231,1821,1744.42243273004,1845,1816.5,1496,1814,84.8742891191664
"2009/2010",2010,120,120,100,48.1437189965835,187.457619400353,70.7213929028024,59.1095632756276,93.1809270684812,2106.74696665496,1918.5,1846.60674327716,1948,1933,1554,1925,87.7354369007835
"2010/2011",2011,120,120,100,57.0706845664142,217.977768635648,68.583730567351,65.3193344461996,93.3995264936834,2253.09919653776,2086,1978.138259649,2109.5,2100,1746,2100,90.5055967610356
