"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.8710168375379,175.579283513705,66.4895292729248,46.3508205774181,88.2340252289946,1833.09345413097,1734.5,1679.72999827602,1744,1728,1294,1702,82.4379820986813
"2002/2003",2003,120,120,100,38.0473046963969,164.716424894699,72.1815626362557,46.8859621826524,88.594155613866,1890.36561883093,1768,1701.48053613302,1756.5,1811,1365,1782.5,83.3305598284993
"2003/2004",2004,120,120,100,49.1600944937043,208.016221027212,73.9075825652937,63.6564382909864,97.809313880109,1970.84670221478,1700,1570.52728388916,1816.5,1683,1572,1671,84.0601695206689
"2004/2005",2005,121,121,100,54.4954773772616,236.906273960129,67.6325763209194,64.6757122400802,94.7042100024251,2172.28453493544,2005.5,1858.68798040126,2029.5,2006,1704,1985.5,88.9459155141375
"2005/2006",2006,120,120,100,47.2904434488067,215.45957387288,62.2268446478812,53.3900977851161,89.3574681563995,2106.25476969837,2016,1957.71538486551,1987,2013,1493,2004.5,89.8765346668713
"2006/2007",2007,120,120,100,49.0221763668988,224.414009733963,68.3192451284902,55.4376473862224,90.9246034266532,1995.40827281379,1861.5,1772.59953752788,1856.5,1895,1484,1867,84.7214331593162
"2007/2008",2008,120,120,100,48.8965048423144,198.289648612626,78.0921171274239,61.0994003458857,95.9322354014365,1879.84215842267,1685,1508.12001612646,1783.5,1632.5,1510,1623.5,79.1836368210886
"2008/2009",2009,121,121,100,45.2141060633232,230.18422675146,70.6532318829776,55.5130886898107,94.3527996259261,1988.52942109229,1800,1700.90732986436,1846,1799.5,1515,1793.5,84.088597366027
"2009/2010",2010,120,120,100,47.2439225680238,200.029499767706,70.4057965616692,56.8918828453254,92.5460690900976,2080.85883977457,1917.5,1841.12164970189,1923.5,1942.5,1518,1936,86.9949196786781
"2010/2011",2011,120,120,100,60.6579909940917,243.928734713145,67.6845473778534,67.7767073175109,93.8874749723113,2320.71614970047,2185,2028.9264906011,2165,2172,1839,2172,90.6331215484408
"2011/2012",2012,120,120,100,55.5036598759907,211.096272907311,70.8954188721081,67.0212055044503,95.5313727708798,2137.36222048727,1960.5,1787.97244665899,2030.5,1926.5,1725,1917.5,86.2359009970874
"2012/2013",2013,121,121,100,44.7033418602977,201.630290211462,71.9017141812964,57.6863505295264,95.1283354626877,1946.97053118215,1743.5,1652.64229479603,1788.5,1752,1397,1738.5,86.5221212149627
"2013/2014",2014,120,120,100,49.7379041087567,205.547389673762,75.1854187725929,63.9727434490206,96.5915364357521,2031.74899268642,1761.5,1626.49242333834,1883.5,1716,1666,1708.5,84.2388232104506
"2014/2015",2015,120,120,100,25.8417906632197,118.041232808768,82.2703417431884,44.2475699104,94.11749320768,1353.83245359766,1068.5,924.304994087006,1228,1038,1029,974.5,67.7043685499284
"2015/2016",2016,120,120,100,48.3043755739325,187.157857726487,68.5989166579278,57.3947623691071,92.3808114532224,2043.77453834267,1881.5,1777.3103243001,1888.5,1898,1487,1881,85.7908535750923
"2016/2017",2017,121,121,100,41.3367377349229,193.025131095389,70.1484025061081,54.1898001178608,92.2427423558971,1818.84531654129,1610,1468.36215743558,1672.5,1610,1370,1548.5,80.1461397477874
"2017/2018",2018,120,120,100,35.3278163296672,160.580678128732,74.2953975143932,47.0607506379994,91.2332849559105,1691.72736948587,1521,1418.47454852794,1568,1501.5,1211,1459.5,76.9469986908857
"2018/2019",2019,120,120,100,43.9976558769599,166.588193357088,83.4238820832336,59.146659328734,96.0278563389128,1806.41709509881,1560,1391.75120930183,1673,1519,1476,1492.5,76.8477268401025
"2019/2020",2020,120,120,100,41.696978952268,195.327507209024,67.2947013402001,52.3924444430912,91.0954600548075,1898.09077916385,1724.5,1614.23784680782,1776,1710.5,1400,1685.5,83.9841903976221
"2020/2021",2021,121,121,100,44.3178090495369,206.328295209732,63.8299058627953,53.5346728289878,90.3198031769195,2012.75448610765,1860,1793.2233383969,1844.5,1912,1448,1860,85.0317427734421
"2021/2022",2022,120,120,100,45.4843805399411,188.816151966357,82.539871449337,62.4477654320846,97.0964141562137,1756.42186232338,1510,1314.68497044635,1658.5,1426.5,1471,1418,77.0082933435369
"2022/2023",2023,120,120,100,50.4148196903652,185.776750552593,72.9264084427646,64.7628768631629,94.7558982024663,1887.20347034547,1674,1456.17758456136,1770.5,1597.5,1544,1559.5,78.9555112356638
"2023/2024",2024,120,120,100,48.425099412445,233.596264045172,63.0037376703168,56.0344355257773,90.7118055992273,2127.73539215935,1974,1887.23968011177,1982,1978,1575,1956.5,87.2144574319782
"2024/2025",2025,121,121,100,50.0506226739581,199.703764182076,67.2724178805123,59.6206171010338,92.8157535794755,2105.21165395105,1933,1873.92768009718,1993,1944,1549,1933,89.286340965049
"2025/2026",2026,120,120,100,44.6719181434159,192.376249776897,69.52443291504,57.0693749181236,92.6402557208781,2001.47466032884,1824,1688.07492383511,1863,1792,1525,1771,84.4926439660321
"2026/2027",2027,120,120,100,39.6805055118634,185.783330937886,84.50771174843,55.9070699139527,97.3092903838549,1668.00893733684,1387.5,1287.30105300999,1537,1354,1327,1347,78.0293896482208
"2027/2028",2028,120,120,100,47.0281180553516,154.324539971715,73.2243134976993,60.1935457644284,94.1793320496272,1962.52760837521,1755,1641.82400124393,1835,1751,1519,1734,83.5865952223348
"2028/2029",2029,121,121,100,58.288101238363,266.392771914096,72.8069600312839,70.0864350306965,97.6598665409061,2069.24553945758,1860,1694.31401836598,1956.5,1810.5,1713,1809,87.8698202419296
"2029/2030",2030,120,120,100,50.7750534723094,214.00326660483,73.5506083933474,62.6347746243582,95.1627645683615,1957.4008388003,1749,1641.71929767488,1827,1731.5,1495,1728,83.1680320092746
"2030/2031",2031,120,120,100,44.3548845160235,221.799126582749,65.1668087566338,53.0157146057048,90.7956298412793,1876.82358500436,1727,1654.67850496301,1766.5,1731,1338,1707.5,83.0956755841707
"2031/2032",2032,120,120,100,45.8407002553212,204.894738730628,73.536766527027,56.9496295570237,93.3354687969636,1841.22269748819,1626,1482.45523751164,1684,1628,1434,1589.5,79.8541815515327
"2032/2033",2033,121,121,100,55.127110708254,215.353999500253,72.3883321148848,62.2527328861407,94.5376924063424,2094.88203458462,1906.5,1790.53583645637,1940,1931.5,1607,1904.5,84.8763003607901
"2033/2034",2034,120,120,100,51.5286835147729,227.923664725014,75.0010789584062,64.9024918332379,97.5847484346719,1949.49333517629,1706.5,1563.19835378214,1814.5,1662.5,1569,1659.5,84.2202338055758
"2034/2035",2035,120,120,100,45.4419066298648,173.155356958071,80.3906564198093,59.68265757568,96.7953628627095,1783.09129416733,1584,1394.04819813245,1701,1516.5,1455,1514,78.1449472962913
"2035/2036",2036,120,120,100,50.2930860819217,192.796221685249,70.8975359024904,63.4592661542335,94.19371750145,1955.73315931097,1780.5,1574.94650467014,1835,1720,1559,1696.5,83.1260166456968
"2036/2037",2037,121,121,100,43.5606266118203,189.299006300988,70.6271831859594,52.4920767700792,91.7023128854402,1948.0682220196,1800.5,1761.61874386775,1806.5,1822.5,1358,1813.5,87.2996630588059
"2037/2038",2038,120,120,100,57.3826668998692,209.258390620102,81.0892653622828,72.9315844983306,99.7674419985643,1967.66709237851,1663.5,1429.61871434407,1863,1595,1750,1584.5,81.4123248058595
"2038/2039",2039,120,120,100,41.1689574713744,181.335097508631,69.2599324019267,49.4589356037809,89.4014418043173,1950.39113485574,1858,1773.89456139915,1834,1857.5,1410,1845.5,85.140965525452
"2039/2040",2040,120,120,100,38.0921761807348,169.464586673618,61.3429818306393,46.3751510521534,87.2407271837322,1959.7396147892,1874.5,1842.14568435722,1822,1894.5,1291,1864,86.9045979601406
"2040/2041",2041,121,121,100,46.0845546436328,198.961790535873,68.9003713618599,56.9647698883692,93.147102319358,2012.59799456071,1841.5,1758.27173357483,1874.5,1837,1460,1822.5,87.0704950907575
"2041/2042",2042,120,120,100,57.7479096806956,192.222674499469,73.1902188356452,68.8562978346876,96.5202306774253,2236.30157463296,2028,1890.08520633277,2068.5,2029,1790,2028.5,89.320620200986
