"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9764850913308,177.305268770672,68.9082890823835,50.7598647609453,90.1116753559563,1888.75752416706,1758.5,1709.11015024348,1771,1759.5,1337,1746,82.8934428964252
"2002/2003",2003,120,120,100,41.9617582075086,170.217998280329,74.791226015325,50.8660553963853,90.2768062854607,1956.17441058701,1825,1740.46311703513,1816.5,1839,1455,1822,83.4324530710043
"2003/2004",2004,120,120,100,50.5927484361101,210.596193220152,76.5986846773559,65.5700391454061,99.1175703516313,1997.7827590076,1733,1574.50702664792,1856,1706.5,1641,1700.5,85.0002848732958
"2004/2005",2005,121,121,100,56.5933909510004,233.778088335002,70.2488861208523,67.8652772795174,96.3086172430971,2204.12738682778,2021,1839.76824662699,2060.5,2008,1779,1992.5,87.9327263104786
"2005/2006",2006,120,120,100,51.5799725738286,215.194567041559,64.7834495362873,58.4397071363364,91.0236311415728,2122.08109638195,2000,1931.51269798535,2000,1996,1555,1987.5,89.3431076708428
"2006/2007",2007,120,120,100,50.4195687490781,220.234979714146,71.3428599416021,57.6274462782799,91.8681382736629,2017.8347333802,1874.5,1775.48114900582,1882.5,1899.5,1541,1881,84.6381554466922
"2007/2008",2008,120,120,100,51.6650344943236,195.015977844628,80.6370996494658,65.5237925818127,98.0359249296642,1907.51387400184,1653.5,1468.92110459991,1799,1605,1570,1601,80.4398262402317
"2008/2009",2009,121,121,100,49.6764254625572,233.689749669209,73.4650279267648,59.0173411992922,95.5927588699692,2006.85497393821,1817.5,1692.26508593424,1860.5,1813,1571,1810,83.0009740683136
"2009/2010",2010,120,120,100,49.8462361123159,199.609382531724,73.1915005137028,59.1932082210598,93.6012248682956,2093.51070085169,1911.5,1835.00810467596,1928,1938.5,1564,1937,86.1115114157042
"2010/2011",2011,120,120,100,59.2366861799164,233.093280089136,70.5792420450803,69.4835137907134,95.5950463580927,2283.97627592821,2094.5,1925.8307651646,2154,2081,1868,2081,88.5870041990702
"2011/2012",2012,120,120,100,57.3933068484632,206.709605737818,73.4752496190488,69.4471691393707,97.1603136571664,2173.21475223023,1984,1781.2679971221,2066.5,1943.5,1784,1940.5,85.9079694536317
"2012/2013",2013,121,121,100,44.0820057221722,190.935912359688,74.6768971059929,58.6935485389402,96.6106779845489,1944.37958024022,1714,1613.35152273655,1776,1716,1442,1709.5,85.4964768519535
