"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.3774454194083,174.581644757681,68.587348265833,49.1821423993545,89.8039854500199,1899.69563337137,1774,1740.94347173899,1783,1790,1337,1777.5,85.8856933601961
"2002/2003",2003,120,120,100,43.3587769033257,169.172854422869,74.3498535834209,51.9155814208802,90.318139126176,1982.94913222992,1862,1769.98592247889,1840,1877,1478,1858,83.7929053061838
"2003/2004",2004,120,120,100,50.3259551501176,202.149940980951,76.557723280175,66.1164434038246,99.0935669336288,1975.87523103411,1699,1532.8248203308,1822,1661,1608,1652.5,83.4072310811316
"2004/2005",2005,121,121,100,57.605553416353,236.325990328761,69.9716258457407,68.9190333091709,96.4637705050582,2217.22957876818,2038.5,1850.1892466811,2093,2018.5,1811,2005,88.1374196987962
"2005/2006",2006,120,120,100,51.4698599876877,216.709008899272,64.4476530720851,58.3712781767592,91.027859422558,2145.40613398148,2026,1947.73274017255,2035,2026,1577,2018.5,88.0945134644204
"2006/2007",2007,120,120,100,51.9638502066836,224.154101871328,70.7217065885566,58.8333021973078,92.476283405196,2049.23250826393,1901,1785.52471762059,1899,1925.5,1554,1904,86.1424110788471
"2007/2008",2008,120,120,100,52.1328499694938,199.102488143773,80.3949022436438,64.7721601621864,97.4897789148903,1942.8717200602,1712,1539.97196451482,1819.5,1660,1579,1657,80.2249631138689
"2008/2009",2009,121,121,100,48.0754624047443,228.935078144331,73.02796022225,59.1559393933711,95.907348573514,2024.81095016592,1819,1711.55487077651,1882.5,1801,1581,1799,85.26037808563
"2009/2010",2010,120,120,100,48.7248475691789,193.004242139031,72.7368455774894,60.3496075954326,94.1589060539142,2092.38396114704,1903.5,1800.97522467957,1929,1897.5,1557,1893.5,86.7924553433174
"2010/2011",2011,120,120,100,61.5712685657818,234.309530897043,70.100272609413,70.3561647705282,95.4644745863374,2317.57865312547,2142.5,1970.17770889875,2164,2125.5,1863,2125.5,90.2650939053487
"2011/2012",2012,120,120,100,59.6792069952309,211.334128694778,73.1184630333879,71.411505894463,97.2372433622262,2190.90501746791,1992,1795.52108914791,2073,1935.5,1805,1932.5,87.399391597515
"2012/2013",2013,121,121,100,46.5415202264267,197.883069520795,74.2388204062484,60.5242787318191,96.7535969767382,1997.06779198023,1786.5,1665.62599786476,1835.5,1772,1507,1765.5,86.980067043304
"2013/2014",2014,120,120,100,52.4495668495297,202.542955654924,77.6686176565597,68.0708633648167,98.071575294314,2059.0585020239,1785,1600.74886040365,1930,1724,1763,1718,83.7164535126731
"2014/2015",2015,120,120,100,26.5012070577346,116.92272568946,84.5887286301147,45.059545508668,95.5015571406647,1399.7056507743,1122.5,996.736189986836,1297.5,1080,1050,1039.5,70.8285271830741
"2015/2016",2016,120,120,100,50.6237667062561,187.726430281469,70.780503176789,60.7704520770382,94.1356846003481,2123.6717983218,1951.5,1829.93380681871,1954.5,1952,1569,1944,86.482696633137
"2016/2017",2017,121,121,100,41.8101093735573,188.287343533312,72.5159927273879,55.0796276497977,93.6897921220156,1846.32987854005,1633,1505.77524098249,1711,1609.5,1408,1576,81.3139904133759
"2017/2018",2018,120,120,100,36.6574388229506,156.52678337422,76.6048795929647,48.3110581543806,92.4726266515068,1728.23785569856,1536,1462.20305198595,1611,1529.5,1224,1507,76.9749190955235
"2018/2019",2019,120,120,100,46.6039977643986,166.840600703345,85.791189540456,62.1798642005506,97.3876640330314,1854.67696508706,1581.5,1411.32529720635,1731,1568,1551,1549.5,77.6002526241646
"2019/2020",2020,120,120,100,43.195738698109,194.084322199243,69.5399259497679,54.0756937315943,92.5546257083072,1945.38919008026,1756,1666.21189922434,1826,1727,1475,1716,85.4640870180729
"2020/2021",2021,121,121,100,45.4388489117428,196.38224136027,66.1368493880409,54.949311396039,91.627138691658,2045.02232304282,1883,1824.92184944435,1876,1929.5,1465,1891.5,85.368440299781
"2021/2022",2022,120,120,100,45.4044942628907,181.950558667207,84.8815204928736,63.943610301717,98.7538772644469,1773.98330006482,1501,1316.16106195739,1668.5,1430,1497,1430,79.9069015523023
"2022/2023",2023,120,120,100,51.9587836190706,183.385094664943,75.0336644807889,67.1025445260025,96.3412411327149,1954.31781164788,1733,1530.44765502256,1839,1648.5,1614,1628,80.2894331789171
"2023/2024",2024,120,120,100,53.570691748029,240.976753634165,65.0561093515591,61.2378054713473,92.5167495433447,2231.53582223787,2072.5,1958.69990675891,2084.5,2067,1698,2059.5,90.229178117906
"2024/2025",2025,121,121,100,54.1569787402609,201.154511236121,69.4318804846562,64.3099447781732,94.4710249963078,2197.62351692084,1993,1915.29609784553,2052.5,2007.5,1643,2003,91.2169462328247
"2025/2026",2026,120,120,100,44.4133806738186,183.03988526301,72.0270424570202,57.6508989707935,93.8038485423481,1999.3969766596,1805,1667.24344391288,1870,1760,1529,1746,84.0822474543065
"2026/2027",2027,120,120,100,38.7217820631517,170.816570269172,87.4695065172604,55.4470790600232,97.8810629955552,1634.84345941179,1341,1246.86811562349,1489.5,1305,1323,1299.5,76.7829746625612
"2027/2028",2028,120,120,100,47.6424561581389,149.271425475511,75.4292300837741,61.714635457399,95.7381756213753,2005.87771626498,1779.5,1671.5954055605,1865,1777,1540,1770.5,82.5095267282713
"2028/2029",2029,121,121,100,62.2439614289347,262.789888715473,75.3115733697094,75.4501749708292,99.093571226533,2111.62199471622,1882,1688.54058444103,1997,1828,1781,1828,86.0341078425213
"2029/2030",2030,120,120,100,53.8766601441934,214.298158200228,75.8408709325775,67.0366865344174,96.8297773384052,2028.63358995637,1794.5,1663.79339119367,1905,1777.5,1587,1777.5,84.6453614293341
"2030/2031",2031,120,120,100,46.2285817773504,219.799873884561,67.4890725678644,55.8960560964511,92.3017202554116,1944.20182561205,1777,1701.40592878294,1831,1787,1423,1774.5,84.7205478516071
"2031/2032",2032,120,120,100,48.6708413666716,204.450604126566,75.940005272391,60.3871399259819,95.0347545089162,1883.11763972181,1663.5,1493.18740223983,1742.5,1631,1540,1608,80.3957270939527
"2032/2033",2033,121,121,100,57.5750812621965,214.609639385341,74.7094068454467,65.5007537832085,96.0152928085494,2136.67276270113,1922.5,1796.53175121404,1993,1950,1708,1932,85.6922413153379
"2033/2034",2034,120,120,100,52.6235763201283,218.74477026405,77.399459844235,67.3682003015761,99.090833776253,1964.07087269802,1691,1541.70658591829,1843.5,1663,1637,1661.5,83.8631811633986
"2034/2035",2035,120,120,100,48.0807265423835,172.783806374997,82.6686770670359,63.2917800686939,98.2573272946687,1843.86365300138,1610.5,1423.10277432992,1733,1534,1534,1532.5,78.5214924980783
"2035/2036",2036,120,120,100,53.1180471678094,191.922848806499,73.1307888643896,66.7478198337826,95.864399311835,2026.64979398304,1835.5,1612.26270178336,1898,1766.5,1659,1749,84.9570044920101
"2036/2037",2037,121,121,100,46.893621257365,193.186934537027,72.7969636624398,56.1520797211569,93.3932564779329,2041.50165723791,1880.5,1823.76500133864,1884,1905.5,1456,1900,87.8499507776596
"2037/2038",2038,120,120,100,58.6445873694359,204.640346338951,83.5362831814971,75.2580365612339,101.112202630768,1987.2163085369,1664,1413.09599857308,1882,1567.5,1778,1564.5,82.1611304749595
"2038/2039",2039,120,120,100,44.8175764055806,183.033360911508,71.4387351114713,53.5767675505153,91.1121886788288,2026.1276167567,1916.5,1816.95972587937,1908,1903,1525,1896,85.426535604508
"2039/2040",2040,120,120,100,40.5193193228326,172.502184859545,63.2935069012464,49.2169985507547,88.9906967039637,2045.20938163092,1946,1924.54995507055,1910.5,1980.5,1372,1963.5,89.3028356982522
"2040/2041",2041,121,121,100,49.6366958691814,202.634899916591,70.9417268947702,61.7763368727966,95.0180642821367,2114.40968079201,1913,1822.14043551275,1966.5,1903,1584,1898.5,89.007530457442
"2041/2042",2042,120,120,100,59.2428969520938,188.500976179985,75.4189364586278,72.1330130886722,98.0656924161204,2269.18842419019,2032,1868.12378659183,2096,2022,1848,2022,88.5205031832193
"2042/2043",2043,120,120,100,32.0686493271397,132.201911575812,66.0054104290514,37.5082955317477,83.935054024947,1789.92529042572,1731,1735.97910033441,1642.5,1800,1096,1754,84.0779945079785
"2043/2044",2044,120,120,100,58.9897147602344,235.324648618878,79.4873312777023,75.1210840308469,100.751930506135,2111.8312099188,1849.5,1577.21481329832,2022,1767,1892,1767,84.7462664167069
"2044/2045",2045,121,121,100,60.4125695096325,217.203438902706,72.258238805023,68.0281695567412,95.8984568479987,2282.94335395613,2124,1953.35001152722,2141.5,2108,1857,2104,88.2658803296054
"2045/2046",2046,120,120,100,45.4654015844373,195.631479392231,79.0985520228511,60.478227437625,97.9513675587825,1879.20929825163,1649,1495.83680396864,1730,1598,1521,1596,82.188528659216
"2046/2047",2047,120,120,100,54.009579339363,192.608852280451,78.5848768920166,69.1282888540809,98.767962227237,2027.06886129154,1763,1561.6190035215,1873,1722,1728,1699.5,82.8675011170917
"2047/2048",2048,120,120,100,49.9862181716173,173.496494141029,83.2422781973774,58.9839996579471,93.1655756007351,1962.93042797106,1779.5,1693.24315956122,1818,1789,1540,1778,81.4405863866541
"2048/2049",2049,121,121,100,61.6651404180534,247.616364834935,71.3087944034212,74.1354810270681,98.6475523486233,2285.52257331167,2081,1885.84514240175,2144.5,2059.5,1849,2059.5,90.2546840776076
"2049/2050",2050,120,120,100,58.5913777230879,229.521681202079,78.3402018493519,75.6009806212544,101.311083852522,2117.98615371954,1791,1578.43377970853,1974,1704.5,1880,1704.5,82.8993474326935
"2050/2051",2051,120,120,100,61.0379527641301,232.96982918706,82.6812639951466,79.2813599647492,102.735914921665,2027.72172181425,1707,1393.85569589492,1913,1584,1867,1580,81.5777940112112
"2051/2052",2052,120,120,100,47.8904625401317,187.930053519541,73.947259099282,62.728315490874,96.3722106173255,1947.99662749632,1704,1550.33288829284,1804,1679.5,1516,1661.5,83.3752546091173
"2052/2053",2053,121,121,100,43.582407826224,162.763060548098,75.2845915458172,52.1664481665407,90.4311519370959,1892.36365745537,1751,1646.73727799126,1775.5,1744.5,1418,1720.5,82.6109791466606
"2053/2054",2054,120,120,100,47.0730620656322,166.021327696665,70.4402227235242,54.3868202536687,89.6586424794147,1982.97620707538,1879.5,1815.28083007038,1861.5,1900.5,1443,1881,86.2209130242436
"2054/2055",2055,120,120,100,52.9656302221221,203.193404722072,67.1989675768974,63.2382115387605,93.0956223223731,2172.50675116546,1974.5,1909.19885484517,2009,2002,1619,1986.5,87.8474837765925
"2055/2056",2056,120,120,100,48.563295392922,202.394769604921,74.5868455886799,60.9842822642561,95.7012356416599,2029.11311974694,1820,1660.54988415715,1900.5,1797.5,1617,1788,84.8471403071353
"2056/2057",2057,121,121,100,55.4532963294965,200.204347253627,73.3727023839606,70.1411056411647,95.9022765844096,2056.75454825131,1816.5,1509.33697443539,1925.5,1719.5,1793,1669.5,79.9569314803684
"2057/2058",2058,120,120,100,44.401829800749,187.102909279476,77.3800519119445,57.0062139656869,94.7831580958367,1891.79504649938,1693,1581.66285165092,1784,1661.5,1466,1655.5,82.4535324785666
"2058/2059",2059,120,120,100,54.8592716520121,224.787296465952,66.5842339412317,60.7126199775094,92.0349843148407,2166.70961738133,2013,1939.08034791297,2026,2048.5,1586,2042.5,89.4831618098087
"2059/2060",2060,120,120,100,45.982191781645,190.978452965804,83.436549978497,63.9902989326901,98.616833898507,1843.50002336063,1514.5,1361.56289290905,1701.5,1470.5,1534,1462,79.6803526281401
"2060/2061",2061,121,121,100,51.9687285637146,219.178344143406,68.5447019715283,61.9024930855166,93.7737285173082,2107.73665954414,1942,1849.98965161409,1982,1952,1598,1946.5,88.410955629357
"2061/2062",2062,120,120,100,44.8127248266773,158.310867542283,73.5962982582091,59.5791097316276,93.5695249506303,1886.39839751311,1612,1410.51429400762,1734,1575,1536,1511,75.4040576362131
"2062/2063",2063,120,120,100,54.0145624034077,209.281420472892,80.4164582466981,69.2893133119896,99.5336099194073,1972.31304662875,1731,1465.47918455578,1851,1662.5,1758,1645,79.4900843368887
