"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.2035417954948,180.22714391142,68.1962759906972,49.7464590458438,90.3060712854741,1875.52718112619,1732,1712.07097231127,1751,1753.5,1280,1737.5,84.8426804474801
"2002/2003",2003,120,120,100,49.9210766659615,192.96634929,73.4271980295562,57.0156288569395,91.4418237212381,2064.22480168338,1968.5,1824.07660286233,1934.5,1965.5,1625,1950,84.406266654024
"2003/2004",2004,120,120,100,53.1171367942824,225.389191869248,76.1691279939648,70.1540808984044,99.7010171348387,2007.13676709029,1683,1526.23358838225,1842.5,1659.5,1690,1651.5,83.6223986351336
"2004/2005",2005,121,121,100,55.1137960904311,232.878000453887,70.0772048918879,66.7734833213006,96.2459253558695,2149.20374970619,1928.5,1761.22937144789,2002.5,1913,1763,1891,87.1807314489059
"2005/2006",2006,120,120,100,51.1541159706945,218.910299295276,64.5975900301444,59.4971784504099,90.8162470469859,2025.34936433248,1881,1784.33705241019,1915,1870.5,1495,1855,84.7707154744128
"2006/2007",2007,120,120,100,50.3311984815466,223.426556681965,70.6195652069022,57.9285341826136,92.2731003397741,2034.10417567196,1892.5,1769.47942423899,1892.5,1908.5,1552,1892.5,85.0589233528223
"2007/2008",2008,120,120,100,54.1611260880582,211.45861045361,79.8889166709758,67.7350092055173,98.2137252748604,1973.30414186248,1697.5,1543.07692318305,1838,1655.5,1615,1654,80.8077559401098
"2008/2009",2009,121,121,100,46.9861743186163,229.924005219035,73.1447223712335,56.8103507465063,95.336519976563,1960.98731624673,1790,1670.4169786574,1841,1766.5,1513,1763,84.8582340290495
"2009/2010",2010,120,120,100,49.4517813032975,201.198716261567,72.3984973129677,61.759668472234,94.7602756453138,2076.21731390583,1867.5,1753.9166849049,1948.5,1853.5,1609,1845.5,86.0428248562584
"2010/2011",2011,120,120,100,58.470643500592,229.154583881695,70.3464091035594,68.617741215718,95.1539621776622,2213.7232144955,2019,1859.33934605824,2092.5,1985,1777,1985,89.8629658531413
"2011/2012",2012,120,120,100,58.5237649802409,216.245523573203,72.89033202305,70.1310137705381,96.9859245068618,2164.17081642617,1922.5,1791.7113280263,2020.5,1913.5,1755,1911,85.3249212984599
"2012/2013",2013,121,121,100,51.2776516352557,218.113624350467,73.3779273951885,65.6721809390223,98.2332445441431,2075.05538191877,1826,1690.09309375952,1925.5,1819,1636,1813.5,88.4213341264799
"2013/2014",2014,120,120,100,51.9314390745964,191.733591023683,77.9660938105584,66.8320094698765,97.3631349923963,2000.03206672354,1765,1552.06095561586,1875,1711.5,1708,1691.5,81.0003597342202
"2014/2015",2015,120,120,100,31.9271867370961,137.311396776365,83.8443402270385,50.5365089909338,96.9643540576483,1500.4116479838,1191.5,1042.41741212779,1373.5,1147,1161,1110,72.8147602873601
"2015/2016",2016,120,120,100,53.4043326176989,209.057592922532,70.2672647651771,64.6272441694101,95.0184328663743,2176.10423366621,1996.5,1847.90473068845,2013,1981.5,1678,1975,87.3979541984627
"2016/2017",2017,121,121,100,42.6247985067174,199.562388069218,72.3260678364633,55.2893864105369,93.6051779688419,1868.21468446789,1653.5,1529.796616641,1731.5,1647,1428,1615,81.881718739055
"2017/2018",2018,120,120,100,39.6742498530566,178.881129046652,76.2710296159512,51.5609353554799,92.9845035798431,1774.38171599725,1551.5,1483.09780524376,1641,1552.5,1299,1534,77.6422014885338
"2018/2019",2019,120,120,100,50.7973161779709,180.568363718226,85.1661261693022,65.0594727877306,97.638665876465,1918.28092531999,1670,1466.66800543306,1797,1636,1640,1621,77.424086800489
"2019/2020",2020,120,120,100,42.4031547307126,198.098888707739,69.3529026277898,53.1087646897152,92.6393737059754,1929.44922215871,1759.5,1649.51558938539,1801.5,1711,1436,1698.5,83.7619831024663
"2020/2021",2021,121,121,100,45.5610323481491,198.87784338911,66.0444815666893,54.9025036467605,91.5619039386842,2012.42652243163,1845.5,1775.58820962437,1857,1890.5,1484,1843.5,84.5821390227829
"2021/2022",2022,120,120,100,45.6210955442314,187.152720033881,83.6541312190319,65.4437392363395,100.013009154566,1769.9317677483,1490.5,1287.00107856092,1668,1410,1536,1410,79.3684881198783
"2022/2023",2023,120,120,100,53.4512604937811,191.215679337284,74.7193595463072,65.5756054733513,95.7333298703683,1967.50201227149,1750,1589.36507001078,1842.5,1727.5,1576,1708,81.711228753215
"2023/2024",2024,120,120,100,55.2967372037117,251.601386851959,64.684101486851,62.3403478932759,92.4051082549558,2233.21096498799,2083.5,1966.50937036298,2099.5,2079.5,1753,2075,88.8513157658972
"2024/2025",2025,121,121,100,53.1078634420393,203.257309812346,69.4495058382584,63.738944355122,94.279782011933,2146.37566228468,1918.5,1861.38401398196,1975.5,1934,1569,1925,89.2442473068381
"2025/2026",2026,120,120,100,43.5755217252267,183.607672665487,72.3007296773942,55.8414740721767,93.1990596852529,1934.1889077862,1741.5,1612.06998024766,1799,1714,1464,1694.5,83.4377660718665
"2026/2027",2027,120,120,100,36.017052437913,163.184784515485,87.4661945807264,51.6091255531115,97.083749347472,1559.96049928997,1285,1208.22814539356,1412.5,1267,1211,1260.5,77.2429366833376
"2027/2028",2028,120,120,100,43.4983454006784,146.413596320164,75.5758484779784,57.7793632375504,95.3805372704876,1945.38561703038,1742,1631.0877851918,1819,1713.5,1446,1708,84.3019327073021
"2028/2029",2029,121,121,100,64.8944994135859,271.394799984748,74.8985537204158,77.2296026593241,99.5130786686589,2132.01797497192,1895.5,1696.5286377831,2011.5,1848,1800,1848,87.0879909136124
"2029/2030",2030,120,120,100,55.7192757663335,218.891417316639,75.2998020867946,70.0334852700115,97.51966388213,2044.12352254886,1770.5,1654.83158435753,1908,1760.5,1616,1759,85.1880428630097
"2030/2031",2031,120,120,100,46.4707516655186,229.1253076687,67.1760763115417,56.2275021195901,92.5176599927904,1972.65183034397,1829.5,1741.77755249242,1861.5,1822,1473,1810,86.2216897827893
"2031/2032",2032,120,120,100,53.7547846866617,225.484609138832,75.0673495499812,65.0645992625124,95.99337808988,1957.54485712991,1746,1550.64416412048,1820,1703.5,1609,1685,81.7238679994698
"2032/2033",2033,121,121,100,57.1401029037446,217.54913755333,74.6945815565268,65.5327590345132,95.8803161650049,2083.88485707939,1874,1737.37400482767,1933,1869.5,1653,1849.5,84.6753682477975
"2033/2034",2034,120,120,100,53.0720706014648,222.785347565853,77.3216614604509,67.302544055857,98.7750981029,1941.59526571391,1695.5,1534.71846864908,1810,1656.5,1541,1654,82.8323699805405
"2034/2035",2035,120,120,100,50.373546739244,184.27363977425,82.1047076099476,64.6725462269609,98.2080094776256,1877.2412006162,1640,1480.62817036453,1752.5,1578.5,1577,1577,80.6140143039238
"2035/2036",2036,120,120,100,52.938477979108,199.581138831581,72.7636862505708,66.8681446841483,96.3551369319371,2031.67318369649,1820,1624.62911343767,1903.5,1770,1660,1751.5,83.7535243130669
"2036/2037",2037,121,121,100,46.8042461491739,199.671622743435,72.4739744778636,56.8061553522416,93.6869051159196,2017.19856589285,1845,1782.16988571059,1863,1864.5,1449,1861.5,87.0044396695939
"2037/2038",2038,120,120,100,54.5113837702319,202.682009951737,83.3427968164269,72.8380137615938,100.901657680653,1941.74976646241,1616,1395.11116921159,1806.5,1528,1682,1525,82.0772155481691
