"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.8221141002518,156.540948168307,62.2166768811704,40.8109017603845,84.296386370248,1773.19198803266,1743,1652.2335322837,1671.5,1728,1160,1679.5,80.8222978758864
"2002/2003",2003,120,120,100,31.0450815077128,130.749498406908,67.9349512680286,39.2309191693348,84.7760417450557,1781.12309894752,1658.5,1681.46458927696,1616,1753,1117,1699.5,82.708080715784
"2003/2004",2004,120,120,100,45.8961976957288,191.213943168406,69.302895932304,58.557664377815,93.9806726721514,2007.60335628647,1797.5,1722.83934943407,1817,1830.5,1431,1814,85.1350016740042
"2004/2005",2005,121,121,100,48.6256849003919,213.79743663964,63.2136978112491,55.3875815556873,90.5502599956783,2152.65956592285,2036.5,1985.09407921807,1991.5,2088,1526,2062.5,90.2849427832969
"2005/2006",2006,120,120,100,39.4184187587759,187.856504559763,58.3250833975792,43.2712579426022,84.5568330053459,1976.18646660905,1959,1933.45961238614,1865.5,1966.5,1299,1942.5,87.5049258248902
"2006/2007",2007,120,120,100,40.2571712950237,186.890983141744,64.2482380426598,44.6234874046124,86.4409634857005,1884.45657022979,1789.5,1783.53040145823,1733,1846,1268,1803,83.9479468285621
"2007/2008",2008,120,120,100,46.4695926869583,196.587506101441,72.9326310844292,58.6980627044588,93.8076449805014,1958.55682844224,1766,1611.27852494484,1863.5,1723.5,1547,1704,83.5634286612039
"2008/2009",2009,121,121,100,41.1759954086973,213.981079026298,66.0818029455936,49.6022030668213,91.4370432770021,2001.40616019258,1855,1787.79782853788,1861,1867,1435,1849,86.8869343920669
"2009/2010",2010,120,120,100,38.100612696574,167.857209547735,66.2795748654151,45.424241658669,87.8541047261126,1947.44301214005,1850,1853.13331127004,1822,1898,1292,1884,86.0323901903555
"2010/2011",2011,120,120,100,51.5345457912602,204.259743086665,63.695396765547,56.302255966803,89.1271331059333,2197.03711223743,2139.5,2058.09461021774,2063,2160.5,1591,2158.5,89.3355094253191
