"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.6735910386913,150.619143736875,62.9066112693475,41.0423652004406,85.032923948381,1764.78732341395,1724,1674.94483896541,1677,1721,1122,1678.5,82.0329237819498
"2002/2003",2003,120,120,100,35.5963544226888,137.275443877576,68.0545661186639,42.5995950128378,85.8576783747134,1872.89791605875,1798,1777.02953129326,1723,1845.5,1228,1807,84.5285509763705
"2003/2004",2004,120,120,100,50.8595026993075,203.461245055462,70.0059218821131,63.0341893293775,94.7312852842486,2056.05518253995,1812,1732.44048680216,1884,1821,1553,1806.5,86.0607048688635
"2004/2005",2005,121,121,100,49.1658930492357,204.081744366753,64.3168036076281,55.9796929043577,90.7880623928716,2142.71009242178,2027,1950.01385132332,1973.5,2054.5,1560,2026,88.2632603768066
"2005/2006",2006,120,120,100,40.4598947754098,178.959369117146,59.2715569167292,45.0606616060811,84.7765519818319,1951.65418103348,1914,1891.54538707659,1841.5,1938.5,1263,1915.5,85.737214825554
"2006/2007",2007,120,120,100,40.7493117106305,185.084054384521,65.0963782687516,45.5635606674125,86.8897401916498,1929.01557569496,1846.5,1830.51672303978,1781,1886.5,1324,1855,85.2316819562528
"2007/2008",2008,120,120,100,48.5476833158119,190.615693525337,73.6587856292788,60.531026567413,94.1715375135,1981.08768633587,1798,1640.17531899757,1873.5,1765,1558,1747.5,82.4383351050288
"2008/2009",2009,121,121,100,39.3544750929943,198.53690108414,67.2834521917483,47.445137624158,91.108830770665,1958.61950257639,1822.5,1781.13783256625,1818,1849.5,1372,1835.5,85.6459291336014
"2009/2010",2010,120,120,100,41.7864416551958,170.458840023093,66.7764360855292,49.3743457186543,88.9964016432557,2022.23194417942,1903.5,1899.37541308253,1891,1940,1389,1929.5,86.904035101214
"2010/2011",2011,120,120,100,51.8293143815867,197.458770653119,64.5605358442841,56.6211811036212,89.3065551704269,2196.53049096336,2121.5,2053.60497543397,2064.5,2128,1591,2127.5,91.3098465978392
"2011/2012",2012,120,120,100,51.0665120604815,187.917246663382,67.1330178244981,59.8688957465876,91.6418269554423,2147.62135004442,2010.5,1927.27731246731,2016.5,2034.5,1636,2024,85.8038479878662
"2012/2013",2013,121,121,100,44.8479337601775,192.423318187138,67.9984453727531,55.3376677945261,92.5043843266092,1969.93748722123,1771,1741.58974910153,1838,1805.5,1408,1788.5,86.5947568361801
"2013/2014",2014,120,120,100,48.61001300678,178.661086560443,71.6034345454992,58.4467047472631,92.8694880181529,2057.51196193606,1867.5,1759.96771671732,1896.5,1874.5,1558,1854.5,84.5408357954336
"2014/2015",2015,120,120,100,31.9684797452503,135.435449923812,77.8231431559023,50.8997468098662,93.8128258280752,1509.21074261559,1193,1017.85560933311,1360.5,1146,1204,1053,70.0056260592012
"2015/2016",2016,120,120,100,45.3534354495103,170.836026840955,64.8086313617695,52.4381272248462,88.9961973483468,2037.25565839665,1916.5,1886.16207421598,1892,1966.5,1417,1942.5,86.0366444569381
"2016/2017",2017,121,121,100,40.8394227671574,179.261467408078,66.7347181507726,50.7798548331104,88.8255860428336,1811.06175385899,1652.5,1508.42660607831,1665,1653,1316,1567.5,78.7978402402296
"2017/2018",2018,120,120,100,35.597106264015,150.415982885526,70.102307814188,46.8947083315591,89.3438824221274,1753.31493740528,1590.5,1495.29143192105,1593.5,1592,1214,1531,79.7633921808006
"2018/2019",2019,120,120,100,46.9803249449371,159.933634433361,78.70195262891,58.8847732580678,93.764361218929,1907.91092728501,1719,1561.33026915014,1785.5,1698,1508,1666.5,80.3095493664855
"2019/2020",2020,120,120,100,37.5289488299105,168.224603968732,63.830760879737,47.3302002427763,87.8869098740008,1875.33773680544,1748.5,1651.01103776186,1761,1741,1317,1701.5,82.5138992114835
"2020/2021",2021,121,121,100,38.7185428266283,172.273955286781,60.6304260949101,46.190344987938,86.2152831909652,1931.54813181794,1831,1804.58890527287,1759.5,1888,1264,1825,83.9363024384579
"2021/2022",2022,120,120,100,48.7447787631124,184.200768028883,77.9472534046664,62.8567548740132,94.9341282530964,1834.18494193577,1630.5,1426.18561364311,1741,1554,1530,1543.5,79.1661763276693
"2022/2023",2023,120,120,100,49.9471798975532,174.646574603678,69.1019390914378,59.947853792365,91.144897211209,1928.05865572261,1751,1573.96679596985,1777.5,1747,1495,1687.5,79.6242870194706
"2023/2024",2024,120,120,100,41.0188503854844,187.658254755955,59.7769192658678,45.838806238537,86.1956287734512,2046.43015536443,1980.5,1954.1129909152,1903,2024,1349,1999.5,87.9437869754979
"2024/2025",2025,121,121,100,46.3388551527988,176.249506995071,63.8327597105616,52.8479301366542,88.6302223821203,2057.21365870899,1978,1934.1300561421,1961,1985,1423,1967.5,88.2976212898629
"2025/2026",2026,120,120,100,42.5285557995671,171.257655630409,65.9491808179166,52.5690829674238,89.2871010353752,1989.7927690436,1861,1763.34749821143,1880,1873,1457,1836.5,84.3518436241343
"2026/2027",2027,120,120,100,38.7529816213789,177.032923682863,79.9902902982277,55.3925538647231,96.4457765771622,1755.68156974563,1476.5,1402.52944809979,1608.5,1473,1345,1466.5,80.4223820120915
"2027/2028",2028,120,120,100,44.3931592914554,139.594528743827,69.3800697071882,55.8003063749633,90.8291498631437,1953.85766672621,1816.5,1714.25315856811,1821,1791,1421,1764.5,85.2046180340253
"2028/2029",2029,121,121,100,55.273457466156,245.754548380778,69.1605329836026,63.3283936039068,94.225935126392,2102.85875056294,1947.5,1827.88479925463,1976,1929.5,1637,1923,87.0193238031593
"2029/2030",2030,120,120,100,49.957005901593,201.853429588743,69.641485729402,58.5692805455805,91.8590066542173,1981.84369088677,1836.5,1749.78717230696,1888,1804.5,1517,1799,84.268153356878
"2030/2031",2031,120,120,100,40.1282913069797,200.400940246229,61.7369737143228,47.127652470132,87.3095062613767,1882.54453137527,1798.5,1753.49691545259,1777,1803,1288,1777,86.3171546704089
"2031/2032",2032,120,120,100,45.7764984072269,192.750738879859,69.4635996643016,55.5129439079719,90.9805451667358,1932.89805954145,1761,1637.57683842377,1768,1787.5,1397,1742.5,83.1122975875614
"2032/2033",2033,121,121,100,47.2686832737277,187.247176130536,68.7073494591869,54.4696004502425,91.0795851989146,2053.10572115165,1888,1857.23593368248,1885,1942,1458,1907,86.5853731308471
"2033/2034",2034,120,120,100,50.4329148153165,215.860605440672,71.1850656061672,60.5116656342533,94.4988132235743,2014.10532480695,1813,1715.1505011815,1869,1804,1542,1798.5,85.9474982358288
"2034/2035",2035,120,120,100,47.6893689166407,171.335803431322,75.8908360172989,59.0925706706514,94.6784246877513,1875.76217828704,1731.5,1550.1448655139,1807,1674,1488,1666.5,80.8379298120926
"2035/2036",2036,120,120,100,50.9377466223431,182.304794404057,67.007751819002,60.5376589189654,91.2190005479478,1998.64866040436,1891.5,1704.79525480955,1890,1855.5,1531,1816.5,85.231832016585
"2036/2037",2037,121,121,100,40.3842970701769,171.293395719878,66.9042393637565,46.9394263435766,88.215515331947,1895.33729698419,1804,1810.60213150808,1782,1834.5,1248,1823.5,86.8501813186103
"2037/2038",2038,120,120,100,55.8344688898879,205.094307649922,76.9078963728686,68.8353101009511,96.9602990939629,2056.66767500702,1814.5,1611.97871265036,1944.5,1759.5,1741,1745,82.3392962898597
"2038/2039",2039,120,120,100,32.6740446108421,139.295895211074,65.9413748286457,39.4530969571265,85.2981805697076,1833.24310383193,1779.5,1771.22828540045,1710.5,1824.5,1161,1795.5,82.0937166640933
"2039/2040",2040,120,120,100,35.6502849643258,143.08294296105,58.0691929614977,40.4490590952017,82.9141442745415,1880.80252481833,1827,1854.26578136838,1748.5,1854.5,1147,1817.5,85.2942286178322
"2040/2041",2041,121,121,100,48.108355876076,187.880712164453,65.0526808285266,54.5133272404164,89.6789152833647,2053.83015364208,1943.5,1890.77906572164,1937,1972,1469,1952.5,88.0648848883084
"2041/2042",2042,120,120,100,55.6267769428418,176.030564910854,69.2172105271385,62.9541825246919,92.8482646463051,2265.79599530289,2107,2045.13056052771,2103.5,2115,1715,2111,91.42986785229
"2042/2043",2043,120,120,100,25.7684632746233,101.990897219904,60.5148989987688,29.3258436411766,78.7013666055345,1578.8325708031,1546,1573.19396685345,1416.5,1622,838,1527,75.9127039641307
"2043/2044",2044,120,120,100,59.7120638391217,231.083611912534,72.8861168388881,69.738102416119,95.9894257128385,2215.17289319751,2036.5,1832.7643969133,2090,1997,1847,1992.5,86.2758275674096
"2044/2045",2045,121,121,100,48.0607008326802,173.303462871841,66.5600709507168,53.7853183725477,90.3971472221822,2170.995052107,2065.5,2022.38739207018,2017.5,2126.5,1549,2108.5,89.8381046495588
"2045/2046",2046,120,120,100,41.5765839889904,179.460590550541,72.8841478623016,54.409182938476,94.1001447369156,1887.95212676679,1672.5,1585.38433610201,1732,1674.5,1376,1657.5,82.8292538071501
"2046/2047",2047,120,120,100,51.6252216499835,183.356065996717,72.2360401841217,64.3889261696723,94.3375822860662,2039.87772541307,1851,1689.08786104719,1858.5,1848,1595,1801.5,84.4656222850717
"2047/2048",2048,120,120,100,42.015199645462,151.380721004455,76.3191308879893,49.0897092764693,89.0521163524756,1887.38300241125,1737.5,1750.30587952197,1726.5,1816,1284,1795.5,82.8554405485665
"2048/2049",2049,121,121,100,55.8625009790106,229.192479889826,65.4343105059739,62.9483413338,92.851832641158,2232.85598761652,2093,2036.66407171973,2085,2141.5,1661,2138,90.9582246418558
