"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.4179374036923,143.018422286962,69.3412616297432,48.5078506803403,89.0083039132353,1909.17630342109,1805.5,1777.14181287918,1813.5,1822,1321,1811.5,83.9604865143764
"2002/2003",2003,120,120,100,39.9285883267361,129.541552837942,75.0612235138108,48.7940319345623,89.2080864703406,1949.61892434124,1813,1797.13931637526,1800.5,1861.5,1365,1847,84.6533009612806
"2003/2004",2004,120,120,100,50.3392782592125,172.560084556871,77.0858372679006,64.5840458078296,98.2677823108082,2058.22759055585,1805.5,1676.41845632652,1889.5,1802.5,1631,1797.5,87.4421805081988
"2004/2005",2005,121,121,100,55.5439708781711,198.772531964489,70.8455167120528,65.7719316297814,95.2448447099867,2249.8135395061,2081,1934.21200112737,2104.5,2098,1759,2081.5,90.054077096011
"2005/2006",2006,120,120,100,49.192781474796,175.141230212839,65.4248118722515,55.4019067052375,89.7582719334788,2138.54548789298,2066,2009.55610384893,2020,2065,1526,2059.5,89.6498205723349
"2006/2007",2007,120,120,100,48.119036979577,185.856332369812,72.2335448000059,54.7813969548872,90.657353523966,2018.01612158034,1897.5,1834.4079499848,1885.5,1920.5,1492,1905,84.0646612213869
"2007/2008",2008,120,120,100,51.3352447974516,170.171995825884,81.1133889274514,64.4862881965351,97.213906494581,1982.98454368527,1752,1567.78844692217,1880.5,1721,1616,1718,80.2753924506155
"2008/2009",2009,121,121,100,47.9955724800355,198.130426256651,74.1426942893041,57.5532416191275,94.8920094300509,2054.50079026389,1866.5,1788.71617453336,1913,1879,1569,1876,85.2452205657746
"2009/2010",2010,120,120,100,47.6733692129492,160.514499164917,73.6563427199471,56.5204514352964,92.42099281218,2100.88292299844,1939,1912.78473914406,1945.5,1980.5,1521,1978,87.1922479680977
"2010/2011",2011,120,120,100,58.8223523733979,194.285818754091,70.9038835656373,67.4793002843829,94.2869423564937,2321.70267684908,2182.5,2036.88159165965,2177,2177.5,1841,2177.5,90.6280995794209
"2011/2012",2012,120,120,100,56.7794000954251,177.43176500266,73.9887341701734,68.3223395814536,96.2128954647963,2224.0579143084,2033.5,1871.17439943443,2114,2018.5,1829,2016.5,85.1277251314655
"2012/2013",2013,121,121,100,43.4844272126132,161.688170959088,75.0561475488022,57.7532564106945,95.7013728735382,1990.8823165164,1766.5,1715.18303281134,1831.5,1800.5,1451,1796,87.1094618205839
"2013/2014",2014,120,120,100,49.9251618746852,174.108771938322,79.0044892803915,63.8419759057444,96.7494095791042,2080.69432997119,1815,1668.74820062124,1944.5,1767,1752,1762,83.2466867027788
"2014/2015",2015,120,120,100,26.5241604046808,95.6837802689003,86.0974319694601,44.869673689586,94.2784289574003,1396.50300453737,1120,988.484464859612,1258,1084,1037,1034.5,68.8557854171597
"2015/2016",2016,120,120,100,50.6230548382157,155.062704928716,71.3472549450215,59.7231108888012,92.9448563979333,2124.59471833364,1968.5,1888.7354993205,1972.5,2006,1568,1998,86.7671130172321
