"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.216799187467,147.552803859343,63.813375071797,42.623865512134,85.5573231364339,1789.75154776347,1734.5,1703.56313513534,1718,1749,1144,1718.5,82.9381547564012
"2002/2003",2003,120,120,100,36.6950853423584,134.232243532065,69.1251938419406,44.090975278276,86.4019640031363,1914.63091542319,1820.5,1825.18581535661,1742,1892.5,1233,1861.5,84.8974706307174
"2003/2004",2004,120,120,100,51.5111511166739,198.994498631379,71.1622210579294,63.7600559847475,95.237964459875,2103.82843796577,1847,1775.85752877987,1922.5,1891.5,1592,1883,87.3179692983045
"2004/2005",2005,121,121,100,49.7712063401774,193.96059700378,65.362240763532,57.1797118546958,91.2963696243849,2168.82062383776,2053.5,1977.15802602336,1995,2083,1548,2060,90.0233280529898
"2005/2006",2006,120,120,100,42.8160336827959,177.08505980468,60.3407920331634,47.0654346765117,85.2779630267065,1950.7062844539,1916.5,1870.614389227,1851,1924,1284,1900.5,87.1937652528154
"2006/2007",2007,120,120,100,40.608461900694,170.853123860878,66.4655811604679,45.3775443944407,86.9228621054759,1931.23826584699,1845,1848.63245252944,1777,1912,1274,1885,85.7645549978739
"2007/2008",2008,120,120,100,50.7913242883901,190.221064293749,74.4937252971006,62.8691839362375,95.2199254473931,2043.19603324253,1835,1683.85515081268,1936,1804,1618,1793.5,83.9798249967923
"2008/2009",2009,121,121,100,40.9925673724684,196.010270509823,68.3792447581162,49.1081894181738,91.6277850289107,1994.4134695611,1870.5,1811.41666594995,1864,1877.5,1431,1870,87.1046150314532
"2009/2010",2010,120,120,100,42.333583015026,165.966134469555,67.9839063321371,49.5626296227005,89.0611411817304,2003.58961679184,1888.5,1888.87575564712,1888.5,1919.5,1378,1912,87.501999634379
"2010/2011",2011,120,120,100,51.9983854345598,185.700807751394,65.8625835814538,57.7476773631028,89.7122449807266,2176.16405118387,2089,2010.80972134479,2045.5,2087.5,1597,2086,89.9345735155114
"2011/2012",2012,120,120,100,52.4697887571682,182.48108802975,68.0211619713706,60.9900061751601,92.2399277413781,2197.2170247569,2075,1982.98646243876,2060,2083,1675,2076,87.6949754899824
"2012/2013",2013,121,121,100,44.3350424609917,183.168563068977,69.191122138976,56.159967274526,92.9811660189832,1973.9176368107,1789,1729.2463278394,1852,1800,1403,1787.5,86.8584304165029
"2013/2014",2014,120,120,100,48.807086946527,170.310057600436,72.8433908890481,58.786673387168,93.0558883493372,2065.05700868159,1880,1772.84466953436,1900,1873.5,1566,1853.5,83.6665489983104
"2014/2015",2015,120,120,100,32.6618721816536,130.945647513109,78.9672654825678,51.2616033418595,94.0729995207731,1551.52402853464,1239,1083.23680390866,1420,1195,1228,1128.5,70.7039727029164
"2015/2016",2016,120,120,100,46.8358977985463,168.979514096693,65.7954209703438,53.9376577043889,89.6326047271041,2082.21413878565,1978.5,1935.70431923449,1951,2002.5,1489,1986.5,87.8818848613132
"2016/2017",2017,121,121,100,40.0476885094412,166.622018747121,67.8220711961844,49.791919099774,88.9502143862885,1807.65341568,1666.5,1536.56531692371,1684.5,1687.5,1300,1624,79.5400996321409
"2017/2018",2018,120,120,100,36.4403184439801,147.263711468925,71.0779870094138,48.0123600424081,89.9773887022017,1781.30896361385,1635.5,1524.50686639865,1655,1614,1257,1566.5,77.8036675555709
"2018/2019",2019,120,120,100,47.6324658310099,156.471796192572,79.827968167595,60.2383577083623,94.427344198307,1930.55647073823,1730.5,1564.39957880116,1810,1718,1570,1688,79.5856814524541
"2019/2020",2020,120,120,100,38.1284003615058,161.173888917888,64.7691040931204,48.3992000325742,88.6536796300011,1908.04389361712,1780.5,1695.80460523886,1779,1770.5,1310,1743.5,84.3766545882045
"2020/2021",2021,121,121,100,38.1153367835853,160.993498273107,61.5756902547557,45.5553713867099,86.603383035561,1936.49226145021,1842,1838.08827043055,1765,1917.5,1230,1863.5,86.1895634313137
"2021/2022",2022,120,120,100,47.4978241814082,175.007866026299,79.0701096420722,62.2276926009022,95.4146542856476,1836.64832919119,1647,1443.45889569675,1748,1548,1530,1541.5,80.0540648243723
"2022/2023",2023,120,120,100,47.9519904136533,163.243380509265,70.0273870365742,58.6424330675632,91.5342949412916,1928.92476025078,1767,1616.85677652056,1807.5,1741.5,1480,1701.5,80.4266925426782
"2023/2024",2024,120,120,100,41.8987416188343,179.318783255033,60.7835590211812,46.8049369713882,86.617404475492,2063.45500179977,1989.5,1983.92633307203,1907,2035,1327,2012.5,88.3710426285356
"2024/2025",2025,121,121,100,47.793934967776,171.11198927172,64.7239139533947,54.2621272906306,89.1416002170477,2107.89098261383,2024,1998.40874001981,1982.5,2032,1447,2020,89.4303064969172
"2025/2026",2026,120,120,100,44.9565630325558,167.648670099922,66.7945621490813,54.7907711772423,89.9748739444006,2041.88623743453,1911.5,1815.9716889488,1922,1921,1485,1894.5,86.2335392632026
"2026/2027",2027,120,120,100,41.2062617170186,175.164768457593,81.2112122231718,57.1551225982583,96.9190331272725,1788.6657806388,1500,1415.51910983915,1640.5,1501.5,1365,1497.5,80.5888887626065
"2027/2028",2028,120,120,100,44.6600837613018,133.410900987439,70.3597701097147,55.7058853800518,91.3701130488379,1990.24474230627,1848.5,1777.03977336452,1855.5,1837,1414,1821.5,85.5399301210687
"2028/2029",2029,121,121,100,56.1755505153498,237.141052392993,70.2904807358729,64.2061598651352,94.6017334199093,2105.37997308694,1929,1819.4312562825,1975,1937,1648,1931,87.1497951396391
"2029/2030",2030,120,120,100,50.9515237149716,192.240449315779,70.8002047116207,60.2624884769418,92.2456686852526,2004.93434295172,1858.5,1763.42495087228,1893.5,1832.5,1516,1827,84.1820278169398
"2030/2031",2031,120,120,100,41.0824516806646,197.612213137013,62.6657932873646,48.3867616590109,88.082283219538,1943.5759789357,1866,1825.7443381109,1849,1860.5,1327,1843,85.9442259392849
"2031/2032",2032,120,120,100,47.156943404598,190.644615430742,70.5974392241871,56.9131388964019,91.5269741388881,1981.18502185222,1800.5,1697.80445110388,1837.5,1827.5,1458,1794.5,84.4859819973799
"2032/2033",2033,121,121,100,47.0858347335013,177.060264653341,69.7790454158733,54.4503539670687,91.3705722633702,2051.39684818788,1895,1859.29788822124,1882,1936,1460,1905.5,86.3072526406304
"2033/2034",2034,120,120,100,51.2102828386238,207.491125443822,72.3978030294953,61.438276044344,94.7740581950377,2031.73394298364,1829,1727.30308151175,1882,1818.5,1557,1813,86.5518691330235
"2034/2035",2035,120,120,100,49.0526164222409,168.448734294707,76.8716889513785,61.1652243320088,95.3297131301095,1909.08778449417,1759.5,1570.44121949459,1846.5,1695.5,1542,1688,81.3299268589781
"2035/2036",2036,120,120,100,50.5872114651666,174.611601949701,67.8859090772976,61.1191547178985,91.9251256139462,2035.09261028472,1919,1753.86055518659,1933.5,1890,1554,1864,84.4847185877024
"2036/2037",2037,121,121,100,41.5015778918034,166.027387878087,67.9129394733371,47.5523948288767,88.6307422345312,1932.18694375966,1842.5,1852.54614033676,1801,1866.5,1236,1857,87.320198437119
"2037/2038",2038,120,120,100,55.0467748149113,190.756714148871,78.0030658796178,68.1988629183337,97.2272242520675,2063.09288107895,1817.5,1637.04393100158,1933.5,1784.5,1699,1776,83.936646110913
"2038/2039",2039,120,120,100,33.6517632463634,133.566690927245,67.2183554772198,40.0638359650342,85.3852255230414,1837.77308315883,1777,1772.18157517139,1701,1828.5,1161,1798.5,83.006201156476
"2039/2040",2040,120,120,100,35.6778535702106,135.406711431101,58.9618728415405,39.8559191750529,83.466038135432,1925.93273534102,1881.5,1927.45557563344,1799.5,1931,1155,1904,87.9749607138392
"2040/2041",2041,121,121,100,49.9782564853592,184.991161233254,65.84800970334,55.9231374956264,90.3031261639678,2131.48895519129,2023,1982.14815476479,1986.5,2061,1517,2047.5,89.3106365597005
"2041/2042",2042,120,120,100,54.6322672601464,166.054369101455,70.2721094322795,63.0123057198363,93.3355121548624,2265.62437456436,2086.5,2038.49221290795,2108,2122,1727,2118,90.0687291624627
"2042/2043",2043,120,120,100,26.1092190357676,101.714650562379,61.3826327119744,29.5061061873536,79.087077398682,1584.72690549184,1574,1615.99104938075,1455.5,1629.5,837,1553,77.8982049054839
