"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.1746872822052,191.525012108267,68.3508017231795,51.7467358408434,90.724378675352,1918.91986433487,1777.5,1728.3310802248,1791,1786.5,1357,1773,85.1330610556441
"2002/2003",2003,120,120,100,45.4641533673937,191.59797375161,74.1579550579819,54.0113436909422,91.0794771134698,2016.68255129813,1876.5,1775.15420749801,1890,1890.5,1565,1875,83.6843990026893
"2003/2004",2004,120,120,100,52.3205373270246,222.638711474318,76.3166971065563,67.1156764881171,99.481526456264,1985.54099625152,1732.5,1539.91166511914,1851,1672.5,1678,1666,84.2101161802066
"2004/2005",2005,121,121,100,59.381124329634,252.247389219265,69.7798618771815,70.4619812566973,97.1015251973028,2218.14091012011,2024.5,1822.11035753807,2085,2004.5,1832,1991.5,89.1411963713274
"2005/2006",2006,120,120,100,53.5207996357966,230.492567038538,64.5058572017511,60.6616462645788,91.4788005471944,2100.58696843337,1967,1871.72859343008,1984.5,1956.5,1566,1944,86.5808982497605
"2006/2007",2007,120,120,100,51.5828811595637,234.355527140589,70.7300636169337,58.8702855530359,92.4017847166131,2028.90649769043,1877,1760.45935307556,1888,1899.5,1557,1879,84.0789729826109
"2007/2008",2008,120,120,100,54.2881710967877,213.191624220889,80.0068429029193,68.616983820668,98.9297112682626,1951.67489232211,1686,1495.01903419917,1827,1619.5,1615,1616.5,79.832892628201
"2008/2009",2009,121,121,100,51.1387378102414,249.52588397233,72.8784397260316,61.3734634252376,96.4295347257406,2014.1215584942,1827,1677.23273698431,1888.5,1805.5,1608,1805,83.4109526248865
"2009/2010",2010,120,120,100,49.3306333969684,206.186821755087,72.8772500768809,60.0794688353915,94.2358852704665,2065.77774299331,1873,1773.98800522312,1921.5,1878.5,1563,1874.5,85.3111624109033
"2010/2011",2011,120,120,100,58.4105742672236,238.694600712814,70.4779218888918,69.3593390889084,95.8933634565704,2233.41601272033,2021,1852.97359572617,2101.5,1993,1847,1993,88.583607675035
"2011/2012",2012,120,120,100,60.872316856217,222.984840969543,72.9532156194684,72.79986490125,97.9536736782328,2203.9532872471,1994.5,1789.3107509774,2096,1949.5,1859,1947,86.415614179846
"2012/2013",2013,121,121,100,45.8650125968509,205.434348823269,74.0989025042445,60.8420099181346,97.3550528819409,1960.4477999739,1731,1616.07255274885,1800.5,1722,1494,1717.5,85.2630592138762
"2013/2014",2014,120,120,100,52.9189479292537,213.83048638476,77.7442553126253,68.415658759563,98.3820328672983,2031.11771574357,1756,1569.96335964301,1907,1706.5,1735,1698,82.0771142720007
"2014/2015",2015,120,120,100,27.7145844866126,128.22829663632,84.2880458194468,46.1502003657085,95.7523297641745,1419.38844191386,1142.5,1025.48834572833,1296.5,1110,1071,1075.5,70.8571819388949
"2015/2016",2016,120,120,100,53.5741840112285,208.055862947729,70.5081391873514,63.3113599744032,94.8183083578523,2145.40774289238,1969.5,1833.86862230032,1988.5,1965.5,1629,1962,88.7126959581951
"2016/2017",2017,121,121,100,41.6508910852599,199.038859173255,72.4670886737046,54.7747543812785,93.84047360072,1808.07143750227,1596,1471.63714505337,1683.5,1561.5,1407,1534,80.4295644924614
"2017/2018",2018,120,120,100,40.3472490101626,179.488930087083,76.1795476544305,51.8242504426575,93.5074195743841,1767.24931813085,1559.5,1461.12534450608,1638,1536,1331,1517,77.9306433588372
"2018/2019",2019,120,120,100,47.5050210583622,175.10507604673,85.6090169555378,63.6956204429875,98.026547751286,1845.72643814603,1587,1386.27354720855,1733.5,1545,1536,1529,77.9490037816445
"2019/2020",2020,120,120,100,43.1591806903366,205.926114167815,69.3024109171988,55.0571787431937,93.5149207547866,1936.93460790396,1728.5,1636.44906862386,1825,1701,1481,1691.5,84.3614975939249
"2020/2021",2021,121,121,100,46.1523842331301,214.904137500346,65.9860905933472,55.3694552362198,92.1097826257012,2049.66620153598,1888.5,1817.8808416839,1894,1928,1503,1889.5,86.3408563013568
"2021/2022",2022,120,120,100,43.1077431747962,185.011097670629,84.8130043831798,62.593737935035,98.9606140763005,1730.52061842137,1468,1277.92028280698,1637.5,1383,1469,1383,79.2719705760423
"2022/2023",2023,120,120,100,49.7952912097521,184.025220262071,74.9057285971996,65.6809246926697,96.8337509966826,1923.77074547172,1693,1511.50576028931,1811,1634.5,1561,1619.5,81.0757550005824
"2023/2024",2024,120,120,100,53.6090945909211,256.0203522073,64.9227844597578,61.9758846334007,92.7831859423288,2193.54250684766,2015.5,1916.28192420944,2046.5,2015.5,1695,2008.5,89.0794697620349
"2024/2025",2025,121,121,100,56.7833406725326,219.058522707028,69.3311081056768,66.7568214972112,95.4399619304643,2223.89824195417,1991.5,1904.78273378571,2059,2013.5,1689,2008,88.3588128699698
"2025/2026",2026,120,120,100,46.0218753973104,203.784685623999,71.7312252414033,60.3971041285555,94.909342016083,2037.54986611672,1836,1666.03249805695,1915,1792.5,1624,1780,85.5339534645204
"2026/2027",2027,120,120,100,40.6583179239698,187.978757928646,86.8021579584638,57.6983025033972,98.8318025138174,1643.76123243659,1346,1220.24182102055,1495,1295,1362,1291.5,76.9131052956286
"2027/2028",2028,120,120,100,47.7991452201741,163.538877033291,75.4001060462695,62.3467149014582,96.4647101315346,2023.42285052261,1795,1679.38144722052,1894.5,1785.5,1606,1780.5,85.2054580390131
"2028/2029",2029,121,121,100,62.0404901632949,266.242229899045,75.2273312982505,75.8434565480147,99.4820229701508,2048.14596097439,1812,1616.84878128421,1931.5,1760,1713,1758.5,85.5772375705114
"2029/2030",2030,120,120,100,55.0692488785389,221.572308727715,75.7759305412805,68.4275497319195,97.425949051734,1998.37026403977,1751,1623.10766617376,1873,1739,1574,1739,84.8905500845854
"2030/2031",2031,120,120,100,47.8777069870105,243.94082499076,67.0213044901417,57.9904455608237,93.3391975914104,1978.04716127763,1798,1712.98927224616,1851,1804.5,1477,1794.5,86.6934857433889
"2031/2032",2032,120,120,100,49.8571327083067,225.621683192536,75.5279615306999,62.1867013972744,95.9477136246899,1908.51128369218,1675,1501.50784026008,1767,1642.5,1579,1623.5,81.9787923835947
"2032/2033",2033,121,121,100,57.5651409897501,221.926505924595,74.7637423377992,65.983190232271,96.4523424574385,2094.02898284265,1879.5,1749.2426103094,1949.5,1893,1666,1877,86.0053014984032
