"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.7500936705807,149.892294395468,64.242833968644,42.6297733606863,85.7969956264116,1811.44461267534,1757.5,1718.24294100468,1730.5,1762.5,1183,1733.5,82.8107408631475
"2002/2003",2003,120,120,100,35.194594877826,131.744814473558,69.7585516905776,43.3672085155006,86.4127587508313,1884.64289705712,1776,1782.75807016787,1717.5,1853.5,1222,1820.5,84.890452836642
"2003/2004",2004,120,120,100,49.1387823544782,192.267750153493,71.6397004668376,62.2149972543026,95.43244128741,2047.44005649713,1803,1708.78800470648,1880.5,1819.5,1535,1807.5,86.8996394770622
"2004/2005",2005,121,121,100,52.0385298208247,209.34010626606,65.5091352378954,59.6289272953813,91.9087678331759,2195.80407724561,2069.5,1989.49117486568,2037,2105,1648,2083,89.873126960719
"2005/2006",2006,120,120,100,42.9617668043002,182.517478556546,60.3668558986438,47.2008504644192,86.0106731248365,2033.87233278398,2013.5,1971.38324110329,1914.5,2019.5,1343,2003,88.5356931971613
"2006/2007",2007,120,120,100,43.1190117557117,188.042793900625,66.469423623231,48.4154149688052,88.0263255601934,1967.69691379723,1862,1846.51105459532,1817,1917,1374,1887.5,84.530723093712
"2007/2008",2008,120,120,100,48.2762099612603,185.056923675072,75.1417087199064,60.5019505237186,94.8291375130642,2000.06678152069,1805,1662.65233516864,1892.5,1782.5,1566,1771,83.7414150244805
"2008/2009",2009,121,121,100,42.0047871806857,203.207220955241,68.4496934577843,51.0799233871134,92.4150809730765,2016.25876304417,1863,1808.8977746635,1871,1875.5,1448,1869,86.5582440559776
"2009/2010",2010,120,120,100,42.9450585052406,169.771263771023,68.1969820698526,50.9553983466984,89.7433652725102,2025.1867754533,1890.5,1886.37927789295,1882.5,1932,1391,1926.5,88.0556819351084
"2010/2011",2011,120,120,100,54.047846112784,200.889975204674,65.7357412990957,59.4740115508287,90.4815782233084,2247.11347316908,2167.5,2076.91147442988,2115.5,2177,1651,2177,91.5933979335048
"2011/2012",2012,120,120,100,53.7589965732633,190.416999243751,68.4229817677046,62.6753803294514,92.9093594842174,2197.76945485411,2065.5,1946.67309464867,2083.5,2066.5,1728,2058.5,88.8166914441383
"2012/2013",2013,121,121,100,42.7507580505059,182.155648645423,69.7466817510505,54.1944213004155,92.8554069589821,1946.74838489268,1745,1713.03207267841,1803,1787.5,1373,1772,85.501511274641
"2013/2014",2014,120,120,100,50.7241560796662,185.96526975162,72.7972808868391,61.5280531629003,94.1235147675122,2110.90178776116,1908,1778.05948704875,1953.5,1886,1666,1875.5,86.2183376647108
"2014/2015",2015,120,120,100,28.9291581301924,123.529693203734,79.4516812248237,47.8965334926842,93.9684959587553,1490.02764166682,1190,1042.32502065866,1366,1150.5,1134,1086,69.1513312464708
"2015/2016",2016,120,120,100,45.290472678883,165.856962112765,66.3183769964589,52.7373584036809,89.6421061512976,2054.04032874131,1935.5,1902.29631446984,1902.5,1981.5,1425,1964.5,86.1030299349991
"2016/2017",2017,121,121,100,40.3704422317688,171.29731568839,68.0002761716648,51.3745639230061,89.8519616399183,1825.4984541941,1667.5,1537.46069195553,1693.5,1664.5,1338,1600.5,79.4902206901588
"2017/2018",2018,120,120,100,34.2133256744618,140.433407840412,71.5937400440742,45.884060419675,89.8448362150385,1731.94938813631,1567.5,1488.25856145001,1573,1560.5,1173,1512.5,77.2954509090691
"2018/2019",2019,120,120,100,45.9170961443996,156.000734845396,80.4166345621775,59.4545894328146,94.634860861253,1895.02334997105,1675.5,1521.20587755968,1773.5,1650.5,1511,1621,78.3026706615155
"2019/2020",2020,120,120,100,39.1618781148257,166.083969257661,65.0888243556175,48.7831184483466,88.9065930110906,1921.59035909871,1785.5,1709.85744418614,1784,1772.5,1348,1747,84.8537688957263
"2020/2021",2021,121,121,100,39.5063193059849,167.656849202701,61.8412819189601,47.0338306848261,87.1116728925428,1962.89521005013,1859.5,1856.18833023111,1801.5,1916.5,1289,1863,85.7970712818483
"2021/2022",2022,120,120,100,48.0590769193283,180.608886397001,79.7770347789177,62.1652434289779,95.2456021653115,1844.21300533046,1648,1455.59241647331,1757,1577,1521,1571,80.5053137071018
"2022/2023",2023,120,120,100,50.8638121704411,169.018068102327,70.3612154708961,62.066611446725,92.4385632661706,1959.421756713,1812.5,1605.28760216409,1849.5,1771,1534,1731,82.7941000206965
"2023/2024",2024,120,120,100,44.0265971625076,192.972775911182,61.0960211553234,49.620563749387,87.4287905091091,2107.65976586753,2011,1985.34401706673,1961.5,2063.5,1430,2038.5,88.6797506039375
"2024/2025",2025,121,121,100,48.7284338378977,177.721120111721,64.9662476945403,55.3090058788557,89.7182425220607,2133.86826482559,2030.5,1997.81580167592,2016.5,2058,1493,2041,89.3745849978973
"2025/2026",2026,120,120,100,43.8172038667195,168.932058144992,67.1025064393026,54.4644685593656,90.422065570254,2034.82568162792,1900.5,1797.88648752423,1916.5,1905,1497,1880.5,85.6621111759573
"2026/2027",2027,120,120,100,40.837478215667,174.96477549354,81.6260317357083,57.4276988764432,97.116682779206,1780.26210797526,1501,1405.81322244579,1629.5,1480.5,1373,1473.5,78.7510830540227
"2027/2028",2028,120,120,100,46.72362894001,140.47988597846,70.5017696636614,57.8986746709846,91.9393088856009,2012.81885566757,1866,1782.56270005863,1882.5,1855.5,1477,1840,85.7964102417268
"2028/2029",2029,121,121,100,56.8685044683168,244.032054816015,70.61004780914,65.6069286269193,94.9788460853495,2119.94497870326,1954,1815.50883586736,1998.5,1935.5,1669,1931,88.1759516575148
"2029/2030",2030,120,120,100,50.7892795296702,200.914766848379,71.1898945273323,59.9298608117084,92.5446014378462,2011.97559736077,1854.5,1762.40762766952,1903,1834,1533,1830,84.9596233880475
"2030/2031",2031,120,120,100,41.2664166550754,199.645939710996,63.0982244679227,48.9955150399256,88.3069676829268,1909.08330079916,1808.5,1767.00440410102,1795,1810.5,1324,1787,88.0503059148068
"2031/2032",2032,120,120,100,44.6932117513167,186.164387596385,71.2262797012219,55.5185950485707,91.5243962593992,1912.2756831047,1735.5,1618.13476710238,1757.5,1739,1415,1702.5,82.9331577889725
"2032/2033",2033,121,121,100,48.6181076178432,188.188584536559,69.9326930840825,55.9775567836481,92.0329085386855,2103.32461106537,1941.5,1897.95105472072,1940,1982,1544,1956.5,87.1682098411729
"2033/2034",2034,120,120,100,51.2091009346451,211.763276890822,72.5477494037757,63.0373575658239,95.5554049966613,2028.86330320778,1812,1696.81252515036,1879,1776,1570,1770.5,85.8132447259641
"2034/2035",2035,120,120,100,47.8129117863999,169.190299835215,77.4359303127417,60.5452942242574,95.5591650231064,1888.74887742497,1723.5,1531.33241344319,1816,1660.5,1517,1655,80.6435031459168
"2035/2036",2036,120,120,100,51.8079603043149,179.457218139148,68.3895357285313,61.5206670699771,92.0132727136509,2033.51341249979,1908.5,1733.81937481673,1927,1886.5,1585,1859,81.8554441915448
"2036/2037",2037,121,121,100,41.5055781194505,168.928291011137,68.2469473229438,48.2337049167129,89.0336490414283,1958.16175826509,1859.5,1869.7810527216,1817.5,1894.5,1282,1885,87.7827796021129
"2037/2038",2038,120,120,100,57.7703192799939,205.155515379784,78.2782756529296,70.7943273117284,97.9156345486715,2095.10538574276,1846,1630.12485052056,1982,1779,1797,1770.5,83.4299268639779
"2038/2039",2039,120,120,100,36.7206389590143,149.577022047894,67.1825753357133,44.0566987267977,86.721126838992,1911.42788996155,1851,1802.9025297069,1775.5,1884.5,1273,1856,82.8473173501416
"2039/2040",2040,120,120,100,35.3158745429105,138.102253993254,59.2757055689476,40.75245312282,83.9657996623786,1915.57051945818,1849.5,1898.47253317879,1789.5,1908,1165,1879.5,86.94251195585
"2040/2041",2041,121,121,100,47.4761827717698,181.4200855089,66.4328035567533,54.6618224581468,90.4176842928317,2074.90731752107,1932.5,1912.11954379568,1931,1994,1450,1979,88.6897237681333
"2041/2042",2042,120,120,100,55.1736899476599,169.55481590415,70.6173190426421,63.526780994216,93.6062539862724,2251.8421625866,2066,2015.26009229385,2084,2111.5,1705,2109.5,90.6435114030392
"2042/2043",2043,120,120,100,25.4351047147038,97.4921615321491,61.9651856115023,29.2319120936315,79.2357641340749,1581.33720164801,1559.5,1609.13664309431,1444,1612,839,1537,78.6128132708782
"2043/2044",2044,120,120,100,58.1936371456887,220.615573096593,74.5334832807931,69.7051311511195,96.8848373016672,2184.51187774751,1976,1776.69800041672,2061,1939.5,1852,1935,86.2812207270654
"2044/2045",2045,121,121,100,50.1808948683678,176.883479323848,67.8245877900865,55.8590649526389,91.2273110022028,2203.07445865427,2094,2035.31909799629,2045.5,2137,1609,2126,88.7538173982657
"2045/2046",2046,120,120,100,42.0977041972296,174.436776032391,74.3841979259883,55.6835002105053,94.8430102942325,1891.9653896071,1682.5,1574.3386697077,1748,1673.5,1382,1659.5,83.7957347399633
