"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.5835172261447,142.749831482891,61.9399805893048,38.7383935540757,84.2202833235619,1746.21275519799,1689.5,1674.4099575771,1644.5,1726,1096,1680.5,81.109863746183
"2002/2003",2003,120,120,100,34.0924703271163,130.491899486764,66.8984465402193,41.0200658882944,85.2637924659716,1863.10860557778,1776,1787.19261559344,1695.5,1856,1176,1809.5,82.0406482152878
"2003/2004",2004,120,120,100,49.2202139540421,201.44061742625,69.2112235460274,61.2495295421162,93.9391682675846,1990.66523652301,1771.5,1659.8148459379,1839.5,1767.5,1522,1739,85.6220344645604
"2004/2005",2005,121,121,100,51.4194239234315,212.30352111631,63.1745124903042,57.0881010848276,89.8730795558932,2149.77920213056,2046.5,1963.95367465813,1993,2087,1589,2055.5,87.9404490169507
"2005/2006",2006,120,120,100,40.250121284078,178.64777697126,58.1443314499384,43.7305789038289,83.9147516436523,1968.60691057195,1967,1936.67820892638,1865.5,1981,1284,1958.5,88.827048863366
"2006/2007",2007,120,120,100,40.9979719967859,195.345565282063,63.6101372087144,47.0866221841318,87.3043048926691,1964.75045149049,1866.5,1842.86861934939,1810.5,1914.5,1351,1874.5,84.4917411598127
"2007/2008",2008,120,120,100,44.8199155215766,179.616405530012,72.5916877005955,55.3149281231859,92.993393717109,1981.99883071736,1822.5,1717.29218280173,1868.5,1818,1470,1808,84.4725918826321
"2008/2009",2009,121,121,100,38.076894789869,201.974971822562,65.8571074185762,48.0573792418763,91.0300402514276,1948.74536997079,1785.5,1769.81045519796,1802.5,1816.5,1354,1803,88.5507062349025
"2009/2010",2010,120,120,100,44.9667084990074,176.461215328713,65.4294781955806,52.4956667031352,88.8013752489012,2010.63710743768,1867,1852.43373749815,1873,1908.5,1395,1890.5,85.4843887911979
"2010/2011",2011,120,120,100,49.9098476674378,202.92651944238,63.2177894565489,54.343760736068,88.617642801769,2172.89941474872,2100,2066.26638373243,2051.5,2132.5,1549,2132.5,90.7948522213862
"2011/2012",2012,120,120,100,51.5355703149341,193.259767187528,66.090865745334,59.7425117723344,91.079059467192,2154.54990716408,2042,1935.69072754205,2013,2064.5,1574,2046,86.6672050340164
"2012/2013",2013,121,121,100,42.7432294349351,187.830932153043,67.0014402608614,53.3932155700317,91.5221709938505,1966.46211559555,1785.5,1757.57489706118,1797.5,1822.5,1339,1795,87.0918539244901
"2013/2014",2014,120,120,100,53.1776788108374,193.026708586911,70.0028224014698,61.7840533146176,93.1379032953098,2150.99990581626,1991.5,1831.40126597047,2005.5,1978.5,1696,1956.5,84.9235118169584
"2014/2015",2015,120,120,100,32.0755048233986,138.508149239277,76.0492468382695,51.3157216457914,94.2437036857707,1587.74921697177,1294,1129.62791523514,1444,1249.5,1245,1184,73.0778612939989
"2015/2016",2016,120,120,100,43.1572585469973,163.417535861041,63.9169346616472,50.2145557553659,87.9836059639883,2008.39738568923,1886.5,1894.75222356257,1866,1969.5,1351,1942.5,86.9569156532889
"2016/2017",2017,121,121,100,40.7051767659231,178.369846721172,65.2895952216363,50.8727336964515,88.7879864284361,1851.43818822509,1704.5,1580.6125444189,1714,1707,1325,1634,81.3742714117329
"2017/2018",2018,120,120,100,31.0066717820834,142.063545594184,69.0822873368749,43.5819714955381,88.3721640872191,1679.49224382775,1504.5,1476.37137746808,1552,1517,1147,1466,78.6189384788336
"2018/2019",2019,120,120,100,46.2701712092861,163.156305319371,77.3221894442747,57.8146793487943,93.4053079797412,1939.46482838094,1730.5,1620.68589792039,1787.5,1722.5,1514,1692,80.9811512083447
"2019/2020",2020,120,120,100,35.8429882620008,163.402053432409,62.7901108454517,44.3630011172126,86.7591477063325,1874.74351503181,1767,1703.55325828778,1743.5,1774.5,1273,1740,82.8829189422449
"2020/2021",2021,121,121,100,38.1274837262414,161.150419894774,59.7522904478609,44.4071826532261,84.9558681397149,1884.43580656366,1779.5,1792.90403822965,1707,1846.5,1193,1776,83.6409835269274
"2021/2022",2022,120,120,100,50.8021989891904,193.107737729036,76.3890824236014,62.8663910810121,94.593284535904,1896.3174231845,1723.5,1535.14308197056,1794.5,1663.5,1532,1652,82.4533709354432
