"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,23.7898153444285,124.208147865539,53.3237302574543,27.0574215864331,75.3097711090497,1441.13436903452,1406.5,1314.74428721401,1299,1459.5,851,1302.5,69.5017271297338
"2002/2003",2003,120,120,100,24.0137394862795,107.323891147959,58.0330226426436,27.9559574532203,76.3966264840687,1444.70000131193,1420.5,1398.78747411818,1308,1495.5,784,1347.5,72.4705147817162
"2003/2004",2004,120,120,100,37.4371368890584,172.36818987748,59.2828740452291,44.9790903564944,85.893383330102,1832.76228621866,1680,1733.21595844063,1657.5,1753,1134,1698.5,84.2672899438832
"2004/2005",2005,121,121,100,31.0500529158618,162.027869395506,54.2422534361311,34.5739402270717,80.7168663778086,1801.12769913978,1747.5,1814.40830747829,1606.5,1845,972,1765.5,83.4207245981895
"2005/2006",2006,120,120,100,23.1588676056606,129.498438414919,50.3110271098843,25.0978332420147,74.243119820256,1537.96833248227,1547,1520.02211299975,1394,1609,770,1494,74.2205130980711
"2006/2007",2007,120,120,100,22.2138749497661,134.90704431592,54.990136257783,26.064450070693,77.6538402564803,1492.77898220049,1465,1494.1905215401,1328,1540.5,766,1441,76.5892799046312
"2007/2008",2008,120,120,100,40.255208615842,172.076761406652,62.574173560224,47.5921311821278,86.1147994061221,1893.19000784151,1803,1668.35551431206,1760.5,1798,1340,1740.5,78.1528890677113
"2008/2009",2009,121,121,100,27.405560840814,170.63138042798,56.8513511905041,34.6435712053767,82.9510266217478,1761.80570741679,1684.5,1671.84654476112,1622,1729,1086,1658,83.5014182831875
"2009/2010",2010,120,120,100,24.2326705501199,116.584379673726,57.1022509235697,29.656075696441,79.1308848838252,1609.94768454447,1598.5,1624.42886242998,1473,1632,847,1555,78.744712547881
"2010/2011",2011,120,120,100,32.5692624395293,145.367231955378,55.1507092049677,33.8766661715906,79.0379386419276,1797.88799100951,1814.5,1829.52162876194,1672,1899.5,1018,1834.5,81.4419572976735
"2011/2012",2012,120,120,100,36.0861877072659,140.932822640533,56.917742505241,39.3746891696623,81.8431598188932,1846.21724875478,1825.5,1845.44969015999,1678,1886,1062,1833.5,85.0798298122145
"2012/2013",2013,121,121,100,35.670272497992,175.208970738926,57.8830820923049,41.3089787547427,82.5208256215128,1620.7208546946,1579,1469.81041860106,1515.5,1580.5,1035,1483.5,76.3562891759323
"2013/2014",2014,120,120,100,36.9248300848686,158.255404941021,60.6067625041337,41.4501735469498,83.8875105617266,1833.66147257257,1766,1742.57634373889,1701,1824.5,1159,1757,81.1556310402279
"2014/2015",2015,120,120,100,35.259990283272,158.18560739427,65.9071431686171,49.988423109251,86.7868304211391,1531.26843814053,1261,1047.34130048686,1308,1299,1210,1121.5,68.6260550846112
"2015/2016",2016,120,120,100,28.1025381435475,139.026048198314,54.9260501831353,32.1671399542101,78.8627686287259,1624.2302433335,1615.5,1610.99232992925,1497,1667.5,908,1570.5,77.3296422479332
"2016/2017",2017,121,121,100,32.3169627418146,166.136966116446,56.3767391353722,38.1949745440384,79.6986146932543,1541.10462419868,1383,1246.80829667948,1308,1478.5,1030,1272.5,70.3345786387488
"2017/2018",2018,120,120,100,29.3096992264623,130.978293615882,59.5006364951067,37.9743604045876,81.6864641002623,1581.35363504526,1463,1322.45024194509,1402,1512,1054,1353.5,70.9403710343165
"2018/2019",2019,120,120,100,42.031373518762,161.343599555745,66.9249748261763,50.8199781954677,86.3375999890533,1786.33106569617,1640.5,1515.54967318184,1621,1662.5,1265,1581.5,76.4291281721326
"2019/2020",2020,120,120,100,32.1512150945275,154.906475248292,54.048892961793,36.3270317496456,78.2806621900938,1611.6833340071,1578.5,1429.79150371361,1459.5,1593.5,1043,1450,72.1604599654352
"2020/2021",2021,121,121,100,25.6441828018972,143.174931683154,51.2916496706264,28.7860191723181,75.7779603881453,1524.22291965428,1501,1465.09672504926,1358.5,1539.5,854,1372.5,72.5680516462935
"2021/2022",2022,120,120,100,42.8225201033594,175.047916458767,66.5469105623761,49.2485112211784,86.3907786950747,1718.89872485134,1598.5,1469.52632791807,1577.5,1607,1209,1543,75.8493755217846
"2022/2023",2023,120,120,100,43.6740786232595,168.132416994889,58.5777816175123,47.950916749237,81.9828437743641,1698.52439218215,1605.5,1429.02842648396,1532,1628.5,1213,1488.5,72.8221208402006
"2023/2024",2024,120,120,100,24.316390531584,155.140729998389,50.6383869597457,27.2022933275572,75.6534230699323,1565.62966594006,1569.5,1527.93683576606,1435.5,1602.5,852,1476,73.7822115255176
"2024/2025",2025,121,121,100,31.1512054749968,135.474969777489,54.0922171469312,32.0023148484669,77.9396682417511,1682.57640168153,1764,1720.66212777138,1606,1769.5,964,1693,77.4691022729371
