"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.6412463404701,153.300912042321,62.3323700264961,40.4279883739078,84.879189780804,1758.39906405525,1713.5,1673.53445808732,1663.5,1729,1100,1690.5,80.9095611129676
"2002/2003",2003,120,120,100,35.3749097975639,141.357967715711,67.3900306198468,42.2562677192063,85.7592995044123,1881.87617112518,1792.5,1793.54277926589,1721,1865.5,1220,1823,83.4276018554988
"2003/2004",2004,120,120,100,50.7136253112928,205.684333357248,69.5482199547421,62.7730030224645,94.6198938239563,2061.63980445571,1814.5,1729.60080407631,1873.5,1843.5,1544,1820.5,86.6132486906638
"2004/2005",2005,121,121,100,50.2287140732595,207.790409244795,63.7447807601987,56.4836088491414,90.5897076496004,2147.35068390346,2028,1962.29093205385,1979,2064,1563,2032.5,88.2716840115283
"2005/2006",2006,120,120,100,40.870801530527,183.438502251657,58.7828542919357,45.1459768685207,84.5643934951097,1953.96724030258,1915,1887.26545719227,1844.5,1944,1277,1920.5,86.1762441997402
"2006/2007",2007,120,120,100,40.5622129426377,186.056403870616,64.3938910605876,45.5239268363288,86.913371088048,1934.5980300207,1836,1840.5771620927,1780,1892.5,1318,1859.5,84.1960992683779
"2007/2008",2008,120,120,100,48.1498124918212,193.744051343168,73.0081247607504,59.7026131689726,94.0531426230965,1992.42066431275,1817.5,1685.13998720236,1890.5,1794,1546,1782.5,84.9135050868634
"2008/2009",2009,121,121,100,38.7814698347501,199.645178348045,66.6496642862827,47.5899848906939,91.1881674201663,1972.33220004051,1834.5,1795.14551882995,1825,1850.5,1370,1841.5,87.4662863153037
"2009/2010",2010,120,120,100,42.5680113162699,172.075487041975,66.2870121147798,50.0933853692093,88.9468867119183,2024.80159680934,1901.5,1892.68907924202,1892.5,1945,1412,1932.5,87.982011052462
"2010/2011",2011,120,120,100,51.6225747822851,198.118137838658,64.1506627462237,56.1608816714859,89.0915349556691,2199.15934282013,2129,2056.55292112566,2066.5,2142.5,1578,2140.5,91.0294853512582
