"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.0533521158245,181.898613924799,73.8155048485763,55.7771082568718,93.0146551727251,1911.40200034778,1707.5,1660.45197184763,1786,1708,1456,1704.5,83.507905837807
"2002/2003",2003,120,120,100,44.5476433724327,175.054455307032,80.2910634792164,54.8148122050258,92.6441561552493,1947.57828441999,1779.5,1652.83646495004,1810,1759.5,1498,1752.5,81.5614953497552
"2003/2004",2004,120,120,100,51.246536089253,204.654613769429,81.9910594965968,67.8935575632312,101.295861975298,1930.47123943759,1659,1451.41342855133,1804,1591.5,1681,1588.5,81.3443657745345
"2004/2005",2005,121,121,100,58.2744169025527,230.446676880202,75.2489666422733,71.7167328702251,99.3413823862206,2167.26487535806,1922.5,1708.45894542015,2030,1857,1860,1848,85.7327064609241
"2005/2006",2006,120,120,100,55.4549478169831,216.995441779237,69.3837189820518,65.6764138006062,94.5510133341214,2154.18758334171,1954.5,1873.52444874332,2016,1970.5,1644,1966.5,88.2666139664364
"2006/2007",2007,120,120,100,54.9203230194119,215.577593026177,76.6748971776569,63.1875412068498,94.414085400734,2022.94506883045,1842.5,1692.00586150305,1905,1847.5,1622,1836.5,84.4618668268866
"2007/2008",2008,120,120,100,48.7508458852625,180.421377383349,86.3042973127844,65.4969835342506,100.001577873319,1793.00852072359,1485,1305.43468176133,1659,1416.5,1514,1414.5,75.5409989536414
"2008/2009",2009,121,121,100,54.7604433905205,233.719775040513,78.7763392134736,64.8395175728149,98.1306074062345,1985.23519749073,1768.5,1578.72489017467,1860,1711,1656,1710.5,81.5350039216144
"2009/2010",2010,120,120,100,55.0303871110551,205.965970701696,78.5049534523245,64.4207012431826,95.9822576085959,2102.19998369068,1897.5,1756.2584170854,1952,1891.5,1674,1891.5,82.7392790329327
"2010/2011",2011,120,120,100,60.8540992082549,230.904715256472,75.5924220075944,74.6781011932363,99.1865284854329,2261.95131458422,2008.5,1782.42913693512,2140,1958.5,1931,1958.5,86.595074682881
"2011/2012",2012,120,120,100,57.7920993642087,195.902381710513,78.6082430911824,72.3753113235299,99.7710366121224,2117.89495177478,1890,1629.17269255398,2008.5,1810,1805,1808.5,81.730501529491
"2012/2013",2013,121,121,100,43.3963714998158,179.935274788086,80.1112490180898,59.8291371975554,98.4235061727491,1887.27761314278,1645,1501.54155710872,1746.5,1614,1488,1609.5,83.7034132514741
"2013/2014",2014,120,120,100,49.0126925100269,188.509874231514,83.9083501842936,65.4478752241603,99.1327791569457,1929.08662030463,1626,1470.19309385302,1795.5,1588,1606,1586.5,80.7652106868172
"2014/2015",2015,120,120,100,25.9778427348264,99.5844769252353,91.8270499605909,40.5164144359873,94.0340580345404,1236.86114484766,994,879.296480493218,1115,958,927,919,65.1083938455517
"2015/2016",2016,120,120,100,53.4817031154326,189.743988225914,76.1302511925838,66.3966286018124,96.9415723835612,2069.89351464387,1852.5,1669.23419975856,1932.5,1793.5,1691,1792,83.7429663808148
"2016/2017",2017,121,121,100,41.2423266720053,178.561391544772,78.3133242353961,55.3782150377872,95.2449089522474,1763.22666428665,1536,1386.91857677486,1635,1494.5,1380,1469,78.3320249375679
"2017/2018",2018,120,120,100,41.8562801265394,165.214850803957,82.2214432575829,53.7076664046338,94.8805442202561,1697.7085003083,1467,1348.5913227661,1594.5,1432,1346,1416.5,75.5052619306011
