"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","Distance","Overlap_years","Perc_interval_covered"
"10045099999","KIEL/KRONSHAGEN","GM",54.333,10.1,19340101,19900301,2.78,0.16,1
"10046599999","KIEL HOLTENAU","GM",54.38,10.145,19950827,20231111,6.32,25.35,82
"10046099999","KIEL/HOLTENAU(GNVY)","GM",54.383,10.15,19290801,20030816,6.68,13.62,44
"10048099999","FRIEDRICHSORT","GM",54.383,10.183,19750523,20010925,7.22,11.73,38
"10044099999","KIEL (LGT-H/AUT)","GM",54.5,10.283,19370815,20030816,21.76,13.62,44
"10150099999","DOERNICK","GM",54.167,10.35,20010707,20081231,22.16,7.49,24
"10143099999","NEUMUNSTER/WASBEK","GM",54.083,9.983,19420101,19921231,28.63,3,10
"10042099999","OLPENITZ (AUT)","GM",54.667,10.033,19750606,20030816,38.87,13.62,44
"10038099999","HOHN","GM",54.312,9.538,19730101,20231111,39.16,31,100
"10037099999","SCHLESWIG","GM",54.459,9.516,19420101,20231111,43.22,31,100
"10035099999","SCHLESWIG","GM",54.533,9.55,19590805,20030816,44.81,13.62,44
"10142099999","ITZEHOE","GM",53.983,9.567,19730102,19971231,53.23,8,26
"10152099999","PELZERHAKEN (AUT)","GM",54.083,10.883,19880201,20030816,55.41,13.62,44
"06119099999","KEGNAES","DA",54.85,9.983,19730101,20231111,59.49,31,100
"06139099999","KELDSNOR","DA",54.733,10.733,19830201,19910331,59.63,1.25,4
"10034099999","EGGEBEK","GM",54.625,9.346,19730101,19971231,61.43,8,26
"10151099999","DAHMESHOVED","GM",54.2,11.1,19330701,19830509,64.08,0,0
"10055099999","FEHMAR","GM",54.533,11.067,19960901,19971231,64.56,1.33,4
"10026099999","HUSUM (GER-AFB)","GM",54.517,9.15,19730101,19921231,67.75,3,10
"10146099999","QUICKBORN","GM",53.733,9.883,19821111,19971231,67.82,8,26
"10156099999","LUBECK BLANKENSEE","GM",53.805,10.719,19730101,20231111,69.05,31,100
"10033099999","MEIERWIK","GM",54.833,9.5,19360101,20231111,70.2,31,100
"10063099999","PUTTGARDEN (AUT)","GM",54.5,11.217,19860604,19921231,72.67,3,10
"10006599999","MARIENLEUCHTE","GM",54.5,11.233,19730101,19730601,73.67,0,0
"10067099999","MARIENLEUCHTE","GM",54.5,11.233,19310101,19971231,73.67,8,26
